POI: 			Steve_Martin 
Steve_Martin/8-VZuZ1Vmak_0000078 2598.6 2619.2 
Steve_Martin/8-VZuZ1Vmak_0000079 2620.0 2625.2 
Steve_Martin/8-VZuZ1Vmak_0000080 2691.2 2696.6 
Steve_Martin/8-VZuZ1Vmak_0000081 2713.3 2727.2 
Steve_Martin/8-VZuZ1Vmak_0000082 2743.5 2749.1 
Steve_Martin/8-VZuZ1Vmak_0000083 2797.4 2806.4 
Steve_Martin/8-VZuZ1Vmak_0000084 2798.9 2806.4 
Steve_Martin/8-VZuZ1Vmak_0000085 2860.1 2868.3 
Steve_Martin/8-VZuZ1Vmak_0000086 2879.8 2884.0 
Steve_Martin/8-VZuZ1Vmak_0000087 2899.6 2907.8 
Steve_Martin/8-VZuZ1Vmak_0000088 2925.6 2931.2 
Steve_Martin/8-VZuZ1Vmak_0000089 2939.4 2943.4 
Steve_Martin/8-VZuZ1Vmak_0000090 2974.4 2986.0 
Steve_Martin/8-VZuZ1Vmak_0000091 3003.4 3011.5 
Steve_Martin/8-VZuZ1Vmak_0000092 3062.5 3067.3 
Steve_Martin/8-VZuZ1Vmak_0000093 3068.7 3073.9 
Steve_Martin/8-VZuZ1Vmak_0000094 3105.7 3112.0 
Steve_Martin/8-VZuZ1Vmak_0000095 3115.0 3126.6 
Steve_Martin/8-VZuZ1Vmak_0000096 3152.2 3157.1 
Steve_Martin/8-VZuZ1Vmak_0000097 3162.7 3170.9 
Steve_Martin/8-VZuZ1Vmak_0000098 3174.6 3183.9 
Steve_Martin/8-VZuZ1Vmak_0000099 3202.1 3207.6 
Steve_Martin/8-VZuZ1Vmak_0000100 3181.3 3188.4 
Steve_Martin/8-VZuZ1Vmak_0000101 3188.4 3192.6 
Steve_Martin/8-VZuZ1Vmak_0000102 3230.1 3234.1 
Steve_Martin/8-VZuZ1Vmak_0000103 3241.0 3249.2 
Steve_Martin/8-VZuZ1Vmak_0000104 3289.8 3295.3 
Steve_Martin/8-VZuZ1Vmak_0000105 3296.3 3300.4 
Steve_Martin/8-VZuZ1Vmak_0000106 3326.9 3333.6 
Steve_Martin/8-VZuZ1Vmak_0000107 3334.2 3340.2 
Steve_Martin/8-VZuZ1Vmak_0000108 3345.9 3363.9 
Steve_Martin/8-VZuZ1Vmak_0000109 3383.4 3401.2 
Steve_Martin/8-VZuZ1Vmak_0000110 3402.6 3422.1 
Steve_Martin/8-VZuZ1Vmak_0000111 3451.3 3455.5 
Steve_Martin/8-VZuZ1Vmak_0000112 3455.7 3461.7 
Steve_Martin/8-VZuZ1Vmak_0000113 3529.4 3534.3 
Steve_Martin/8-VZuZ1Vmak_0000114 3547.5 3554.6 
Steve_Martin/8-VZuZ1Vmak_0000115 3555.0 3559.8 
Steve_Martin/8-VZuZ1Vmak_0000116 3560.4 3565.4 
Steve_Martin/8-VZuZ1Vmak_0000117 3624.8 3629.3 
