POI: 			Peter_Jackson 
Peter_Jackson/ETDT0kqfjfA_0000048 1044.1 1049.4 
Peter_Jackson/ETDT0kqfjfA_0000049 1056.8 1063.6 
Peter_Jackson/ETDT0kqfjfA_0000050 1064.7 1074.6 
Peter_Jackson/ETDT0kqfjfA_0000051 1084.1 1093.6 
Peter_Jackson/ETDT0kqfjfA_0000052 1095.8 1105.4 
Peter_Jackson/ETDT0kqfjfA_0000053 1137.2 1143.5 
Peter_Jackson/ETDT0kqfjfA_0000054 1143.9 1149.8 
Peter_Jackson/ETDT0kqfjfA_0000055 1155.8 1169.1 
Peter_Jackson/ETDT0kqfjfA_0000056 1169.2 1182.6 
Peter_Jackson/ETDT0kqfjfA_0000057 1195.3 1216.9 
Peter_Jackson/ETDT0kqfjfA_0000058 1279.9 1290.5 
Peter_Jackson/ETDT0kqfjfA_0000059 1295.4 1313.1 
Peter_Jackson/ETDT0kqfjfA_0000060 1313.2 1325.0 
Peter_Jackson/ETDT0kqfjfA_0000061 1326.3 1337.0 
Peter_Jackson/ETDT0kqfjfA_0000062 1337.6 1343.4 
Peter_Jackson/ETDT0kqfjfA_0000063 1384.4 1396.1 
Peter_Jackson/ETDT0kqfjfA_0000064 1433.2 1445.7 
Peter_Jackson/ETDT0kqfjfA_0000065 1446.6 1454.9 
Peter_Jackson/ETDT0kqfjfA_0000066 1455.6 1462.9 
Peter_Jackson/ETDT0kqfjfA_0000067 1489.8 1494.6 
Peter_Jackson/ETDT0kqfjfA_0000068 1495.0 1500.5 
Peter_Jackson/ETDT0kqfjfA_0000069 1501.5 1514.4 
Peter_Jackson/ETDT0kqfjfA_0000070 1524.2 1532.2 
Peter_Jackson/ETDT0kqfjfA_0000071 1543.4 1553.4 
Peter_Jackson/ETDT0kqfjfA_0000072 1555.3 1565.6 
Peter_Jackson/ETDT0kqfjfA_0000073 1568.6 1575.6 
Peter_Jackson/ETDT0kqfjfA_0000074 1585.5 1595.0 
Peter_Jackson/ETDT0kqfjfA_0000075 1602.1 1613.6 
Peter_Jackson/ETDT0kqfjfA_0000076 1644.4 1655.1 
Peter_Jackson/ETDT0kqfjfA_0000077 1655.7 1661.3 
Peter_Jackson/ETDT0kqfjfA_0000078 1666.8 1673.6 
Peter_Jackson/ETDT0kqfjfA_0000079 1674.7 1681.9 
Peter_Jackson/ETDT0kqfjfA_0000080 1756.3 1766.1 
Peter_Jackson/ETDT0kqfjfA_0000081 1766.5 1773.2 
Peter_Jackson/ETDT0kqfjfA_0000082 1777.4 1783.6 
Peter_Jackson/ETDT0kqfjfA_0000083 1804.3 1808.2 
Peter_Jackson/ETDT0kqfjfA_0000084 1835.2 1847.9 
Peter_Jackson/ETDT0kqfjfA_0000085 1886.8 1903.8 
Peter_Jackson/ETDT0kqfjfA_0000086 1904.0 1919.4 
Peter_Jackson/ETDT0kqfjfA_0000087 1925.5 1931.4 
Peter_Jackson/ETDT0kqfjfA_0000088 1932.4 1940.7 
Peter_Jackson/ETDT0kqfjfA_0000089 1942.2 1948.0 
Peter_Jackson/ETDT0kqfjfA_0000090 1949.5 1958.4 
Peter_Jackson/ETDT0kqfjfA_0000091 1989.3 1995.0 
Peter_Jackson/ETDT0kqfjfA_0000092 2063.9 2068.0 
Peter_Jackson/ETDT0kqfjfA_0000093 2069.0 2089.6 
Peter_Jackson/ETDT0kqfjfA_0000094 2090.4 2097.6 
Peter_Jackson/ETDT0kqfjfA_0000095 2110.2 2114.4 
Peter_Jackson/ETDT0kqfjfA_0000096 2114.4 2125.8 
Peter_Jackson/ETDT0kqfjfA_0000097 2125.9 2137.7 
Peter_Jackson/ETDT0kqfjfA_0000098 2138.4 2147.3 
Peter_Jackson/ETDT0kqfjfA_0000099 2150.9 2155.2 
Peter_Jackson/ETDT0kqfjfA_0000100 2155.5 2169.6 
Peter_Jackson/ETDT0kqfjfA_0000101 2170.8 2182.9 
Peter_Jackson/ETDT0kqfjfA_0000102 2191.4 2206.6 
Peter_Jackson/ETDT0kqfjfA_0000103 2212.6 2218.4 
Peter_Jackson/ETDT0kqfjfA_0000104 2222.6 2230.7 
Peter_Jackson/ETDT0kqfjfA_0000105 2237.4 2241.4 
Peter_Jackson/ETDT0kqfjfA_0000106 2245.5 2271.2 
Peter_Jackson/ETDT0kqfjfA_0000107 2273.3 2277.8 
Peter_Jackson/ETDT0kqfjfA_0000108 2279.7 2301.8 
Peter_Jackson/ETDT0kqfjfA_0000109 2336.4 2342.2 
Peter_Jackson/ETDT0kqfjfA_0000110 2353.9 2370.6 
Peter_Jackson/ETDT0kqfjfA_0000111 2390.4 2395.9 
Peter_Jackson/ETDT0kqfjfA_0000112 2421.1 2429.6 
Peter_Jackson/ETDT0kqfjfA_0000113 2430.4 2434.9 
Peter_Jackson/ETDT0kqfjfA_0000114 2442.7 2464.4 
Peter_Jackson/ETDT0kqfjfA_0000115 2465.9 2470.4 
Peter_Jackson/ETDT0kqfjfA_0000116 2481.0 2490.2 
Peter_Jackson/ETDT0kqfjfA_0000117 2506.4 2514.7 
