POI: 			Riz_Ahmed 
Riz_Ahmed/HYix__TaweM_0000061 1433.3 1448.7 
Riz_Ahmed/HYix__TaweM_0000062 1451.4 1467.2 
Riz_Ahmed/HYix__TaweM_0000063 1467.9 1482.9 
Riz_Ahmed/HYix__TaweM_0000064 1506.4 1514.3 
Riz_Ahmed/HYix__TaweM_0000065 1527.1 1532.8 
Riz_Ahmed/HYix__TaweM_0000066 1557.0 1563.0 
Riz_Ahmed/HYix__TaweM_0000067 1565.7 1571.3 
Riz_Ahmed/HYix__TaweM_0000068 1584.4 1591.4 
Riz_Ahmed/HYix__TaweM_0000069 1591.6 1596.5 
Riz_Ahmed/HYix__TaweM_0000070 1612.3 1631.3 
Riz_Ahmed/HYix__TaweM_0000071 1632.1 1645.3 
Riz_Ahmed/HYix__TaweM_0000072 1646.4 1650.9 
Riz_Ahmed/HYix__TaweM_0000073 1686.2 1696.2 
Riz_Ahmed/HYix__TaweM_0000074 1740.7 1765.5 
Riz_Ahmed/HYix__TaweM_0000075 1768.4 1773.4 
Riz_Ahmed/HYix__TaweM_0000076 1801.5 1806.8 
Riz_Ahmed/HYix__TaweM_0000077 1808.9 1814.0 
Riz_Ahmed/HYix__TaweM_0000078 1816.8 1821.0 
Riz_Ahmed/HYix__TaweM_0000079 1832.0 1837.8 
Riz_Ahmed/HYix__TaweM_0000080 1982.1 1986.3 
Riz_Ahmed/HYix__TaweM_0000081 1988.2 1994.4 
Riz_Ahmed/HYix__TaweM_0000082 1995.4 1999.7 
Riz_Ahmed/HYix__TaweM_0000083 2003.3 2008.0 
Riz_Ahmed/HYix__TaweM_0000084 2036.9 2046.9 
Riz_Ahmed/HYix__TaweM_0000085 2048.0 2076.5 
Riz_Ahmed/HYix__TaweM_0000086 2076.7 2081.0 
Riz_Ahmed/HYix__TaweM_0000087 2081.4 2095.4 
Riz_Ahmed/HYix__TaweM_0000088 2144.0 2153.4 
Riz_Ahmed/HYix__TaweM_0000089 2154.2 2184.5 
Riz_Ahmed/HYix__TaweM_0000090 2185.0 2191.4 
Riz_Ahmed/HYix__TaweM_0000091 2191.5 2197.9 
