POI: 			Stephen_Fry 
Stephen_Fry/G2QZRjUB_VM_0000040 542.8 547.0 
Stephen_Fry/G2QZRjUB_VM_0000041 558.3 568.4 
Stephen_Fry/G2QZRjUB_VM_0000042 569.1 573.3 
Stephen_Fry/G2QZRjUB_VM_0000043 573.5 584.3 
Stephen_Fry/G2QZRjUB_VM_0000044 588.0 604.4 
Stephen_Fry/G2QZRjUB_VM_0000045 605.2 617.7 
Stephen_Fry/G2QZRjUB_VM_0000046 628.2 634.4 
Stephen_Fry/G2QZRjUB_VM_0000047 643.1 650.6 
Stephen_Fry/G2QZRjUB_VM_0000048 667.5 684.8 
Stephen_Fry/G2QZRjUB_VM_0000049 691.0 696.9 
Stephen_Fry/G2QZRjUB_VM_0000050 697.0 704.3 
Stephen_Fry/G2QZRjUB_VM_0000051 711.8 719.0 
Stephen_Fry/G2QZRjUB_VM_0000052 728.1 736.2 
Stephen_Fry/G2QZRjUB_VM_0000053 737.8 743.9 
Stephen_Fry/G2QZRjUB_VM_0000054 746.7 752.5 
Stephen_Fry/G2QZRjUB_VM_0000055 765.6 781.4 
Stephen_Fry/G2QZRjUB_VM_0000056 795.6 805.6 
Stephen_Fry/G2QZRjUB_VM_0000057 805.8 818.4 
Stephen_Fry/G2QZRjUB_VM_0000058 830.9 840.9 
Stephen_Fry/G2QZRjUB_VM_0000059 850.0 859.4 
Stephen_Fry/G2QZRjUB_VM_0000060 864.4 869.5 
Stephen_Fry/G2QZRjUB_VM_0000061 874.7 878.6 
Stephen_Fry/G2QZRjUB_VM_0000062 895.1 902.0 
Stephen_Fry/G2QZRjUB_VM_0000063 902.2 910.7 
Stephen_Fry/G2QZRjUB_VM_0000064 930.5 948.8 
Stephen_Fry/G2QZRjUB_VM_0000065 949.6 955.8 
Stephen_Fry/G2QZRjUB_VM_0000066 959.0 963.4 
Stephen_Fry/G2QZRjUB_VM_0000067 1001.7 1013.0 
Stephen_Fry/G2QZRjUB_VM_0000068 1013.2 1019.5 
Stephen_Fry/G2QZRjUB_VM_0000069 1022.8 1040.6 
Stephen_Fry/G2QZRjUB_VM_0000070 1046.1 1050.5 
Stephen_Fry/G2QZRjUB_VM_0000071 1052.7 1056.7 
Stephen_Fry/G2QZRjUB_VM_0000072 1062.2 1073.2 
Stephen_Fry/G2QZRjUB_VM_0000073 1075.1 1082.8 
Stephen_Fry/G2QZRjUB_VM_0000074 1089.1 1093.3 
Stephen_Fry/G2QZRjUB_VM_0000075 1094.4 1110.9 
Stephen_Fry/G2QZRjUB_VM_0000076 1124.0 1128.5 
Stephen_Fry/G2QZRjUB_VM_0000077 1130.0 1138.2 
Stephen_Fry/G2QZRjUB_VM_0000078 1142.1 1152.4 
Stephen_Fry/G2QZRjUB_VM_0000079 1164.9 1172.0 
Stephen_Fry/G2QZRjUB_VM_0000080 1178.5 1186.5 
Stephen_Fry/G2QZRjUB_VM_0000081 1200.2 1207.6 
Stephen_Fry/G2QZRjUB_VM_0000082 1231.5 1239.0 
Stephen_Fry/G2QZRjUB_VM_0000083 1258.9 1267.1 
Stephen_Fry/G2QZRjUB_VM_0000084 1273.3 1285.8 
Stephen_Fry/G2QZRjUB_VM_0000085 1296.0 1304.2 
Stephen_Fry/G2QZRjUB_VM_0000086 1309.8 1315.6 
Stephen_Fry/G2QZRjUB_VM_0000087 1328.3 1333.4 
Stephen_Fry/G2QZRjUB_VM_0000088 1335.6 1340.4 
Stephen_Fry/G2QZRjUB_VM_0000089 1344.5 1349.6 
Stephen_Fry/G2QZRjUB_VM_0000090 1354.9 1360.3 
Stephen_Fry/G2QZRjUB_VM_0000091 1367.7 1372.6 
Stephen_Fry/G2QZRjUB_VM_0000092 1377.4 1381.4 
Stephen_Fry/G2QZRjUB_VM_0000093 1382.5 1386.4 
Stephen_Fry/G2QZRjUB_VM_0000094 1396.1 1401.7 
Stephen_Fry/G2QZRjUB_VM_0000095 1406.5 1419.2 
Stephen_Fry/G2QZRjUB_VM_0000096 1433.4 1453.1 
Stephen_Fry/G2QZRjUB_VM_0000097 1453.6 1457.6 
Stephen_Fry/G2QZRjUB_VM_0000098 1458.4 1464.0 
Stephen_Fry/G2QZRjUB_VM_0000099 1470.1 1476.0 
Stephen_Fry/G2QZRjUB_VM_0000100 1486.9 1500.7 
Stephen_Fry/G2QZRjUB_VM_0000101 1503.4 1514.6 
Stephen_Fry/G2QZRjUB_VM_0000102 1514.7 1520.6 
Stephen_Fry/G2QZRjUB_VM_0000103 1526.1 1540.6 
Stephen_Fry/G2QZRjUB_VM_0000104 1540.8 1549.6 
Stephen_Fry/G2QZRjUB_VM_0000105 1550.3 1556.9 
Stephen_Fry/G2QZRjUB_VM_0000106 1557.8 1565.6 
Stephen_Fry/G2QZRjUB_VM_0000107 1570.5 1577.1 
Stephen_Fry/G2QZRjUB_VM_0000108 1591.3 1596.5 
Stephen_Fry/G2QZRjUB_VM_0000109 1604.4 1609.7 
Stephen_Fry/G2QZRjUB_VM_0000110 1613.8 1620.4 
Stephen_Fry/G2QZRjUB_VM_0000111 1621.8 1633.0 
Stephen_Fry/G2QZRjUB_VM_0000112 1634.0 1638.4 
Stephen_Fry/G2QZRjUB_VM_0000113 1647.4 1651.5 
Stephen_Fry/G2QZRjUB_VM_0000114 1667.9 1674.9 
Stephen_Fry/G2QZRjUB_VM_0000115 1695.0 1703.0 
Stephen_Fry/G2QZRjUB_VM_0000116 1704.2 1716.2 
Stephen_Fry/G2QZRjUB_VM_0000117 1716.6 1721.2 
Stephen_Fry/G2QZRjUB_VM_0000118 1733.3 1739.8 
Stephen_Fry/G2QZRjUB_VM_0000119 1761.7 1766.8 
Stephen_Fry/G2QZRjUB_VM_0000120 1777.8 1783.0 
Stephen_Fry/G2QZRjUB_VM_0000121 1788.8 1798.6 
Stephen_Fry/G2QZRjUB_VM_0000122 1813.0 1819.6 
Stephen_Fry/G2QZRjUB_VM_0000123 1835.6 1839.7 
Stephen_Fry/G2QZRjUB_VM_0000124 1840.5 1847.0 
Stephen_Fry/G2QZRjUB_VM_0000125 1862.4 1869.4 
Stephen_Fry/G2QZRjUB_VM_0000126 1870.8 1887.9 
Stephen_Fry/G2QZRjUB_VM_0000127 1894.3 1898.3 
Stephen_Fry/G2QZRjUB_VM_0000128 1898.8 1904.5 
Stephen_Fry/G2QZRjUB_VM_0000129 1911.8 1920.1 
Stephen_Fry/G2QZRjUB_VM_0000130 1911.7 1920.6 
Stephen_Fry/G2QZRjUB_VM_0000131 1933.1 1942.6 
Stephen_Fry/G2QZRjUB_VM_0000132 1945.0 1949.8 
Stephen_Fry/G2QZRjUB_VM_0000133 1971.0 1977.2 
Stephen_Fry/G2QZRjUB_VM_0000134 1979.2 1984.4 
Stephen_Fry/G2QZRjUB_VM_0000135 1986.7 1991.9 
Stephen_Fry/G2QZRjUB_VM_0000136 1992.2 1999.2 
Stephen_Fry/G2QZRjUB_VM_0000137 2010.2 2022.5 
Stephen_Fry/G2QZRjUB_VM_0000138 2032.3 2038.7 
Stephen_Fry/G2QZRjUB_VM_0000139 2067.1 2084.8 
Stephen_Fry/G2QZRjUB_VM_0000140 2085.0 2089.8 
Stephen_Fry/G2QZRjUB_VM_0000141 2096.0 2104.4 
Stephen_Fry/G2QZRjUB_VM_0000142 2104.4 2114.8 
Stephen_Fry/G2QZRjUB_VM_0000143 2122.6 2129.7 
Stephen_Fry/G2QZRjUB_VM_0000144 2139.4 2144.7 
Stephen_Fry/G2QZRjUB_VM_0000145 2153.7 2161.1 
Stephen_Fry/G2QZRjUB_VM_0000146 2161.2 2168.8 
Stephen_Fry/G2QZRjUB_VM_0000147 2208.3 2213.2 
Stephen_Fry/G2QZRjUB_VM_0000148 2214.7 2219.4 
Stephen_Fry/G2QZRjUB_VM_0000149 2238.9 2243.6 
Stephen_Fry/G2QZRjUB_VM_0000150 2243.8 2250.0 
Stephen_Fry/G2QZRjUB_VM_0000151 2258.5 2264.3 
Stephen_Fry/G2QZRjUB_VM_0000152 2282.3 2288.8 
Stephen_Fry/G2QZRjUB_VM_0000153 2288.9 2299.2 
Stephen_Fry/G2QZRjUB_VM_0000154 2309.1 2313.2 
Stephen_Fry/G2QZRjUB_VM_0000155 2313.7 2318.5 
Stephen_Fry/G2QZRjUB_VM_0000156 2329.9 2335.8 
Stephen_Fry/G2QZRjUB_VM_0000157 2336.6 2350.4 
Stephen_Fry/G2QZRjUB_VM_0000158 2381.4 2386.1 
Stephen_Fry/G2QZRjUB_VM_0000159 2388.9 2395.3 
Stephen_Fry/G2QZRjUB_VM_0000160 2400.3 2406.6 
Stephen_Fry/G2QZRjUB_VM_0000161 2409.5 2417.9 
Stephen_Fry/G2QZRjUB_VM_0000162 2424.0 2428.5 
Stephen_Fry/G2QZRjUB_VM_0000163 2430.8 2437.7 
Stephen_Fry/G2QZRjUB_VM_0000164 2444.0 2448.6 
Stephen_Fry/G2QZRjUB_VM_0000165 2460.8 2465.4 
Stephen_Fry/G2QZRjUB_VM_0000166 2470.1 2476.0 
Stephen_Fry/G2QZRjUB_VM_0000167 2484.6 2489.1 
Stephen_Fry/G2QZRjUB_VM_0000168 2492.6 2501.2 
Stephen_Fry/G2QZRjUB_VM_0000169 2505.0 2510.0 
Stephen_Fry/G2QZRjUB_VM_0000170 2513.9 2519.9 
Stephen_Fry/G2QZRjUB_VM_0000171 2540.9 2545.8 
Stephen_Fry/G2QZRjUB_VM_0000172 2548.7 2552.9 
Stephen_Fry/G2QZRjUB_VM_0000173 2569.5 2575.7 
Stephen_Fry/G2QZRjUB_VM_0000174 2579.4 2588.1 
Stephen_Fry/G2QZRjUB_VM_0000175 2595.1 2600.9 
Stephen_Fry/G2QZRjUB_VM_0000176 2601.4 2615.2 
Stephen_Fry/G2QZRjUB_VM_0000177 2635.4 2644.9 
Stephen_Fry/G2QZRjUB_VM_0000178 2645.8 2650.9 
Stephen_Fry/G2QZRjUB_VM_0000179 2657.4 2685.8 
Stephen_Fry/G2QZRjUB_VM_0000180 2687.8 2693.9 
Stephen_Fry/G2QZRjUB_VM_0000181 2721.2 2725.7 
Stephen_Fry/G2QZRjUB_VM_0000182 2743.4 2749.4 
Stephen_Fry/G2QZRjUB_VM_0000183 2762.4 2777.2 
Stephen_Fry/G2QZRjUB_VM_0000184 2801.7 2808.4 
Stephen_Fry/G2QZRjUB_VM_0000185 2809.2 2824.5 
Stephen_Fry/G2QZRjUB_VM_0000186 2831.0 2835.6 
Stephen_Fry/G2QZRjUB_VM_0000187 2836.8 2843.0 
Stephen_Fry/G2QZRjUB_VM_0000188 2844.9 2849.3 
Stephen_Fry/G2QZRjUB_VM_0000189 2850.8 2864.4 
Stephen_Fry/G2QZRjUB_VM_0000190 2872.9 2880.7 
Stephen_Fry/G2QZRjUB_VM_0000191 2884.5 2895.7 
Stephen_Fry/G2QZRjUB_VM_0000192 2896.5 2901.6 
Stephen_Fry/G2QZRjUB_VM_0000193 2911.5 2920.5 
Stephen_Fry/G2QZRjUB_VM_0000194 2922.4 2932.3 
Stephen_Fry/G2QZRjUB_VM_0000195 2936.2 2941.4 
Stephen_Fry/G2QZRjUB_VM_0000196 2942.1 2954.2 
Stephen_Fry/G2QZRjUB_VM_0000197 2958.8 2965.0 
Stephen_Fry/G2QZRjUB_VM_0000198 2965.6 2974.2 
Stephen_Fry/G2QZRjUB_VM_0000199 2975.1 2979.7 
Stephen_Fry/G2QZRjUB_VM_0000200 2994.8 3005.2 
Stephen_Fry/G2QZRjUB_VM_0000201 3009.8 3026.4 
Stephen_Fry/G2QZRjUB_VM_0000202 3028.2 3032.5 
Stephen_Fry/G2QZRjUB_VM_0000203 3037.6 3048.6 
Stephen_Fry/G2QZRjUB_VM_0000204 3049.6 3056.0 
Stephen_Fry/G2QZRjUB_VM_0000205 3066.4 3074.5 
Stephen_Fry/G2QZRjUB_VM_0000206 3092.1 3098.0 
Stephen_Fry/G2QZRjUB_VM_0000207 3116.8 3122.7 
Stephen_Fry/G2QZRjUB_VM_0000208 3138.6 3146.7 
Stephen_Fry/G2QZRjUB_VM_0000209 3173.7 3178.3 
Stephen_Fry/G2QZRjUB_VM_0000210 3210.2 3222.0 
Stephen_Fry/G2QZRjUB_VM_0000211 3238.0 3247.2 
Stephen_Fry/G2QZRjUB_VM_0000212 3265.0 3271.2 
Stephen_Fry/G2QZRjUB_VM_0000213 3278.8 3290.0 
Stephen_Fry/G2QZRjUB_VM_0000214 3292.3 3298.6 
Stephen_Fry/G2QZRjUB_VM_0000215 3300.7 3309.3 
Stephen_Fry/G2QZRjUB_VM_0000216 3309.7 3315.5 
Stephen_Fry/G2QZRjUB_VM_0000217 3317.4 3336.2 
Stephen_Fry/G2QZRjUB_VM_0000218 3336.9 3347.4 
Stephen_Fry/G2QZRjUB_VM_0000219 3349.4 3356.4 
Stephen_Fry/G2QZRjUB_VM_0000220 3352.3 3361.1 
Stephen_Fry/G2QZRjUB_VM_0000221 3379.2 3389.6 
Stephen_Fry/G2QZRjUB_VM_0000222 3393.0 3397.6 
Stephen_Fry/G2QZRjUB_VM_0000223 3397.8 3415.8 
Stephen_Fry/G2QZRjUB_VM_0000224 3425.9 3433.0 
Stephen_Fry/G2QZRjUB_VM_0000225 3437.6 3444.6 
Stephen_Fry/G2QZRjUB_VM_0000226 3462.8 3467.0 
Stephen_Fry/G2QZRjUB_VM_0000227 3469.0 3473.2 
Stephen_Fry/G2QZRjUB_VM_0000228 3474.1 3490.4 
Stephen_Fry/G2QZRjUB_VM_0000229 3494.4 3499.9 
Stephen_Fry/G2QZRjUB_VM_0000230 3506.4 3527.6 
Stephen_Fry/G2QZRjUB_VM_0000231 3527.9 3543.4 
Stephen_Fry/G2QZRjUB_VM_0000232 3561.4 3573.4 
Stephen_Fry/G2QZRjUB_VM_0000233 3587.0 3595.2 
Stephen_Fry/G2QZRjUB_VM_0000234 3595.8 3600.8 
Stephen_Fry/G2QZRjUB_VM_0000235 3605.5 3610.8 
Stephen_Fry/G2QZRjUB_VM_0000236 3622.9 3631.5 
Stephen_Fry/G2QZRjUB_VM_0000237 3634.6 3640.6 
Stephen_Fry/G2QZRjUB_VM_0000238 3668.0 3675.2 
Stephen_Fry/G2QZRjUB_VM_0000239 3658.9 3663.0 
