POI: 			Stephen_Fry 
Stephen_Fry/6pscjBGTr_o_0000032 779.5 784.1 
Stephen_Fry/6pscjBGTr_o_0000033 879.8 883.8 
Stephen_Fry/6pscjBGTr_o_0000034 884.4 889.5 
Stephen_Fry/6pscjBGTr_o_0000035 903.3 907.6 
Stephen_Fry/6pscjBGTr_o_0000036 910.7 916.9 
Stephen_Fry/6pscjBGTr_o_0000037 937.4 944.4 
Stephen_Fry/6pscjBGTr_o_0000038 951.2 956.2 
Stephen_Fry/6pscjBGTr_o_0000039 959.3 965.4 
Stephen_Fry/6pscjBGTr_o_0000040 972.3 976.6 
Stephen_Fry/6pscjBGTr_o_0000041 995.9 1004.0 
Stephen_Fry/6pscjBGTr_o_0000042 1010.6 1016.0 
Stephen_Fry/6pscjBGTr_o_0000043 1022.0 1026.5 
Stephen_Fry/6pscjBGTr_o_0000044 1034.4 1038.4 
Stephen_Fry/6pscjBGTr_o_0000045 1050.0 1055.9 
Stephen_Fry/6pscjBGTr_o_0000046 1058.2 1063.1 
Stephen_Fry/6pscjBGTr_o_0000047 1063.2 1067.9 
Stephen_Fry/6pscjBGTr_o_0000048 1072.8 1080.0 
Stephen_Fry/6pscjBGTr_o_0000049 1113.1 1117.8 
Stephen_Fry/6pscjBGTr_o_0000050 1136.8 1147.0 
Stephen_Fry/6pscjBGTr_o_0000051 1154.6 1158.6 
Stephen_Fry/6pscjBGTr_o_0000052 1165.0 1172.2 
Stephen_Fry/6pscjBGTr_o_0000053 1179.2 1185.3 
Stephen_Fry/6pscjBGTr_o_0000054 1274.9 1278.9 
Stephen_Fry/6pscjBGTr_o_0000055 1280.5 1289.4 
Stephen_Fry/6pscjBGTr_o_0000056 1291.6 1297.5 
Stephen_Fry/6pscjBGTr_o_0000057 1297.9 1301.9 
Stephen_Fry/6pscjBGTr_o_0000058 1312.4 1321.2 
Stephen_Fry/6pscjBGTr_o_0000059 1329.0 1333.5 
Stephen_Fry/6pscjBGTr_o_0000060 1339.2 1345.1 
Stephen_Fry/6pscjBGTr_o_0000061 1353.2 1357.6 
Stephen_Fry/6pscjBGTr_o_0000062 1367.9 1387.4 
Stephen_Fry/6pscjBGTr_o_0000063 1387.6 1392.4 
Stephen_Fry/6pscjBGTr_o_0000064 1393.2 1400.5 
Stephen_Fry/6pscjBGTr_o_0000065 1425.7 1429.8 
Stephen_Fry/6pscjBGTr_o_0000066 1457.2 1461.3 
Stephen_Fry/6pscjBGTr_o_0000067 1469.9 1478.6 
Stephen_Fry/6pscjBGTr_o_0000068 1480.5 1505.7 
Stephen_Fry/6pscjBGTr_o_0000069 1521.2 1531.3 
Stephen_Fry/6pscjBGTr_o_0000070 1557.0 1563.9 
Stephen_Fry/6pscjBGTr_o_0000071 1565.0 1574.4 
Stephen_Fry/6pscjBGTr_o_0000072 1577.7 1582.9 
Stephen_Fry/6pscjBGTr_o_0000073 1584.3 1590.3 
Stephen_Fry/6pscjBGTr_o_0000074 1614.5 1620.2 
Stephen_Fry/6pscjBGTr_o_0000075 1629.5 1637.7 
Stephen_Fry/6pscjBGTr_o_0000076 1645.1 1651.6 
Stephen_Fry/6pscjBGTr_o_0000077 1654.9 1663.1 
Stephen_Fry/6pscjBGTr_o_0000078 1665.0 1669.2 
Stephen_Fry/6pscjBGTr_o_0000079 1691.2 1702.1 
Stephen_Fry/6pscjBGTr_o_0000080 1702.2 1707.9 
Stephen_Fry/6pscjBGTr_o_0000081 1708.6 1718.2 
Stephen_Fry/6pscjBGTr_o_0000082 1723.0 1728.6 
Stephen_Fry/6pscjBGTr_o_0000083 1766.2 1780.4 
Stephen_Fry/6pscjBGTr_o_0000084 1790.0 1794.1 
Stephen_Fry/6pscjBGTr_o_0000085 1800.6 1810.6 
Stephen_Fry/6pscjBGTr_o_0000086 1815.0 1819.0 
Stephen_Fry/6pscjBGTr_o_0000087 1819.2 1836.6 
Stephen_Fry/6pscjBGTr_o_0000088 1840.4 1846.0 
Stephen_Fry/6pscjBGTr_o_0000089 1849.1 1860.7 
Stephen_Fry/6pscjBGTr_o_0000090 1869.8 1875.1 
Stephen_Fry/6pscjBGTr_o_0000091 1880.8 1889.4 
