POI: 			Greta_Gerwig 
Greta_Gerwig/m0pirbsgB-c_0000052 977.2 982.9 
Greta_Gerwig/m0pirbsgB-c_0000053 985.9 993.0 
Greta_Gerwig/m0pirbsgB-c_0000054 997.3 1003.5 
Greta_Gerwig/m0pirbsgB-c_0000055 1004.2 1008.5 
Greta_Gerwig/m0pirbsgB-c_0000056 1012.0 1022.5 
Greta_Gerwig/m0pirbsgB-c_0000057 1025.6 1029.7 
Greta_Gerwig/m0pirbsgB-c_0000058 1035.9 1042.0 
Greta_Gerwig/m0pirbsgB-c_0000059 1043.0 1047.0 
Greta_Gerwig/m0pirbsgB-c_0000060 1047.6 1054.8 
Greta_Gerwig/m0pirbsgB-c_0000061 1056.8 1070.1 
Greta_Gerwig/m0pirbsgB-c_0000062 1088.9 1093.2 
Greta_Gerwig/m0pirbsgB-c_0000063 1105.1 1109.1 
Greta_Gerwig/m0pirbsgB-c_0000064 1187.9 1192.7 
Greta_Gerwig/m0pirbsgB-c_0000065 1261.2 1267.4 
Greta_Gerwig/m0pirbsgB-c_0000066 1267.6 1271.7 
Greta_Gerwig/m0pirbsgB-c_0000067 1278.3 1284.4 
Greta_Gerwig/m0pirbsgB-c_0000068 1286.1 1291.7 
Greta_Gerwig/m0pirbsgB-c_0000069 1305.1 1309.8 
Greta_Gerwig/m0pirbsgB-c_0000070 1322.4 1328.6 
Greta_Gerwig/m0pirbsgB-c_0000071 1330.4 1342.2 
Greta_Gerwig/m0pirbsgB-c_0000072 1347.1 1352.0 
Greta_Gerwig/m0pirbsgB-c_0000073 1389.5 1398.8 
Greta_Gerwig/m0pirbsgB-c_0000074 1402.3 1411.7 
Greta_Gerwig/m0pirbsgB-c_0000075 1415.1 1420.9 
Greta_Gerwig/m0pirbsgB-c_0000076 1421.7 1429.6 
Greta_Gerwig/m0pirbsgB-c_0000077 1472.8 1479.8 
Greta_Gerwig/m0pirbsgB-c_0000078 1546.7 1552.6 
Greta_Gerwig/m0pirbsgB-c_0000079 1554.4 1574.3 
Greta_Gerwig/m0pirbsgB-c_0000080 1590.7 1595.6 
Greta_Gerwig/m0pirbsgB-c_0000081 1600.4 1606.6 
Greta_Gerwig/m0pirbsgB-c_0000082 1675.4 1681.5 
Greta_Gerwig/m0pirbsgB-c_0000083 1689.8 1698.8 
Greta_Gerwig/m0pirbsgB-c_0000084 1733.1 1738.2 
Greta_Gerwig/m0pirbsgB-c_0000085 1770.9 1775.8 
Greta_Gerwig/m0pirbsgB-c_0000086 1913.4 1940.1 
Greta_Gerwig/m0pirbsgB-c_0000087 1947.6 1952.6 
Greta_Gerwig/m0pirbsgB-c_0000088 1873.6 1877.6 
Greta_Gerwig/m0pirbsgB-c_0000089 1963.0 1969.2 
Greta_Gerwig/m0pirbsgB-c_0000090 2022.5 2029.4 
Greta_Gerwig/m0pirbsgB-c_0000091 2057.5 2064.5 
Greta_Gerwig/m0pirbsgB-c_0000092 2067.8 2073.5 
Greta_Gerwig/m0pirbsgB-c_0000093 2082.4 2090.4 
Greta_Gerwig/m0pirbsgB-c_0000094 2091.4 2097.2 
Greta_Gerwig/m0pirbsgB-c_0000095 2136.0 2142.0 
Greta_Gerwig/m0pirbsgB-c_0000096 2200.9 2208.0 
Greta_Gerwig/m0pirbsgB-c_0000097 2289.8 2298.8 
Greta_Gerwig/m0pirbsgB-c_0000098 2305.5 2309.6 
Greta_Gerwig/m0pirbsgB-c_0000099 2327.9 2336.8 
Greta_Gerwig/m0pirbsgB-c_0000100 2352.4 2359.2 
Greta_Gerwig/m0pirbsgB-c_0000101 2441.4 2448.5 
Greta_Gerwig/m0pirbsgB-c_0000102 2478.8 2484.9 
Greta_Gerwig/m0pirbsgB-c_0000103 2516.4 2534.2 
Greta_Gerwig/m0pirbsgB-c_0000104 2536.5 2540.8 
Greta_Gerwig/m0pirbsgB-c_0000105 2553.8 2562.2 
