POI: 			Nichelle_Nichols 
Nichelle_Nichols/WcLzSLJ8RB8_0000033 549.1 556.9 
Nichelle_Nichols/WcLzSLJ8RB8_0000034 565.7 574.9 
Nichelle_Nichols/WcLzSLJ8RB8_0000035 576.6 589.0 
Nichelle_Nichols/WcLzSLJ8RB8_0000036 589.9 595.6 
Nichelle_Nichols/WcLzSLJ8RB8_0000037 662.1 666.3 
Nichelle_Nichols/WcLzSLJ8RB8_0000038 667.6 672.7 
Nichelle_Nichols/WcLzSLJ8RB8_0000039 707.2 711.8 
Nichelle_Nichols/WcLzSLJ8RB8_0000040 712.1 716.8 
Nichelle_Nichols/WcLzSLJ8RB8_0000041 721.3 725.4 
Nichelle_Nichols/WcLzSLJ8RB8_0000042 743.2 748.2 
Nichelle_Nichols/WcLzSLJ8RB8_0000043 752.6 756.8 
Nichelle_Nichols/WcLzSLJ8RB8_0000044 792.2 797.1 
Nichelle_Nichols/WcLzSLJ8RB8_0000045 783.2 791.7 
Nichelle_Nichols/WcLzSLJ8RB8_0000046 818.8 822.9 
Nichelle_Nichols/WcLzSLJ8RB8_0000047 854.7 859.4 
Nichelle_Nichols/WcLzSLJ8RB8_0000048 860.1 868.8 
Nichelle_Nichols/WcLzSLJ8RB8_0000049 869.0 876.2 
Nichelle_Nichols/WcLzSLJ8RB8_0000050 881.0 887.0 
Nichelle_Nichols/WcLzSLJ8RB8_0000051 902.1 909.0 
Nichelle_Nichols/WcLzSLJ8RB8_0000052 946.2 959.6 
Nichelle_Nichols/WcLzSLJ8RB8_0000053 1030.1 1034.2 
Nichelle_Nichols/WcLzSLJ8RB8_0000054 1035.4 1041.2 
Nichelle_Nichols/WcLzSLJ8RB8_0000055 1050.1 1054.9 
Nichelle_Nichols/WcLzSLJ8RB8_0000056 1067.8 1072.2 
Nichelle_Nichols/WcLzSLJ8RB8_0000057 1076.8 1082.7 
Nichelle_Nichols/WcLzSLJ8RB8_0000058 1082.8 1087.2 
Nichelle_Nichols/WcLzSLJ8RB8_0000059 1107.1 1111.8 
Nichelle_Nichols/WcLzSLJ8RB8_0000060 1121.7 1134.0 
Nichelle_Nichols/WcLzSLJ8RB8_0000061 1136.8 1141.0 
Nichelle_Nichols/WcLzSLJ8RB8_0000062 1141.3 1146.9 
Nichelle_Nichols/WcLzSLJ8RB8_0000063 1148.3 1155.1 
Nichelle_Nichols/WcLzSLJ8RB8_0000064 1160.5 1166.6 
Nichelle_Nichols/WcLzSLJ8RB8_0000065 1175.3 1180.6 
Nichelle_Nichols/WcLzSLJ8RB8_0000066 1181.8 1187.2 
Nichelle_Nichols/WcLzSLJ8RB8_0000067 1192.3 1197.7 
Nichelle_Nichols/WcLzSLJ8RB8_0000068 1198.7 1221.4 
Nichelle_Nichols/WcLzSLJ8RB8_0000069 1244.3 1250.8 
Nichelle_Nichols/WcLzSLJ8RB8_0000070 1254.4 1258.5 
Nichelle_Nichols/WcLzSLJ8RB8_0000071 1259.4 1263.8 
Nichelle_Nichols/WcLzSLJ8RB8_0000072 1317.8 1322.2 
Nichelle_Nichols/WcLzSLJ8RB8_0000073 1333.7 1343.1 
Nichelle_Nichols/WcLzSLJ8RB8_0000074 1344.2 1353.3 
Nichelle_Nichols/WcLzSLJ8RB8_0000075 1408.1 1412.4 
Nichelle_Nichols/WcLzSLJ8RB8_0000076 1413.4 1419.0 
Nichelle_Nichols/WcLzSLJ8RB8_0000077 1419.9 1429.3 
Nichelle_Nichols/WcLzSLJ8RB8_0000078 1439.6 1443.8 
Nichelle_Nichols/WcLzSLJ8RB8_0000079 1466.2 1472.2 
Nichelle_Nichols/WcLzSLJ8RB8_0000080 1498.6 1502.6 
Nichelle_Nichols/WcLzSLJ8RB8_0000081 1503.6 1512.0 
Nichelle_Nichols/WcLzSLJ8RB8_0000082 1512.3 1518.8 
Nichelle_Nichols/WcLzSLJ8RB8_0000083 1525.8 1536.9 
Nichelle_Nichols/WcLzSLJ8RB8_0000084 1548.1 1552.4 
Nichelle_Nichols/WcLzSLJ8RB8_0000085 1572.4 1585.3 
Nichelle_Nichols/WcLzSLJ8RB8_0000086 1611.2 1615.3 
Nichelle_Nichols/WcLzSLJ8RB8_0000087 1616.2 1622.2 
Nichelle_Nichols/WcLzSLJ8RB8_0000088 1622.6 1627.2 
Nichelle_Nichols/WcLzSLJ8RB8_0000089 1627.8 1635.3 
Nichelle_Nichols/WcLzSLJ8RB8_0000090 1656.0 1663.8 
