POI: 			Neil_deGrasse_Tyson 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000071 1577.0 1582.4 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000072 1589.5 1594.2 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000073 1603.3 1608.2 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000074 1632.7 1636.8 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000075 1679.7 1686.3 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000076 1687.0 1692.7 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000077 1693.8 1702.2 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000078 1716.8 1725.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000079 1751.5 1759.3 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000080 1884.8 1895.2 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000081 1896.4 1900.8 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000082 1901.7 1906.6 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000083 1957.6 1965.2 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000084 1992.8 2002.9 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000085 2013.7 2026.6 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000086 2114.3 2119.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000087 2136.2 2145.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000088 2146.1 2152.1 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000089 2158.1 2164.9 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000090 2165.2 2172.5 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000091 2191.8 2199.2 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000092 2205.5 2215.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000093 2229.4 2236.2 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000094 2238.1 2243.3 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000095 2255.5 2261.4 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000096 2293.8 2301.8 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000097 2311.2 2315.4 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000098 2335.0 2344.2 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000099 2363.4 2370.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000100 2370.8 2376.3 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000101 2381.5 2386.6 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000102 2410.6 2415.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000103 2420.0 2429.9 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000104 2431.6 2441.4 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000105 2443.2 2449.9 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000106 2467.4 2472.2 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000107 2503.6 2510.7 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000108 2545.2 2551.1 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000109 2553.4 2558.6 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000110 2572.6 2582.6 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000111 2668.7 2672.8 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000112 2682.3 2693.8 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000113 2717.8 2724.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000114 2726.2 2730.5 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000115 2752.4 2756.7 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000116 2820.6 2829.3 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000117 2835.4 2840.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000118 2899.0 2907.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000119 2910.5 2914.6 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000120 2915.6 2920.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000121 2952.3 2956.4 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000122 2977.8 2983.3 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000123 2984.0 2991.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000124 2991.8 2996.5 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000125 3035.2 3039.8 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000126 3057.6 3068.2 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000127 3069.2 3074.1 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000128 3084.6 3088.5 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000129 3104.5 3109.4 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000130 3164.2 3168.7 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000131 3171.1 3178.8 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000132 3179.4 3185.2 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000133 3199.5 3203.6 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000134 3252.0 3258.4 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000135 3259.7 3270.8 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000136 3311.6 3315.6 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000137 3332.1 3336.8 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000138 3353.1 3358.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000139 3365.6 3378.0 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000140 3378.6 3385.2 
Neil_deGrasse_Tyson/P_Um2VdIKmA_0000141 3386.3 3398.3 
