POI: 			Hans_Zimmer 
Hans_Zimmer/NtHTKtpuXT0_0000027 470.6 476.8 
Hans_Zimmer/NtHTKtpuXT0_0000028 477.6 482.5 
Hans_Zimmer/NtHTKtpuXT0_0000029 489.4 496.9 
Hans_Zimmer/NtHTKtpuXT0_0000030 498.8 503.9 
Hans_Zimmer/NtHTKtpuXT0_0000031 505.5 511.6 
Hans_Zimmer/NtHTKtpuXT0_0000032 532.3 537.1 
Hans_Zimmer/NtHTKtpuXT0_0000033 586.9 591.9 
Hans_Zimmer/NtHTKtpuXT0_0000034 608.6 612.9 
Hans_Zimmer/NtHTKtpuXT0_0000035 613.5 620.4 
Hans_Zimmer/NtHTKtpuXT0_0000036 621.3 626.3 
Hans_Zimmer/NtHTKtpuXT0_0000037 628.4 633.0 
Hans_Zimmer/NtHTKtpuXT0_0000038 634.6 642.1 
Hans_Zimmer/NtHTKtpuXT0_0000039 647.7 652.5 
Hans_Zimmer/NtHTKtpuXT0_0000040 663.1 670.1 
Hans_Zimmer/NtHTKtpuXT0_0000041 684.4 695.6 
Hans_Zimmer/NtHTKtpuXT0_0000042 719.3 723.9 
Hans_Zimmer/NtHTKtpuXT0_0000043 741.4 747.7 
Hans_Zimmer/NtHTKtpuXT0_0000044 759.4 774.9 
Hans_Zimmer/NtHTKtpuXT0_0000045 784.0 790.0 
Hans_Zimmer/NtHTKtpuXT0_0000046 794.8 807.1 
Hans_Zimmer/NtHTKtpuXT0_0000047 818.2 826.2 
Hans_Zimmer/NtHTKtpuXT0_0000048 834.3 841.7 
Hans_Zimmer/NtHTKtpuXT0_0000049 843.5 847.6 
Hans_Zimmer/NtHTKtpuXT0_0000050 850.1 854.6 
Hans_Zimmer/NtHTKtpuXT0_0000051 857.0 863.8 
Hans_Zimmer/NtHTKtpuXT0_0000052 882.8 886.8 
Hans_Zimmer/NtHTKtpuXT0_0000053 891.6 895.9 
Hans_Zimmer/NtHTKtpuXT0_0000054 898.4 906.8 
Hans_Zimmer/NtHTKtpuXT0_0000055 914.6 920.5 
Hans_Zimmer/NtHTKtpuXT0_0000056 921.6 940.0 
Hans_Zimmer/NtHTKtpuXT0_0000057 941.0 945.0 
Hans_Zimmer/NtHTKtpuXT0_0000058 1011.4 1016.6 
Hans_Zimmer/NtHTKtpuXT0_0000059 1019.3 1025.6 
Hans_Zimmer/NtHTKtpuXT0_0000060 1026.0 1031.7 
Hans_Zimmer/NtHTKtpuXT0_0000061 1032.0 1046.9 
Hans_Zimmer/NtHTKtpuXT0_0000062 1070.6 1075.2 
Hans_Zimmer/NtHTKtpuXT0_0000063 1103.1 1108.8 
Hans_Zimmer/NtHTKtpuXT0_0000064 1109.0 1117.8 
Hans_Zimmer/NtHTKtpuXT0_0000065 1119.8 1124.2 
Hans_Zimmer/NtHTKtpuXT0_0000066 1125.3 1132.4 
Hans_Zimmer/NtHTKtpuXT0_0000067 1136.5 1143.8 
Hans_Zimmer/NtHTKtpuXT0_0000068 1144.1 1149.5 
Hans_Zimmer/NtHTKtpuXT0_0000069 1153.7 1161.1 
Hans_Zimmer/NtHTKtpuXT0_0000070 1161.8 1168.0 
Hans_Zimmer/NtHTKtpuXT0_0000071 1202.4 1211.2 
Hans_Zimmer/NtHTKtpuXT0_0000072 1217.8 1224.0 
Hans_Zimmer/NtHTKtpuXT0_0000073 1247.8 1253.4 
Hans_Zimmer/NtHTKtpuXT0_0000074 1270.6 1278.7 
Hans_Zimmer/NtHTKtpuXT0_0000075 1282.8 1290.4 
Hans_Zimmer/NtHTKtpuXT0_0000076 1294.7 1301.2 
Hans_Zimmer/NtHTKtpuXT0_0000077 1309.8 1325.4 
Hans_Zimmer/NtHTKtpuXT0_0000078 1343.4 1349.6 
Hans_Zimmer/NtHTKtpuXT0_0000079 1361.1 1368.0 
Hans_Zimmer/NtHTKtpuXT0_0000080 1366.9 1372.1 
Hans_Zimmer/NtHTKtpuXT0_0000081 1394.1 1398.1 
Hans_Zimmer/NtHTKtpuXT0_0000082 1410.0 1418.6 
