POI: 			Robert_Picardo 
Robert_Picardo/sE2Ju0mmX0U_0000049 1043.1 1048.8 
Robert_Picardo/sE2Ju0mmX0U_0000050 1053.4 1068.6 
Robert_Picardo/sE2Ju0mmX0U_0000051 1074.6 1084.0 
Robert_Picardo/sE2Ju0mmX0U_0000052 1087.1 1096.1 
Robert_Picardo/sE2Ju0mmX0U_0000053 1101.4 1105.7 
Robert_Picardo/sE2Ju0mmX0U_0000054 1112.1 1118.0 
Robert_Picardo/sE2Ju0mmX0U_0000055 1119.1 1129.6 
Robert_Picardo/sE2Ju0mmX0U_0000056 1130.0 1134.1 
Robert_Picardo/sE2Ju0mmX0U_0000057 1141.0 1161.8 
Robert_Picardo/sE2Ju0mmX0U_0000058 1164.4 1168.6 
Robert_Picardo/sE2Ju0mmX0U_0000059 1171.5 1178.0 
Robert_Picardo/sE2Ju0mmX0U_0000060 1179.2 1185.9 
Robert_Picardo/sE2Ju0mmX0U_0000061 1206.3 1211.8 
Robert_Picardo/sE2Ju0mmX0U_0000062 1351.0 1357.6 
Robert_Picardo/sE2Ju0mmX0U_0000063 1394.2 1402.1 
Robert_Picardo/sE2Ju0mmX0U_0000064 1402.9 1413.6 
Robert_Picardo/sE2Ju0mmX0U_0000065 1423.7 1428.0 
Robert_Picardo/sE2Ju0mmX0U_0000066 1432.2 1438.6 
Robert_Picardo/sE2Ju0mmX0U_0000067 1441.3 1449.8 
Robert_Picardo/sE2Ju0mmX0U_0000068 1456.5 1463.5 
Robert_Picardo/sE2Ju0mmX0U_0000069 1465.8 1484.2 
Robert_Picardo/sE2Ju0mmX0U_0000070 1488.6 1496.4 
Robert_Picardo/sE2Ju0mmX0U_0000071 1496.9 1503.7 
Robert_Picardo/sE2Ju0mmX0U_0000072 1524.5 1532.3 
Robert_Picardo/sE2Ju0mmX0U_0000073 1546.0 1558.1 
Robert_Picardo/sE2Ju0mmX0U_0000074 1563.7 1577.5 
Robert_Picardo/sE2Ju0mmX0U_0000075 1572.8 1579.8 
Robert_Picardo/sE2Ju0mmX0U_0000076 1580.2 1589.2 
Robert_Picardo/sE2Ju0mmX0U_0000077 1594.7 1599.0 
Robert_Picardo/sE2Ju0mmX0U_0000078 1602.0 1613.8 
Robert_Picardo/sE2Ju0mmX0U_0000079 1641.0 1651.7 
Robert_Picardo/sE2Ju0mmX0U_0000080 1656.5 1662.9 
Robert_Picardo/sE2Ju0mmX0U_0000081 1664.0 1672.3 
Robert_Picardo/sE2Ju0mmX0U_0000082 1673.8 1678.7 
Robert_Picardo/sE2Ju0mmX0U_0000083 1643.4 1651.7 
Robert_Picardo/sE2Ju0mmX0U_0000084 1691.2 1697.0 
Robert_Picardo/sE2Ju0mmX0U_0000085 1699.8 1706.6 
Robert_Picardo/sE2Ju0mmX0U_0000086 1711.4 1717.4 
Robert_Picardo/sE2Ju0mmX0U_0000087 1723.8 1730.0 
Robert_Picardo/sE2Ju0mmX0U_0000088 1730.2 1749.6 
Robert_Picardo/sE2Ju0mmX0U_0000089 1809.1 1815.3 
Robert_Picardo/sE2Ju0mmX0U_0000090 1817.6 1822.4 
Robert_Picardo/sE2Ju0mmX0U_0000091 1826.4 1830.5 
Robert_Picardo/sE2Ju0mmX0U_0000092 1837.3 1847.4 
Robert_Picardo/sE2Ju0mmX0U_0000093 1860.2 1867.0 
Robert_Picardo/sE2Ju0mmX0U_0000094 1881.1 1887.0 
Robert_Picardo/sE2Ju0mmX0U_0000095 1887.9 1933.3 
Robert_Picardo/sE2Ju0mmX0U_0000096 1952.3 1968.0 
Robert_Picardo/sE2Ju0mmX0U_0000097 1973.3 1978.4 
Robert_Picardo/sE2Ju0mmX0U_0000098 1983.2 1989.4 
Robert_Picardo/sE2Ju0mmX0U_0000099 1994.4 2007.4 
Robert_Picardo/sE2Ju0mmX0U_0000100 2024.1 2032.4 
Robert_Picardo/sE2Ju0mmX0U_0000101 2033.9 2044.4 
Robert_Picardo/sE2Ju0mmX0U_0000102 2046.5 2051.1 
Robert_Picardo/sE2Ju0mmX0U_0000103 2051.3 2056.7 
Robert_Picardo/sE2Ju0mmX0U_0000104 2062.2 2071.2 
Robert_Picardo/sE2Ju0mmX0U_0000105 2083.6 2093.2 
Robert_Picardo/sE2Ju0mmX0U_0000106 2098.8 2103.3 
