POI: 			J.J._Abrams 
J.J._Abrams/5bE7zSyjNSs_0000062 1231.4 1246.8 
J.J._Abrams/5bE7zSyjNSs_0000063 1250.1 1268.0 
J.J._Abrams/5bE7zSyjNSs_0000064 1308.5 1325.3 
J.J._Abrams/5bE7zSyjNSs_0000065 1325.4 1333.2 
J.J._Abrams/5bE7zSyjNSs_0000066 1348.8 1359.6 
J.J._Abrams/5bE7zSyjNSs_0000067 1363.2 1369.8 
J.J._Abrams/5bE7zSyjNSs_0000068 1372.8 1384.0 
J.J._Abrams/5bE7zSyjNSs_0000069 1384.8 1389.8 
J.J._Abrams/5bE7zSyjNSs_0000070 1415.6 1427.8 
J.J._Abrams/5bE7zSyjNSs_0000071 1429.2 1451.0 
J.J._Abrams/5bE7zSyjNSs_0000072 1451.9 1457.6 
J.J._Abrams/5bE7zSyjNSs_0000073 1465.5 1472.9 
J.J._Abrams/5bE7zSyjNSs_0000074 1477.6 1489.6 
J.J._Abrams/5bE7zSyjNSs_0000075 1494.0 1499.2 
J.J._Abrams/5bE7zSyjNSs_0000076 1499.9 1505.5 
J.J._Abrams/5bE7zSyjNSs_0000077 1510.0 1514.9 
J.J._Abrams/5bE7zSyjNSs_0000078 1517.0 1522.5 
J.J._Abrams/5bE7zSyjNSs_0000079 1537.5 1543.0 
J.J._Abrams/5bE7zSyjNSs_0000080 1544.1 1552.7 
J.J._Abrams/5bE7zSyjNSs_0000081 1556.2 1570.2 
J.J._Abrams/5bE7zSyjNSs_0000082 1574.3 1589.0 
J.J._Abrams/5bE7zSyjNSs_0000083 1657.6 1662.1 
J.J._Abrams/5bE7zSyjNSs_0000084 1664.4 1671.0 
J.J._Abrams/5bE7zSyjNSs_0000085 1671.7 1676.8 
J.J._Abrams/5bE7zSyjNSs_0000086 1682.8 1704.5 
J.J._Abrams/5bE7zSyjNSs_0000087 1705.2 1710.6 
J.J._Abrams/5bE7zSyjNSs_0000088 1715.8 1725.0 
J.J._Abrams/5bE7zSyjNSs_0000089 1727.7 1745.0 
J.J._Abrams/5bE7zSyjNSs_0000090 1746.7 1750.7 
J.J._Abrams/5bE7zSyjNSs_0000091 1750.8 1766.1 
J.J._Abrams/5bE7zSyjNSs_0000092 1784.0 1795.7 
J.J._Abrams/5bE7zSyjNSs_0000093 1797.2 1808.8 
J.J._Abrams/5bE7zSyjNSs_0000094 1809.0 1814.5 
J.J._Abrams/5bE7zSyjNSs_0000095 1857.4 1870.6 
J.J._Abrams/5bE7zSyjNSs_0000096 1892.4 1899.2 
J.J._Abrams/5bE7zSyjNSs_0000097 1899.7 1903.7 
J.J._Abrams/5bE7zSyjNSs_0000098 1913.8 1919.5 
J.J._Abrams/5bE7zSyjNSs_0000099 1943.2 1948.0 
