POI: 			Sheryl_Lee_Ralph 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000028 627.8 633.1 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000029 636.7 644.7 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000030 651.1 664.8 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000031 668.6 678.0 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000032 691.4 705.3 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000033 709.3 727.3 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000034 730.9 738.6 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000035 742.6 749.3 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000036 754.7 764.9 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000037 771.8 785.3 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000038 785.4 800.4 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000039 812.1 826.1 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000040 826.7 832.1 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000041 840.3 853.6 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000042 858.1 870.0 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000043 874.9 883.5 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000044 924.3 931.5 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000045 931.9 942.2 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000046 958.2 975.6 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000047 990.8 998.8 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000048 1000.1 1006.8 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000049 1016.0 1023.6 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000050 1027.0 1044.0 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000051 1058.4 1066.2 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000052 1081.8 1089.3 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000053 1095.0 1106.7 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000054 1113.9 1121.3 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000055 1122.6 1127.3 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000056 1133.0 1149.2 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000057 1162.6 1166.8 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000058 1169.5 1179.3 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000059 1191.6 1197.2 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000060 1192.8 1199.9 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000061 1221.5 1233.8 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000062 1252.7 1262.5 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000063 1267.3 1289.3 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000064 1331.4 1355.9 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000065 1356.8 1362.5 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000066 1376.0 1380.6 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000067 1384.4 1392.3 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000068 1392.9 1400.8 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000069 1404.4 1417.2 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000070 1420.5 1448.4 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000071 1451.9 1462.9 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000072 1463.8 1470.7 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000073 1474.2 1480.5 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000074 1487.8 1493.0 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000075 1502.1 1506.6 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000076 1505.1 1525.5 
Sheryl_Lee_Ralph/ltiC9NlMIDw_0000077 1530.8 1547.1 
