POI: 			Kenny_Rogers 
Kenny_Rogers/9DVX_4LZ-D4_0000050 1294.3 1299.2 
Kenny_Rogers/9DVX_4LZ-D4_0000051 1323.9 1332.6 
Kenny_Rogers/9DVX_4LZ-D4_0000052 1348.2 1366.0 
Kenny_Rogers/9DVX_4LZ-D4_0000053 1367.6 1372.7 
Kenny_Rogers/9DVX_4LZ-D4_0000054 1379.2 1387.1 
Kenny_Rogers/9DVX_4LZ-D4_0000055 1387.2 1391.3 
Kenny_Rogers/9DVX_4LZ-D4_0000056 1434.8 1444.4 
Kenny_Rogers/9DVX_4LZ-D4_0000057 1475.0 1487.5 
Kenny_Rogers/9DVX_4LZ-D4_0000058 1498.6 1511.2 
Kenny_Rogers/9DVX_4LZ-D4_0000059 1513.5 1517.5 
Kenny_Rogers/9DVX_4LZ-D4_0000060 1622.3 1635.7 
Kenny_Rogers/9DVX_4LZ-D4_0000061 1636.3 1641.5 
Kenny_Rogers/9DVX_4LZ-D4_0000062 1651.0 1660.4 
Kenny_Rogers/9DVX_4LZ-D4_0000063 1694.6 1699.9 
Kenny_Rogers/9DVX_4LZ-D4_0000064 1703.6 1718.2 
Kenny_Rogers/9DVX_4LZ-D4_0000065 1746.2 1750.6 
Kenny_Rogers/9DVX_4LZ-D4_0000066 1781.8 1796.2 
Kenny_Rogers/9DVX_4LZ-D4_0000067 1818.0 1826.6 
Kenny_Rogers/9DVX_4LZ-D4_0000068 1828.4 1838.4 
Kenny_Rogers/9DVX_4LZ-D4_0000069 1865.9 1879.1 
Kenny_Rogers/9DVX_4LZ-D4_0000070 1879.8 1885.5 
Kenny_Rogers/9DVX_4LZ-D4_0000071 1903.0 1919.1 
Kenny_Rogers/9DVX_4LZ-D4_0000072 1933.7 1942.5 
Kenny_Rogers/9DVX_4LZ-D4_0000073 1956.4 1972.0 
Kenny_Rogers/9DVX_4LZ-D4_0000074 1973.5 1980.7 
Kenny_Rogers/9DVX_4LZ-D4_0000075 1990.5 1996.6 
Kenny_Rogers/9DVX_4LZ-D4_0000076 2004.7 2010.0 
Kenny_Rogers/9DVX_4LZ-D4_0000077 2010.7 2016.0 
Kenny_Rogers/9DVX_4LZ-D4_0000078 2017.4 2025.2 
Kenny_Rogers/9DVX_4LZ-D4_0000079 2015.4 2021.8 
Kenny_Rogers/9DVX_4LZ-D4_0000080 2036.2 2042.6 
