POI: 			James_Earl_Jones 
James_Earl_Jones/JVJXcI4Zudk_0000082 1985.6 1991.2 
James_Earl_Jones/JVJXcI4Zudk_0000083 2001.3 2010.2 
James_Earl_Jones/JVJXcI4Zudk_0000084 2015.2 2021.8 
James_Earl_Jones/JVJXcI4Zudk_0000085 2022.2 2031.1 
James_Earl_Jones/JVJXcI4Zudk_0000086 2034.9 2040.4 
James_Earl_Jones/JVJXcI4Zudk_0000087 2043.9 2053.2 
James_Earl_Jones/JVJXcI4Zudk_0000088 2054.2 2077.0 
James_Earl_Jones/JVJXcI4Zudk_0000089 2077.3 2081.9 
James_Earl_Jones/JVJXcI4Zudk_0000090 2090.7 2103.0 
James_Earl_Jones/JVJXcI4Zudk_0000091 2118.5 2124.4 
James_Earl_Jones/JVJXcI4Zudk_0000092 2130.1 2134.2 
James_Earl_Jones/JVJXcI4Zudk_0000093 2134.8 2152.0 
James_Earl_Jones/JVJXcI4Zudk_0000094 2200.8 2211.2 
James_Earl_Jones/JVJXcI4Zudk_0000095 2213.9 2220.2 
James_Earl_Jones/JVJXcI4Zudk_0000096 2225.6 2231.5 
James_Earl_Jones/JVJXcI4Zudk_0000097 2234.0 2239.8 
James_Earl_Jones/JVJXcI4Zudk_0000098 2242.2 2249.0 
James_Earl_Jones/JVJXcI4Zudk_0000099 2250.0 2255.2 
James_Earl_Jones/JVJXcI4Zudk_0000100 2255.8 2260.2 
James_Earl_Jones/JVJXcI4Zudk_0000101 2249.4 2260.2 
James_Earl_Jones/JVJXcI4Zudk_0000102 2261.5 2267.0 
James_Earl_Jones/JVJXcI4Zudk_0000103 2270.9 2281.6 
James_Earl_Jones/JVJXcI4Zudk_0000104 2281.9 2293.6 
James_Earl_Jones/JVJXcI4Zudk_0000105 2295.4 2309.7 
James_Earl_Jones/JVJXcI4Zudk_0000106 2312.6 2317.7 
James_Earl_Jones/JVJXcI4Zudk_0000107 2319.0 2323.6 
James_Earl_Jones/JVJXcI4Zudk_0000108 2335.4 2343.3 
James_Earl_Jones/JVJXcI4Zudk_0000109 2355.2 2359.9 
James_Earl_Jones/JVJXcI4Zudk_0000110 2363.2 2375.6 
James_Earl_Jones/JVJXcI4Zudk_0000111 2387.7 2396.4 
James_Earl_Jones/JVJXcI4Zudk_0000112 2413.0 2418.6 
James_Earl_Jones/JVJXcI4Zudk_0000113 2423.8 2429.8 
James_Earl_Jones/JVJXcI4Zudk_0000114 2410.3 2419.0 
James_Earl_Jones/JVJXcI4Zudk_0000115 2454.3 2461.2 
James_Earl_Jones/JVJXcI4Zudk_0000116 2468.7 2473.4 
James_Earl_Jones/JVJXcI4Zudk_0000117 2474.4 2479.4 
James_Earl_Jones/JVJXcI4Zudk_0000118 2480.7 2485.4 
James_Earl_Jones/JVJXcI4Zudk_0000119 2486.2 2490.5 
James_Earl_Jones/JVJXcI4Zudk_0000120 2494.9 2501.3 
James_Earl_Jones/JVJXcI4Zudk_0000121 2501.9 2517.2 
James_Earl_Jones/JVJXcI4Zudk_0000122 2540.8 2547.9 
James_Earl_Jones/JVJXcI4Zudk_0000123 2558.8 2579.0 
James_Earl_Jones/JVJXcI4Zudk_0000124 2581.3 2586.3 
James_Earl_Jones/JVJXcI4Zudk_0000125 2587.7 2592.2 
James_Earl_Jones/JVJXcI4Zudk_0000126 2607.0 2611.1 
James_Earl_Jones/JVJXcI4Zudk_0000127 2632.3 2638.6 
James_Earl_Jones/JVJXcI4Zudk_0000128 2681.1 2694.3 
James_Earl_Jones/JVJXcI4Zudk_0000129 2717.4 2733.8 
James_Earl_Jones/JVJXcI4Zudk_0000130 2738.7 2744.9 
James_Earl_Jones/JVJXcI4Zudk_0000131 2755.4 2769.6 
James_Earl_Jones/JVJXcI4Zudk_0000132 2781.4 2788.4 
James_Earl_Jones/JVJXcI4Zudk_0000133 2795.8 2801.6 
James_Earl_Jones/JVJXcI4Zudk_0000134 2802.8 2816.2 
James_Earl_Jones/JVJXcI4Zudk_0000135 2833.2 2838.8 
James_Earl_Jones/JVJXcI4Zudk_0000136 2944.7 2951.2 
James_Earl_Jones/JVJXcI4Zudk_0000137 2963.5 2969.9 
James_Earl_Jones/JVJXcI4Zudk_0000138 2996.9 3009.2 
James_Earl_Jones/JVJXcI4Zudk_0000139 3009.5 3013.8 
James_Earl_Jones/JVJXcI4Zudk_0000140 3014.8 3020.9 
James_Earl_Jones/JVJXcI4Zudk_0000141 3064.6 3071.1 
James_Earl_Jones/JVJXcI4Zudk_0000142 3080.4 3085.8 
James_Earl_Jones/JVJXcI4Zudk_0000143 3097.0 3109.4 
James_Earl_Jones/JVJXcI4Zudk_0000144 3134.3 3140.8 
James_Earl_Jones/JVJXcI4Zudk_0000145 3147.4 3156.4 
James_Earl_Jones/JVJXcI4Zudk_0000146 3175.9 3182.6 
James_Earl_Jones/JVJXcI4Zudk_0000147 3196.2 3202.4 
