POI: 			James_Earl_Jones 
James_Earl_Jones/h1szbjS__2w_0000029 714.3 718.6 
James_Earl_Jones/h1szbjS__2w_0000030 723.9 731.2 
James_Earl_Jones/h1szbjS__2w_0000031 750.0 755.8 
James_Earl_Jones/h1szbjS__2w_0000032 767.7 773.5 
James_Earl_Jones/h1szbjS__2w_0000033 794.5 799.9 
James_Earl_Jones/h1szbjS__2w_0000034 827.9 848.5 
James_Earl_Jones/h1szbjS__2w_0000035 855.8 864.7 
James_Earl_Jones/h1szbjS__2w_0000036 867.3 871.4 
James_Earl_Jones/h1szbjS__2w_0000037 929.0 941.1 
James_Earl_Jones/h1szbjS__2w_0000038 967.7 972.6 
James_Earl_Jones/h1szbjS__2w_0000039 1003.2 1012.2 
James_Earl_Jones/h1szbjS__2w_0000040 1018.2 1028.0 
James_Earl_Jones/h1szbjS__2w_0000041 1104.9 1113.0 
James_Earl_Jones/h1szbjS__2w_0000042 1153.4 1162.9 
James_Earl_Jones/h1szbjS__2w_0000043 1167.6 1172.9 
James_Earl_Jones/h1szbjS__2w_0000044 1196.7 1200.6 
James_Earl_Jones/h1szbjS__2w_0000045 1205.3 1209.6 
James_Earl_Jones/h1szbjS__2w_0000046 1220.6 1228.4 
James_Earl_Jones/h1szbjS__2w_0000047 1239.9 1244.5 
James_Earl_Jones/h1szbjS__2w_0000048 1244.9 1250.7 
James_Earl_Jones/h1szbjS__2w_0000049 1301.4 1310.8 
James_Earl_Jones/h1szbjS__2w_0000050 1311.4 1316.1 
James_Earl_Jones/h1szbjS__2w_0000051 1322.5 1326.9 
James_Earl_Jones/h1szbjS__2w_0000052 1366.6 1373.1 
James_Earl_Jones/h1szbjS__2w_0000053 1411.9 1416.8 
James_Earl_Jones/h1szbjS__2w_0000054 1499.4 1504.4 
James_Earl_Jones/h1szbjS__2w_0000055 1517.2 1521.7 
James_Earl_Jones/h1szbjS__2w_0000056 1522.8 1527.8 
James_Earl_Jones/h1szbjS__2w_0000057 1535.8 1539.9 
James_Earl_Jones/h1szbjS__2w_0000058 1540.7 1553.2 
James_Earl_Jones/h1szbjS__2w_0000059 1585.5 1591.2 
James_Earl_Jones/h1szbjS__2w_0000060 1599.5 1606.4 
James_Earl_Jones/h1szbjS__2w_0000061 1626.4 1636.9 
James_Earl_Jones/h1szbjS__2w_0000062 1637.4 1645.5 
James_Earl_Jones/h1szbjS__2w_0000063 1650.8 1659.1 
James_Earl_Jones/h1szbjS__2w_0000064 1665.7 1670.0 
James_Earl_Jones/h1szbjS__2w_0000065 1711.9 1717.0 
James_Earl_Jones/h1szbjS__2w_0000066 1729.2 1735.7 
James_Earl_Jones/h1szbjS__2w_0000067 1749.4 1754.5 
James_Earl_Jones/h1szbjS__2w_0000068 1778.6 1784.4 
James_Earl_Jones/h1szbjS__2w_0000069 1796.7 1800.7 
James_Earl_Jones/h1szbjS__2w_0000070 1801.0 1809.5 
James_Earl_Jones/h1szbjS__2w_0000071 1830.1 1834.5 
James_Earl_Jones/h1szbjS__2w_0000072 1855.0 1865.2 
James_Earl_Jones/h1szbjS__2w_0000073 1868.3 1877.7 
James_Earl_Jones/h1szbjS__2w_0000074 1880.1 1885.7 
James_Earl_Jones/h1szbjS__2w_0000075 1886.1 1890.0 
James_Earl_Jones/h1szbjS__2w_0000076 1896.4 1907.0 
James_Earl_Jones/h1szbjS__2w_0000077 1913.4 1921.4 
James_Earl_Jones/h1szbjS__2w_0000078 1938.3 1943.5 
James_Earl_Jones/h1szbjS__2w_0000079 1947.7 1957.7 
James_Earl_Jones/h1szbjS__2w_0000080 1976.2 1981.1 
James_Earl_Jones/h1szbjS__2w_0000081 2064.9 2070.5 
James_Earl_Jones/h1szbjS__2w_0000082 2070.9 2082.1 
James_Earl_Jones/h1szbjS__2w_0000083 2083.0 2088.3 
