POI: 			Penn_Jillette 
Penn_Jillette/rv_Xkz9zepI_0000134 2100.8 2106.6 
Penn_Jillette/rv_Xkz9zepI_0000135 2124.4 2130.1 
Penn_Jillette/rv_Xkz9zepI_0000136 2131.3 2138.1 
Penn_Jillette/rv_Xkz9zepI_0000137 2146.6 2151.3 
Penn_Jillette/rv_Xkz9zepI_0000138 2156.8 2161.6 
Penn_Jillette/rv_Xkz9zepI_0000139 2202.2 2210.6 
Penn_Jillette/rv_Xkz9zepI_0000140 2172.6 2177.3 
Penn_Jillette/rv_Xkz9zepI_0000141 2177.4 2184.6 
Penn_Jillette/rv_Xkz9zepI_0000142 2191.1 2201.8 
Penn_Jillette/rv_Xkz9zepI_0000143 2212.3 2218.6 
Penn_Jillette/rv_Xkz9zepI_0000144 2220.5 2244.2 
Penn_Jillette/rv_Xkz9zepI_0000145 2246.9 2256.5 
Penn_Jillette/rv_Xkz9zepI_0000146 2257.3 2274.8 
