POI: 			John_Hurt 
John_Hurt/HhGAogrgF5E_0000087 2513.7 2520.2 
John_Hurt/HhGAogrgF5E_0000088 2559.6 2566.4 
John_Hurt/HhGAogrgF5E_0000089 2568.6 2572.7 
John_Hurt/HhGAogrgF5E_0000090 2576.4 2586.7 
John_Hurt/HhGAogrgF5E_0000091 2593.4 2599.4 
John_Hurt/HhGAogrgF5E_0000092 2605.2 2613.4 
John_Hurt/HhGAogrgF5E_0000093 2613.8 2617.8 
John_Hurt/HhGAogrgF5E_0000094 2700.7 2705.4 
John_Hurt/HhGAogrgF5E_0000095 2770.7 2778.0 
John_Hurt/HhGAogrgF5E_0000096 2914.8 2919.8 
John_Hurt/HhGAogrgF5E_0000097 2920.0 2924.8 
John_Hurt/HhGAogrgF5E_0000098 2927.2 2937.0 
John_Hurt/HhGAogrgF5E_0000099 2963.0 2967.9 
John_Hurt/HhGAogrgF5E_0000100 2979.4 2987.8 
John_Hurt/HhGAogrgF5E_0000101 2999.0 3003.1 
