POI: 			Padma_Lakshmi 
Padma_Lakshmi/CzidftOsE5c_0000059 1730.6 1743.4 
Padma_Lakshmi/CzidftOsE5c_0000060 1744.1 1751.6 
Padma_Lakshmi/CzidftOsE5c_0000061 1855.0 1862.8 
Padma_Lakshmi/CzidftOsE5c_0000062 1978.1 1984.1 
Padma_Lakshmi/CzidftOsE5c_0000063 2043.4 2050.3 
Padma_Lakshmi/CzidftOsE5c_0000064 2114.8 2122.2 
Padma_Lakshmi/CzidftOsE5c_0000065 2164.5 2168.7 
Padma_Lakshmi/CzidftOsE5c_0000066 2183.3 2187.3 
Padma_Lakshmi/CzidftOsE5c_0000067 2202.6 2212.2 
Padma_Lakshmi/CzidftOsE5c_0000068 2212.2 2218.8 
Padma_Lakshmi/CzidftOsE5c_0000069 2232.2 2238.0 
Padma_Lakshmi/CzidftOsE5c_0000070 2238.2 2259.1 
Padma_Lakshmi/CzidftOsE5c_0000071 2274.1 2284.4 
Padma_Lakshmi/CzidftOsE5c_0000072 2293.8 2310.0 
Padma_Lakshmi/CzidftOsE5c_0000073 2312.3 2320.1 
Padma_Lakshmi/CzidftOsE5c_0000074 2320.2 2327.0 
Padma_Lakshmi/CzidftOsE5c_0000075 2332.8 2337.4 
Padma_Lakshmi/CzidftOsE5c_0000076 2343.0 2346.9 
Padma_Lakshmi/CzidftOsE5c_0000077 2636.6 2642.4 
Padma_Lakshmi/CzidftOsE5c_0000078 2642.6 2658.9 
Padma_Lakshmi/CzidftOsE5c_0000079 2670.5 2674.8 
Padma_Lakshmi/CzidftOsE5c_0000080 2675.9 2692.6 
Padma_Lakshmi/CzidftOsE5c_0000081 2694.8 2699.3 
Padma_Lakshmi/CzidftOsE5c_0000082 2735.5 2742.3 
Padma_Lakshmi/CzidftOsE5c_0000083 2745.5 2751.4 
Padma_Lakshmi/CzidftOsE5c_0000084 2755.4 2762.8 
