POI: 			Dick_Van_Dyke 
Dick_Van_Dyke/RMDXpJ5e_kE_0000110 4282.4 4286.6 
Dick_Van_Dyke/RMDXpJ5e_kE_0000111 4315.1 4324.5 
Dick_Van_Dyke/RMDXpJ5e_kE_0000112 4362.3 4366.7 
Dick_Van_Dyke/RMDXpJ5e_kE_0000113 4371.3 4379.1 
Dick_Van_Dyke/RMDXpJ5e_kE_0000114 4384.6 4397.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000115 4400.6 4410.0 
Dick_Van_Dyke/RMDXpJ5e_kE_0000116 4414.7 4419.1 
Dick_Van_Dyke/RMDXpJ5e_kE_0000117 4428.4 4433.0 
Dick_Van_Dyke/RMDXpJ5e_kE_0000118 4482.8 4487.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000119 4593.0 4598.8 
Dick_Van_Dyke/RMDXpJ5e_kE_0000120 4608.2 4613.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000121 4720.6 4725.4 
Dick_Van_Dyke/RMDXpJ5e_kE_0000122 4727.7 4736.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000123 4740.2 4756.5 
Dick_Van_Dyke/RMDXpJ5e_kE_0000124 4764.6 4772.7 
Dick_Van_Dyke/RMDXpJ5e_kE_0000125 4948.1 4957.1 
Dick_Van_Dyke/RMDXpJ5e_kE_0000126 4962.7 4967.0 
Dick_Van_Dyke/RMDXpJ5e_kE_0000127 4979.2 4983.9 
Dick_Van_Dyke/RMDXpJ5e_kE_0000128 5054.5 5058.9 
Dick_Van_Dyke/RMDXpJ5e_kE_0000129 5067.9 5072.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000130 5099.2 5103.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000131 5127.9 5133.9 
Dick_Van_Dyke/RMDXpJ5e_kE_0000132 5161.3 5165.4 
Dick_Van_Dyke/RMDXpJ5e_kE_0000133 5197.6 5208.3 
Dick_Van_Dyke/RMDXpJ5e_kE_0000134 5221.5 5229.6 
Dick_Van_Dyke/RMDXpJ5e_kE_0000135 5300.0 5307.7 
Dick_Van_Dyke/RMDXpJ5e_kE_0000136 5388.9 5393.1 
Dick_Van_Dyke/RMDXpJ5e_kE_0000137 5467.4 5472.5 
Dick_Van_Dyke/RMDXpJ5e_kE_0000138 5473.3 5479.8 
Dick_Van_Dyke/RMDXpJ5e_kE_0000139 5540.1 5551.0 
Dick_Van_Dyke/RMDXpJ5e_kE_0000140 5568.0 5572.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000141 5572.4 5578.6 
Dick_Van_Dyke/RMDXpJ5e_kE_0000142 5596.4 5605.9 
Dick_Van_Dyke/RMDXpJ5e_kE_0000143 5670.4 5679.3 
Dick_Van_Dyke/RMDXpJ5e_kE_0000144 5692.8 5698.0 
Dick_Van_Dyke/RMDXpJ5e_kE_0000145 5699.7 5714.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000146 5715.2 5719.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000147 5729.2 5738.5 
Dick_Van_Dyke/RMDXpJ5e_kE_0000148 5781.2 5785.6 
Dick_Van_Dyke/RMDXpJ5e_kE_0000149 5786.7 5794.6 
Dick_Van_Dyke/RMDXpJ5e_kE_0000150 5800.1 5809.9 
Dick_Van_Dyke/RMDXpJ5e_kE_0000151 5812.4 5820.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000152 5860.9 5865.0 
Dick_Van_Dyke/RMDXpJ5e_kE_0000153 5868.4 5873.1 
Dick_Van_Dyke/RMDXpJ5e_kE_0000154 5972.6 5977.5 
Dick_Van_Dyke/RMDXpJ5e_kE_0000155 5981.4 5985.7 
Dick_Van_Dyke/RMDXpJ5e_kE_0000156 6114.0 6118.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000157 6135.8 6139.9 
Dick_Van_Dyke/RMDXpJ5e_kE_0000158 6222.9 6228.0 
Dick_Van_Dyke/RMDXpJ5e_kE_0000159 6232.1 6241.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000160 6278.2 6290.2 
Dick_Van_Dyke/RMDXpJ5e_kE_0000161 6357.6 6362.8 
Dick_Van_Dyke/RMDXpJ5e_kE_0000162 6417.0 6421.9 
Dick_Van_Dyke/RMDXpJ5e_kE_0000163 6544.1 6548.1 
Dick_Van_Dyke/RMDXpJ5e_kE_0000164 6590.4 6595.8 
Dick_Van_Dyke/RMDXpJ5e_kE_0000165 6601.6 6606.1 
Dick_Van_Dyke/RMDXpJ5e_kE_0000166 6640.6 6645.9 
Dick_Van_Dyke/RMDXpJ5e_kE_0000167 6654.4 6662.6 
Dick_Van_Dyke/RMDXpJ5e_kE_0000168 6701.1 6707.8 
Dick_Van_Dyke/RMDXpJ5e_kE_0000169 6783.2 6788.1 
Dick_Van_Dyke/RMDXpJ5e_kE_0000170 6793.0 6797.8 
Dick_Van_Dyke/RMDXpJ5e_kE_0000171 6852.2 6859.0 
Dick_Van_Dyke/RMDXpJ5e_kE_0000172 6909.1 6914.3 
Dick_Van_Dyke/RMDXpJ5e_kE_0000173 6934.0 6939.5 
Dick_Van_Dyke/RMDXpJ5e_kE_0000174 6955.3 6960.8 
Dick_Van_Dyke/RMDXpJ5e_kE_0000175 7018.7 7023.1 
Dick_Van_Dyke/RMDXpJ5e_kE_0000176 7039.4 7044.3 
Dick_Van_Dyke/RMDXpJ5e_kE_0000177 7059.4 7065.6 
Dick_Van_Dyke/RMDXpJ5e_kE_0000178 7066.1 7076.3 
