POI: 			Alan_Alda 
Alan_Alda/Tv92FNzH3Qc_0000047 970.8 975.3 
Alan_Alda/Tv92FNzH3Qc_0000048 977.8 985.7 
Alan_Alda/Tv92FNzH3Qc_0000049 1006.3 1010.6 
Alan_Alda/Tv92FNzH3Qc_0000050 1028.5 1039.0 
Alan_Alda/Tv92FNzH3Qc_0000051 1039.9 1045.8 
Alan_Alda/Tv92FNzH3Qc_0000052 1046.0 1057.2 
Alan_Alda/Tv92FNzH3Qc_0000053 1058.4 1062.8 
Alan_Alda/Tv92FNzH3Qc_0000054 1065.8 1075.3 
Alan_Alda/Tv92FNzH3Qc_0000055 1089.6 1094.7 
Alan_Alda/Tv92FNzH3Qc_0000056 1113.8 1123.4 
Alan_Alda/Tv92FNzH3Qc_0000057 1125.1 1130.1 
Alan_Alda/Tv92FNzH3Qc_0000058 1135.5 1140.2 
Alan_Alda/Tv92FNzH3Qc_0000059 1151.3 1156.6 
Alan_Alda/Tv92FNzH3Qc_0000060 1167.2 1178.4 
Alan_Alda/Tv92FNzH3Qc_0000061 1184.9 1190.2 
Alan_Alda/Tv92FNzH3Qc_0000062 1196.4 1202.9 
Alan_Alda/Tv92FNzH3Qc_0000063 1206.6 1212.7 
Alan_Alda/Tv92FNzH3Qc_0000064 1213.6 1219.6 
Alan_Alda/Tv92FNzH3Qc_0000065 1223.5 1233.6 
Alan_Alda/Tv92FNzH3Qc_0000066 1236.5 1240.9 
Alan_Alda/Tv92FNzH3Qc_0000067 1277.2 1281.3 
Alan_Alda/Tv92FNzH3Qc_0000068 1282.2 1286.7 
Alan_Alda/Tv92FNzH3Qc_0000069 1288.0 1302.3 
Alan_Alda/Tv92FNzH3Qc_0000070 1319.3 1328.8 
Alan_Alda/Tv92FNzH3Qc_0000071 1333.2 1337.6 
Alan_Alda/Tv92FNzH3Qc_0000072 1352.1 1356.2 
Alan_Alda/Tv92FNzH3Qc_0000073 1375.5 1384.0 
Alan_Alda/Tv92FNzH3Qc_0000074 1406.9 1416.3 
Alan_Alda/Tv92FNzH3Qc_0000075 1421.1 1434.2 
Alan_Alda/Tv92FNzH3Qc_0000076 1456.9 1461.7 
Alan_Alda/Tv92FNzH3Qc_0000077 1467.7 1474.3 
Alan_Alda/Tv92FNzH3Qc_0000078 1490.8 1502.9 
Alan_Alda/Tv92FNzH3Qc_0000079 1507.7 1512.5 
Alan_Alda/Tv92FNzH3Qc_0000080 1537.4 1542.1 
Alan_Alda/Tv92FNzH3Qc_0000081 1548.0 1555.2 
Alan_Alda/Tv92FNzH3Qc_0000082 1564.3 1569.6 
Alan_Alda/Tv92FNzH3Qc_0000083 1570.5 1577.8 
