POI: 			Alan_Alda 
Alan_Alda/70e-rrF1NnQ_0000036 755.4 760.7 
Alan_Alda/70e-rrF1NnQ_0000037 763.8 774.2 
Alan_Alda/70e-rrF1NnQ_0000038 775.1 787.8 
Alan_Alda/70e-rrF1NnQ_0000039 806.4 815.5 
Alan_Alda/70e-rrF1NnQ_0000040 848.0 852.9 
Alan_Alda/70e-rrF1NnQ_0000041 869.6 874.4 
Alan_Alda/70e-rrF1NnQ_0000042 874.7 883.8 
Alan_Alda/70e-rrF1NnQ_0000043 897.9 902.3 
Alan_Alda/70e-rrF1NnQ_0000044 909.0 917.8 
Alan_Alda/70e-rrF1NnQ_0000045 923.7 929.1 
Alan_Alda/70e-rrF1NnQ_0000046 935.9 944.8 
Alan_Alda/70e-rrF1NnQ_0000047 953.1 958.2 
Alan_Alda/70e-rrF1NnQ_0000048 968.8 975.2 
Alan_Alda/70e-rrF1NnQ_0000049 1005.4 1012.5 
Alan_Alda/70e-rrF1NnQ_0000050 1027.3 1040.3 
Alan_Alda/70e-rrF1NnQ_0000051 1042.4 1052.9 
Alan_Alda/70e-rrF1NnQ_0000052 1054.8 1061.6 
Alan_Alda/70e-rrF1NnQ_0000053 1101.3 1112.5 
Alan_Alda/70e-rrF1NnQ_0000054 1121.3 1126.4 
Alan_Alda/70e-rrF1NnQ_0000055 1126.8 1131.1 
Alan_Alda/70e-rrF1NnQ_0000056 1131.4 1135.4 
Alan_Alda/70e-rrF1NnQ_0000057 1140.7 1144.9 
Alan_Alda/70e-rrF1NnQ_0000058 1142.0 1153.3 
Alan_Alda/70e-rrF1NnQ_0000059 1173.4 1180.4 
Alan_Alda/70e-rrF1NnQ_0000060 1185.6 1191.8 
Alan_Alda/70e-rrF1NnQ_0000061 1193.6 1197.7 
Alan_Alda/70e-rrF1NnQ_0000062 1205.5 1210.4 
Alan_Alda/70e-rrF1NnQ_0000063 1211.9 1216.4 
Alan_Alda/70e-rrF1NnQ_0000064 1222.1 1227.0 
Alan_Alda/70e-rrF1NnQ_0000065 1232.2 1236.6 
Alan_Alda/70e-rrF1NnQ_0000066 1240.2 1245.5 
Alan_Alda/70e-rrF1NnQ_0000067 1261.1 1267.9 
Alan_Alda/70e-rrF1NnQ_0000068 1274.6 1281.0 
Alan_Alda/70e-rrF1NnQ_0000069 1282.2 1295.1 
Alan_Alda/70e-rrF1NnQ_0000070 1298.3 1308.3 
Alan_Alda/70e-rrF1NnQ_0000071 1322.4 1327.1 
Alan_Alda/70e-rrF1NnQ_0000072 1328.0 1333.4 
Alan_Alda/70e-rrF1NnQ_0000073 1334.3 1341.4 
Alan_Alda/70e-rrF1NnQ_0000074 1367.8 1380.8 
Alan_Alda/70e-rrF1NnQ_0000075 1386.4 1391.9 
Alan_Alda/70e-rrF1NnQ_0000076 1388.2 1398.5 
Alan_Alda/70e-rrF1NnQ_0000077 1408.0 1412.3 
Alan_Alda/70e-rrF1NnQ_0000078 1421.7 1437.5 
Alan_Alda/70e-rrF1NnQ_0000079 1448.4 1457.7 
Alan_Alda/70e-rrF1NnQ_0000080 1459.0 1464.1 
Alan_Alda/70e-rrF1NnQ_0000081 1483.3 1488.6 
Alan_Alda/70e-rrF1NnQ_0000082 1504.2 1519.5 
Alan_Alda/70e-rrF1NnQ_0000083 1521.0 1526.6 
Alan_Alda/70e-rrF1NnQ_0000084 1526.0 1530.3 
Alan_Alda/70e-rrF1NnQ_0000085 1552.3 1557.6 
Alan_Alda/70e-rrF1NnQ_0000086 1567.0 1575.6 
Alan_Alda/70e-rrF1NnQ_0000087 1623.5 1631.2 
Alan_Alda/70e-rrF1NnQ_0000088 1647.8 1653.4 
Alan_Alda/70e-rrF1NnQ_0000089 1618.7 1623.0 
Alan_Alda/70e-rrF1NnQ_0000090 1625.0 1629.7 
Alan_Alda/70e-rrF1NnQ_0000091 1666.4 1676.8 
