POI: 			Katie_Aselton 
Katie_Aselton/7_ZlkxpOTsY_0000038 861.9 872.9 
Katie_Aselton/7_ZlkxpOTsY_0000039 874.2 879.1 
Katie_Aselton/7_ZlkxpOTsY_0000040 887.5 892.6 
Katie_Aselton/7_ZlkxpOTsY_0000041 893.4 901.9 
Katie_Aselton/7_ZlkxpOTsY_0000042 902.3 907.5 
Katie_Aselton/7_ZlkxpOTsY_0000043 909.0 913.1 
Katie_Aselton/7_ZlkxpOTsY_0000044 919.7 932.5 
Katie_Aselton/7_ZlkxpOTsY_0000045 960.6 965.6 
Katie_Aselton/7_ZlkxpOTsY_0000046 979.8 989.0 
Katie_Aselton/7_ZlkxpOTsY_0000047 989.9 997.6 
Katie_Aselton/7_ZlkxpOTsY_0000048 1029.1 1033.3 
Katie_Aselton/7_ZlkxpOTsY_0000049 1047.2 1052.5 
Katie_Aselton/7_ZlkxpOTsY_0000050 1055.2 1074.6 
Katie_Aselton/7_ZlkxpOTsY_0000051 1075.7 1083.2 
Katie_Aselton/7_ZlkxpOTsY_0000052 1083.4 1087.7 
Katie_Aselton/7_ZlkxpOTsY_0000053 1096.8 1100.9 
Katie_Aselton/7_ZlkxpOTsY_0000054 1120.9 1127.7 
Katie_Aselton/7_ZlkxpOTsY_0000055 1151.2 1155.9 
Katie_Aselton/7_ZlkxpOTsY_0000056 1156.5 1163.3 
Katie_Aselton/7_ZlkxpOTsY_0000057 1164.2 1189.0 
Katie_Aselton/7_ZlkxpOTsY_0000058 1190.1 1196.6 
Katie_Aselton/7_ZlkxpOTsY_0000059 1197.3 1206.0 
Katie_Aselton/7_ZlkxpOTsY_0000060 1210.3 1215.1 
Katie_Aselton/7_ZlkxpOTsY_0000061 1215.4 1232.4 
Katie_Aselton/7_ZlkxpOTsY_0000062 1232.8 1257.5 
Katie_Aselton/7_ZlkxpOTsY_0000063 1259.9 1276.3 
Katie_Aselton/7_ZlkxpOTsY_0000064 1276.6 1281.8 
Katie_Aselton/7_ZlkxpOTsY_0000065 1281.9 1299.2 
Katie_Aselton/7_ZlkxpOTsY_0000066 1315.9 1319.8 
Katie_Aselton/7_ZlkxpOTsY_0000067 1363.4 1367.7 
Katie_Aselton/7_ZlkxpOTsY_0000068 1368.1 1380.3 
Katie_Aselton/7_ZlkxpOTsY_0000069 1380.7 1386.4 
Katie_Aselton/7_ZlkxpOTsY_0000070 1389.6 1406.0 
Katie_Aselton/7_ZlkxpOTsY_0000071 1415.6 1422.4 
Katie_Aselton/7_ZlkxpOTsY_0000072 1422.4 1432.0 
Katie_Aselton/7_ZlkxpOTsY_0000073 1435.2 1440.0 
Katie_Aselton/7_ZlkxpOTsY_0000074 1440.7 1446.2 
Katie_Aselton/7_ZlkxpOTsY_0000075 1461.0 1465.2 
Katie_Aselton/7_ZlkxpOTsY_0000076 1481.2 1487.5 
Katie_Aselton/7_ZlkxpOTsY_0000077 1488.1 1492.9 
Katie_Aselton/7_ZlkxpOTsY_0000078 1505.1 1513.8 
Katie_Aselton/7_ZlkxpOTsY_0000079 1522.0 1526.5 
Katie_Aselton/7_ZlkxpOTsY_0000080 1530.0 1536.0 
Katie_Aselton/7_ZlkxpOTsY_0000081 1536.6 1543.7 
Katie_Aselton/7_ZlkxpOTsY_0000082 1546.1 1551.2 
Katie_Aselton/7_ZlkxpOTsY_0000083 1622.0 1626.5 
Katie_Aselton/7_ZlkxpOTsY_0000084 1628.4 1633.8 
Katie_Aselton/7_ZlkxpOTsY_0000085 1637.7 1642.6 
Katie_Aselton/7_ZlkxpOTsY_0000086 1653.5 1658.2 
Katie_Aselton/7_ZlkxpOTsY_0000087 1659.5 1663.9 
Katie_Aselton/7_ZlkxpOTsY_0000088 1675.4 1687.2 
Katie_Aselton/7_ZlkxpOTsY_0000089 1695.9 1703.8 
Katie_Aselton/7_ZlkxpOTsY_0000090 1704.8 1713.4 
Katie_Aselton/7_ZlkxpOTsY_0000091 1715.9 1721.8 
Katie_Aselton/7_ZlkxpOTsY_0000092 1734.5 1739.4 
Katie_Aselton/7_ZlkxpOTsY_0000093 1740.8 1746.7 
Katie_Aselton/7_ZlkxpOTsY_0000094 1748.2 1753.2 
Katie_Aselton/7_ZlkxpOTsY_0000095 1756.1 1764.8 
Katie_Aselton/7_ZlkxpOTsY_0000096 1767.1 1778.9 
Katie_Aselton/7_ZlkxpOTsY_0000097 1796.6 1802.5 
Katie_Aselton/7_ZlkxpOTsY_0000098 1804.5 1811.3 
Katie_Aselton/7_ZlkxpOTsY_0000099 1832.0 1836.1 
Katie_Aselton/7_ZlkxpOTsY_0000100 1866.4 1871.5 
Katie_Aselton/7_ZlkxpOTsY_0000101 1888.3 1892.6 
Katie_Aselton/7_ZlkxpOTsY_0000102 1896.2 1902.3 
Katie_Aselton/7_ZlkxpOTsY_0000103 1905.9 1911.0 
Katie_Aselton/7_ZlkxpOTsY_0000104 1927.2 1936.6 
Katie_Aselton/7_ZlkxpOTsY_0000105 1944.9 1949.9 
Katie_Aselton/7_ZlkxpOTsY_0000106 1992.4 2004.0 
Katie_Aselton/7_ZlkxpOTsY_0000107 2029.5 2042.7 
Katie_Aselton/7_ZlkxpOTsY_0000108 2035.8 2054.3 
Katie_Aselton/7_ZlkxpOTsY_0000109 2065.2 2076.2 
