POI: 			Callie_Thorne 
Callie_Thorne/yE91nD2j0bQ_0000065 1456.7 1468.6 
Callie_Thorne/yE91nD2j0bQ_0000066 1480.2 1490.2 
Callie_Thorne/yE91nD2j0bQ_0000067 1492.9 1513.9 
Callie_Thorne/yE91nD2j0bQ_0000068 1515.8 1521.6 
Callie_Thorne/yE91nD2j0bQ_0000069 1535.0 1550.9 
Callie_Thorne/yE91nD2j0bQ_0000070 1568.2 1583.4 
Callie_Thorne/yE91nD2j0bQ_0000071 1584.4 1605.8 
Callie_Thorne/yE91nD2j0bQ_0000072 1622.6 1627.8 
Callie_Thorne/yE91nD2j0bQ_0000073 1628.9 1652.9 
Callie_Thorne/yE91nD2j0bQ_0000074 1653.4 1662.4 
Callie_Thorne/yE91nD2j0bQ_0000075 1663.6 1673.9 
Callie_Thorne/yE91nD2j0bQ_0000076 1700.6 1704.6 
Callie_Thorne/yE91nD2j0bQ_0000077 1705.7 1726.8 
Callie_Thorne/yE91nD2j0bQ_0000078 1771.9 1776.3 
Callie_Thorne/yE91nD2j0bQ_0000079 1778.4 1790.5 
Callie_Thorne/yE91nD2j0bQ_0000080 1800.4 1806.3 
