POI: 			Sofia_Coppola 
Sofia_Coppola/0Wmbm5f50OA_0000029 412.0 417.2 
Sofia_Coppola/0Wmbm5f50OA_0000030 433.1 438.8 
Sofia_Coppola/0Wmbm5f50OA_0000031 447.0 451.6 
Sofia_Coppola/0Wmbm5f50OA_0000032 453.6 461.6 
Sofia_Coppola/0Wmbm5f50OA_0000033 485.3 502.9 
Sofia_Coppola/0Wmbm5f50OA_0000034 503.0 510.8 
Sofia_Coppola/0Wmbm5f50OA_0000035 537.8 542.1 
Sofia_Coppola/0Wmbm5f50OA_0000036 549.0 556.4 
Sofia_Coppola/0Wmbm5f50OA_0000037 579.7 584.1 
Sofia_Coppola/0Wmbm5f50OA_0000038 591.3 596.6 
Sofia_Coppola/0Wmbm5f50OA_0000039 595.3 599.8 
Sofia_Coppola/0Wmbm5f50OA_0000040 642.7 658.2 
Sofia_Coppola/0Wmbm5f50OA_0000041 659.8 664.9 
Sofia_Coppola/0Wmbm5f50OA_0000042 678.9 683.4 
Sofia_Coppola/0Wmbm5f50OA_0000043 706.1 712.6 
Sofia_Coppola/0Wmbm5f50OA_0000044 731.4 742.0 
Sofia_Coppola/0Wmbm5f50OA_0000045 749.0 754.0 
Sofia_Coppola/0Wmbm5f50OA_0000046 758.8 764.0 
Sofia_Coppola/0Wmbm5f50OA_0000047 764.2 777.5 
Sofia_Coppola/0Wmbm5f50OA_0000048 785.6 799.8 
Sofia_Coppola/0Wmbm5f50OA_0000049 828.2 832.8 
Sofia_Coppola/0Wmbm5f50OA_0000050 864.8 871.8 
Sofia_Coppola/0Wmbm5f50OA_0000051 910.0 914.0 
Sofia_Coppola/0Wmbm5f50OA_0000052 960.0 966.1 
Sofia_Coppola/0Wmbm5f50OA_0000053 828.4 832.6 
Sofia_Coppola/0Wmbm5f50OA_0000054 864.8 873.5 
Sofia_Coppola/0Wmbm5f50OA_0000055 910.2 917.4 
Sofia_Coppola/0Wmbm5f50OA_0000056 1000.2 1009.8 
Sofia_Coppola/0Wmbm5f50OA_0000057 1011.4 1019.5 
Sofia_Coppola/0Wmbm5f50OA_0000058 1065.3 1069.3 
Sofia_Coppola/0Wmbm5f50OA_0000059 1149.8 1157.4 
Sofia_Coppola/0Wmbm5f50OA_0000060 1161.6 1166.0 
Sofia_Coppola/0Wmbm5f50OA_0000061 1169.8 1175.7 
Sofia_Coppola/0Wmbm5f50OA_0000062 1180.0 1186.2 
Sofia_Coppola/0Wmbm5f50OA_0000063 1190.7 1195.2 
Sofia_Coppola/0Wmbm5f50OA_0000064 1243.5 1248.4 
Sofia_Coppola/0Wmbm5f50OA_0000065 1248.5 1261.4 
Sofia_Coppola/0Wmbm5f50OA_0000066 1271.6 1282.5 
Sofia_Coppola/0Wmbm5f50OA_0000067 1253.6 1261.3 
Sofia_Coppola/0Wmbm5f50OA_0000068 1271.0 1282.6 
Sofia_Coppola/0Wmbm5f50OA_0000069 1287.0 1292.2 
Sofia_Coppola/0Wmbm5f50OA_0000070 1294.8 1302.0 
Sofia_Coppola/0Wmbm5f50OA_0000071 1309.2 1315.8 
Sofia_Coppola/0Wmbm5f50OA_0000072 1355.6 1361.0 
Sofia_Coppola/0Wmbm5f50OA_0000073 1364.5 1373.9 
Sofia_Coppola/0Wmbm5f50OA_0000074 1395.9 1403.1 
Sofia_Coppola/0Wmbm5f50OA_0000075 1415.7 1420.6 
Sofia_Coppola/0Wmbm5f50OA_0000076 1421.4 1430.2 
Sofia_Coppola/0Wmbm5f50OA_0000077 1447.4 1462.0 
Sofia_Coppola/0Wmbm5f50OA_0000078 1484.8 1488.8 
Sofia_Coppola/0Wmbm5f50OA_0000079 1509.8 1514.2 
Sofia_Coppola/0Wmbm5f50OA_0000080 1522.4 1529.7 
Sofia_Coppola/0Wmbm5f50OA_0000081 1538.6 1553.6 
Sofia_Coppola/0Wmbm5f50OA_0000082 1565.4 1576.4 
Sofia_Coppola/0Wmbm5f50OA_0000083 1582.0 1587.7 
Sofia_Coppola/0Wmbm5f50OA_0000084 1588.6 1592.6 
Sofia_Coppola/0Wmbm5f50OA_0000085 1628.9 1633.6 
Sofia_Coppola/0Wmbm5f50OA_0000086 1634.0 1643.0 
Sofia_Coppola/0Wmbm5f50OA_0000087 1656.4 1664.8 
Sofia_Coppola/0Wmbm5f50OA_0000088 1665.1 1675.2 
Sofia_Coppola/0Wmbm5f50OA_0000089 1686.4 1700.4 
Sofia_Coppola/0Wmbm5f50OA_0000090 1705.0 1719.8 
Sofia_Coppola/0Wmbm5f50OA_0000091 1725.6 1732.4 
Sofia_Coppola/0Wmbm5f50OA_0000092 1738.2 1745.4 
