POI: 			Naseeruddin_Shah 
Naseeruddin_Shah/sVUfcg8XQzg_0000030 751.3 758.0 
Naseeruddin_Shah/sVUfcg8XQzg_0000031 830.3 837.0 
Naseeruddin_Shah/sVUfcg8XQzg_0000032 841.4 852.1 
Naseeruddin_Shah/sVUfcg8XQzg_0000033 855.4 859.8 
Naseeruddin_Shah/sVUfcg8XQzg_0000034 872.1 878.3 
Naseeruddin_Shah/sVUfcg8XQzg_0000035 885.6 892.9 
Naseeruddin_Shah/sVUfcg8XQzg_0000036 898.2 914.8 
Naseeruddin_Shah/sVUfcg8XQzg_0000037 965.6 971.0 
Naseeruddin_Shah/sVUfcg8XQzg_0000038 985.0 991.8 
Naseeruddin_Shah/sVUfcg8XQzg_0000039 1050.9 1063.2 
Naseeruddin_Shah/sVUfcg8XQzg_0000040 1113.5 1121.3 
Naseeruddin_Shah/sVUfcg8XQzg_0000041 1149.6 1154.8 
Naseeruddin_Shah/sVUfcg8XQzg_0000042 1158.1 1166.8 
Naseeruddin_Shah/sVUfcg8XQzg_0000043 1181.0 1185.2 
Naseeruddin_Shah/sVUfcg8XQzg_0000044 1286.7 1293.5 
Naseeruddin_Shah/sVUfcg8XQzg_0000045 1299.5 1306.8 
Naseeruddin_Shah/sVUfcg8XQzg_0000046 1309.1 1316.5 
Naseeruddin_Shah/sVUfcg8XQzg_0000047 1419.3 1426.1 
Naseeruddin_Shah/sVUfcg8XQzg_0000048 1437.2 1441.1 
Naseeruddin_Shah/sVUfcg8XQzg_0000049 1465.2 1469.8 
Naseeruddin_Shah/sVUfcg8XQzg_0000050 1489.4 1502.7 
Naseeruddin_Shah/sVUfcg8XQzg_0000051 1533.8 1540.7 
Naseeruddin_Shah/sVUfcg8XQzg_0000052 1541.7 1547.0 
Naseeruddin_Shah/sVUfcg8XQzg_0000053 1680.0 1685.3 
Naseeruddin_Shah/sVUfcg8XQzg_0000054 1693.3 1698.0 
Naseeruddin_Shah/sVUfcg8XQzg_0000055 1720.4 1728.4 
Naseeruddin_Shah/sVUfcg8XQzg_0000056 1729.6 1738.4 
Naseeruddin_Shah/sVUfcg8XQzg_0000057 1781.4 1786.5 
Naseeruddin_Shah/sVUfcg8XQzg_0000058 1792.8 1801.1 
Naseeruddin_Shah/sVUfcg8XQzg_0000059 1810.1 1816.6 
Naseeruddin_Shah/sVUfcg8XQzg_0000060 1834.6 1840.6 
Naseeruddin_Shah/sVUfcg8XQzg_0000061 1846.9 1853.0 
Naseeruddin_Shah/sVUfcg8XQzg_0000062 1869.5 1873.6 
Naseeruddin_Shah/sVUfcg8XQzg_0000063 1908.2 1912.3 
Naseeruddin_Shah/sVUfcg8XQzg_0000064 1908.4 1912.3 
Naseeruddin_Shah/sVUfcg8XQzg_0000065 1958.1 1968.2 
Naseeruddin_Shah/sVUfcg8XQzg_0000066 1970.2 1976.0 
Naseeruddin_Shah/sVUfcg8XQzg_0000067 2054.0 2060.4 
Naseeruddin_Shah/sVUfcg8XQzg_0000068 2073.4 2078.0 
Naseeruddin_Shah/sVUfcg8XQzg_0000069 2082.3 2088.8 
Naseeruddin_Shah/sVUfcg8XQzg_0000070 2089.9 2099.7 
Naseeruddin_Shah/sVUfcg8XQzg_0000071 2131.7 2137.2 
Naseeruddin_Shah/sVUfcg8XQzg_0000072 2171.6 2182.8 
Naseeruddin_Shah/sVUfcg8XQzg_0000073 2170.8 2176.8 
Naseeruddin_Shah/sVUfcg8XQzg_0000074 2177.0 2182.2 
