POI: 			Claudia_Black 
Claudia_Black/AP5o1B1qPz8_0000048 743.1 749.2 
Claudia_Black/AP5o1B1qPz8_0000049 752.4 759.2 
Claudia_Black/AP5o1B1qPz8_0000050 761.3 770.3 
Claudia_Black/AP5o1B1qPz8_0000051 776.5 785.2 
Claudia_Black/AP5o1B1qPz8_0000052 787.7 795.2 
Claudia_Black/AP5o1B1qPz8_0000053 797.1 808.9 
Claudia_Black/AP5o1B1qPz8_0000054 813.2 844.7 
Claudia_Black/AP5o1B1qPz8_0000055 844.9 855.3 
Claudia_Black/AP5o1B1qPz8_0000056 857.3 869.1 
Claudia_Black/AP5o1B1qPz8_0000057 870.8 877.2 
Claudia_Black/AP5o1B1qPz8_0000058 882.8 887.9 
Claudia_Black/AP5o1B1qPz8_0000059 905.2 912.1 
Claudia_Black/AP5o1B1qPz8_0000060 914.4 928.3 
Claudia_Black/AP5o1B1qPz8_0000061 928.7 934.7 
Claudia_Black/AP5o1B1qPz8_0000062 953.0 961.2 
Claudia_Black/AP5o1B1qPz8_0000063 993.7 1006.3 
Claudia_Black/AP5o1B1qPz8_0000064 1051.7 1058.8 
Claudia_Black/AP5o1B1qPz8_0000065 1145.9 1150.0 
Claudia_Black/AP5o1B1qPz8_0000066 1152.3 1196.7 
Claudia_Black/AP5o1B1qPz8_0000067 1197.3 1203.7 
Claudia_Black/AP5o1B1qPz8_0000068 1209.9 1240.6 
Claudia_Black/AP5o1B1qPz8_0000069 1244.1 1252.7 
Claudia_Black/AP5o1B1qPz8_0000070 1253.3 1260.2 
Claudia_Black/AP5o1B1qPz8_0000071 1237.3 1243.1 
Claudia_Black/AP5o1B1qPz8_0000072 1244.1 1252.8 
Claudia_Black/AP5o1B1qPz8_0000073 1253.0 1259.2 
Claudia_Black/AP5o1B1qPz8_0000074 1282.8 1303.3 
Claudia_Black/AP5o1B1qPz8_0000075 1333.5 1339.9 
Claudia_Black/AP5o1B1qPz8_0000076 1352.0 1358.0 
Claudia_Black/AP5o1B1qPz8_0000077 1363.1 1371.3 
Claudia_Black/AP5o1B1qPz8_0000078 1373.8 1398.3 
Claudia_Black/AP5o1B1qPz8_0000079 1398.6 1403.6 
Claudia_Black/AP5o1B1qPz8_0000080 1428.6 1440.0 
Claudia_Black/AP5o1B1qPz8_0000081 1492.7 1504.4 
Claudia_Black/AP5o1B1qPz8_0000082 1514.3 1520.8 
Claudia_Black/AP5o1B1qPz8_0000083 1527.6 1536.3 
Claudia_Black/AP5o1B1qPz8_0000084 1538.6 1542.7 
Claudia_Black/AP5o1B1qPz8_0000085 1547.2 1557.0 
Claudia_Black/AP5o1B1qPz8_0000086 1559.2 1563.4 
Claudia_Black/AP5o1B1qPz8_0000087 1576.8 1583.2 
Claudia_Black/AP5o1B1qPz8_0000088 1583.5 1587.9 
Claudia_Black/AP5o1B1qPz8_0000089 1589.2 1606.8 
Claudia_Black/AP5o1B1qPz8_0000090 1606.8 1619.5 
Claudia_Black/AP5o1B1qPz8_0000091 1626.2 1634.6 
Claudia_Black/AP5o1B1qPz8_0000092 1644.2 1648.3 
Claudia_Black/AP5o1B1qPz8_0000093 1649.2 1654.2 
Claudia_Black/AP5o1B1qPz8_0000094 1654.6 1659.2 
Claudia_Black/AP5o1B1qPz8_0000095 1666.5 1670.8 
Claudia_Black/AP5o1B1qPz8_0000096 1671.0 1682.7 
Claudia_Black/AP5o1B1qPz8_0000097 1698.8 1722.0 
Claudia_Black/AP5o1B1qPz8_0000098 1722.5 1728.3 
