POI: 			Brian_Cox 
Brian_Cox/zas--VfFdmk_0000097 3011.2 3017.9 
Brian_Cox/zas--VfFdmk_0000098 3018.9 3027.3 
Brian_Cox/zas--VfFdmk_0000099 3036.1 3044.6 
Brian_Cox/zas--VfFdmk_0000100 3045.2 3057.8 
Brian_Cox/zas--VfFdmk_0000101 3058.6 3065.7 
Brian_Cox/zas--VfFdmk_0000102 3077.8 3082.1 
Brian_Cox/zas--VfFdmk_0000103 3088.4 3097.6 
Brian_Cox/zas--VfFdmk_0000104 3101.1 3106.8 
Brian_Cox/zas--VfFdmk_0000105 3110.3 3118.1 
Brian_Cox/zas--VfFdmk_0000106 3122.0 3126.7 
Brian_Cox/zas--VfFdmk_0000107 3135.6 3141.2 
Brian_Cox/zas--VfFdmk_0000108 3143.2 3148.5 
Brian_Cox/zas--VfFdmk_0000109 3151.4 3156.3 
Brian_Cox/zas--VfFdmk_0000110 3090.1 3096.8 
Brian_Cox/zas--VfFdmk_0000111 3224.6 3231.0 
Brian_Cox/zas--VfFdmk_0000112 3255.1 3270.3 
Brian_Cox/zas--VfFdmk_0000113 3271.8 3276.5 
Brian_Cox/zas--VfFdmk_0000114 3287.0 3293.0 
Brian_Cox/zas--VfFdmk_0000115 3294.3 3298.8 
Brian_Cox/zas--VfFdmk_0000116 3299.5 3309.0 
Brian_Cox/zas--VfFdmk_0000117 3316.1 3322.3 
Brian_Cox/zas--VfFdmk_0000118 3322.8 3333.2 
Brian_Cox/zas--VfFdmk_0000119 3357.3 3369.7 
Brian_Cox/zas--VfFdmk_0000120 3370.3 3374.6 
Brian_Cox/zas--VfFdmk_0000121 3381.8 3387.8 
Brian_Cox/zas--VfFdmk_0000122 3392.9 3398.3 
Brian_Cox/zas--VfFdmk_0000123 3398.5 3403.1 
Brian_Cox/zas--VfFdmk_0000124 3403.8 3410.8 
Brian_Cox/zas--VfFdmk_0000125 3680.6 3686.4 
Brian_Cox/zas--VfFdmk_0000126 3866.2 3871.1 
Brian_Cox/zas--VfFdmk_0000127 3881.3 3887.9 
Brian_Cox/zas--VfFdmk_0000128 3888.7 3894.0 
Brian_Cox/zas--VfFdmk_0000129 3896.6 3901.3 
Brian_Cox/zas--VfFdmk_0000130 3931.0 3942.0 
Brian_Cox/zas--VfFdmk_0000131 3966.7 3974.6 
Brian_Cox/zas--VfFdmk_0000132 4049.6 4054.0 
Brian_Cox/zas--VfFdmk_0000133 4057.2 4061.6 
Brian_Cox/zas--VfFdmk_0000134 4074.6 4081.7 
Brian_Cox/zas--VfFdmk_0000135 4081.9 4088.1 
Brian_Cox/zas--VfFdmk_0000136 4103.1 4108.3 
Brian_Cox/zas--VfFdmk_0000137 4137.8 4143.6 
Brian_Cox/zas--VfFdmk_0000138 4439.2 4445.0 
Brian_Cox/zas--VfFdmk_0000139 4450.7 4454.8 
Brian_Cox/zas--VfFdmk_0000140 4455.1 4465.9 
Brian_Cox/zas--VfFdmk_0000141 4621.5 4626.2 
Brian_Cox/zas--VfFdmk_0000142 4652.6 4657.1 
Brian_Cox/zas--VfFdmk_0000143 4662.6 4666.9 
Brian_Cox/zas--VfFdmk_0000144 4669.7 4674.6 
Brian_Cox/zas--VfFdmk_0000145 4768.0 4776.4 
Brian_Cox/zas--VfFdmk_0000146 4809.0 4817.7 
Brian_Cox/zas--VfFdmk_0000147 4829.8 4836.3 
Brian_Cox/zas--VfFdmk_0000148 4935.4 4941.0 
Brian_Cox/zas--VfFdmk_0000149 4952.9 4956.9 
Brian_Cox/zas--VfFdmk_0000150 4963.6 4975.8 
Brian_Cox/zas--VfFdmk_0000151 4976.8 4981.8 
Brian_Cox/zas--VfFdmk_0000152 4983.2 4987.3 
Brian_Cox/zas--VfFdmk_0000153 4987.9 4993.1 
Brian_Cox/zas--VfFdmk_0000154 4999.4 5004.4 
Brian_Cox/zas--VfFdmk_0000155 5014.8 5020.0 
Brian_Cox/zas--VfFdmk_0000156 5029.5 5043.4 
Brian_Cox/zas--VfFdmk_0000157 5043.9 5048.5 
Brian_Cox/zas--VfFdmk_0000158 5100.6 5105.7 
Brian_Cox/zas--VfFdmk_0000159 5258.8 5263.2 
Brian_Cox/zas--VfFdmk_0000160 5291.7 5295.8 
Brian_Cox/zas--VfFdmk_0000161 5358.6 5367.1 
Brian_Cox/zas--VfFdmk_0000162 5367.9 5374.0 
Brian_Cox/zas--VfFdmk_0000163 5394.1 5399.6 
Brian_Cox/zas--VfFdmk_0000164 5400.1 5405.8 
Brian_Cox/zas--VfFdmk_0000165 5422.0 5427.5 
Brian_Cox/zas--VfFdmk_0000166 5435.8 5440.0 
Brian_Cox/zas--VfFdmk_0000167 5464.4 5470.5 
Brian_Cox/zas--VfFdmk_0000168 5472.9 5478.4 
Brian_Cox/zas--VfFdmk_0000169 5522.2 5526.6 
Brian_Cox/zas--VfFdmk_0000170 5526.9 5533.6 
Brian_Cox/zas--VfFdmk_0000171 5604.4 5608.8 
