POI: 			Hailee_Steinfeld 
Hailee_Steinfeld/t4ivCDhpcvw_0000042 826.0 842.5 
Hailee_Steinfeld/t4ivCDhpcvw_0000043 857.7 868.0 
Hailee_Steinfeld/t4ivCDhpcvw_0000044 868.0 879.9 
Hailee_Steinfeld/t4ivCDhpcvw_0000045 892.9 900.3 
Hailee_Steinfeld/t4ivCDhpcvw_0000046 900.4 909.6 
Hailee_Steinfeld/t4ivCDhpcvw_0000047 949.8 964.0 
Hailee_Steinfeld/t4ivCDhpcvw_0000048 998.4 1004.8 
Hailee_Steinfeld/t4ivCDhpcvw_0000049 1005.3 1013.7 
Hailee_Steinfeld/t4ivCDhpcvw_0000050 1017.8 1029.7 
Hailee_Steinfeld/t4ivCDhpcvw_0000051 1046.9 1063.8 
Hailee_Steinfeld/t4ivCDhpcvw_0000052 1064.5 1070.7 
Hailee_Steinfeld/t4ivCDhpcvw_0000053 1079.8 1094.1 
Hailee_Steinfeld/t4ivCDhpcvw_0000054 1131.6 1138.8 
Hailee_Steinfeld/t4ivCDhpcvw_0000055 1139.4 1150.3 
Hailee_Steinfeld/t4ivCDhpcvw_0000056 1156.9 1162.5 
Hailee_Steinfeld/t4ivCDhpcvw_0000057 1186.6 1193.5 
Hailee_Steinfeld/t4ivCDhpcvw_0000058 1195.6 1199.9 
Hailee_Steinfeld/t4ivCDhpcvw_0000059 1205.2 1211.1 
Hailee_Steinfeld/t4ivCDhpcvw_0000060 1223.6 1228.1 
Hailee_Steinfeld/t4ivCDhpcvw_0000061 1253.0 1266.2 
Hailee_Steinfeld/t4ivCDhpcvw_0000062 1266.7 1273.6 
Hailee_Steinfeld/t4ivCDhpcvw_0000063 1307.7 1313.0 
Hailee_Steinfeld/t4ivCDhpcvw_0000064 1371.8 1376.0 
Hailee_Steinfeld/t4ivCDhpcvw_0000065 1420.5 1432.6 
Hailee_Steinfeld/t4ivCDhpcvw_0000066 1433.5 1442.3 
Hailee_Steinfeld/t4ivCDhpcvw_0000067 1442.8 1448.8 
Hailee_Steinfeld/t4ivCDhpcvw_0000068 1468.8 1477.8 
Hailee_Steinfeld/t4ivCDhpcvw_0000069 1479.0 1487.2 
Hailee_Steinfeld/t4ivCDhpcvw_0000070 1499.0 1505.2 
Hailee_Steinfeld/t4ivCDhpcvw_0000071 1505.5 1516.1 
Hailee_Steinfeld/t4ivCDhpcvw_0000072 1516.5 1528.6 
Hailee_Steinfeld/t4ivCDhpcvw_0000073 1545.6 1552.6 
Hailee_Steinfeld/t4ivCDhpcvw_0000074 1553.2 1558.6 
Hailee_Steinfeld/t4ivCDhpcvw_0000075 1564.4 1569.8 
Hailee_Steinfeld/t4ivCDhpcvw_0000076 1544.3 1552.6 
Hailee_Steinfeld/t4ivCDhpcvw_0000077 1553.2 1558.6 
Hailee_Steinfeld/t4ivCDhpcvw_0000078 1592.3 1596.3 
Hailee_Steinfeld/t4ivCDhpcvw_0000079 1620.9 1629.2 
Hailee_Steinfeld/t4ivCDhpcvw_0000080 1638.8 1649.4 
Hailee_Steinfeld/t4ivCDhpcvw_0000081 1654.1 1661.8 
Hailee_Steinfeld/t4ivCDhpcvw_0000082 1742.4 1747.8 
Hailee_Steinfeld/t4ivCDhpcvw_0000083 1751.6 1757.8 
Hailee_Steinfeld/t4ivCDhpcvw_0000084 1761.2 1766.0 
Hailee_Steinfeld/t4ivCDhpcvw_0000085 1776.6 1787.3 
Hailee_Steinfeld/t4ivCDhpcvw_0000086 1802.4 1807.5 
Hailee_Steinfeld/t4ivCDhpcvw_0000087 1843.7 1863.3 
Hailee_Steinfeld/t4ivCDhpcvw_0000088 1924.3 1928.6 
