POI: 			James_Woods 
James_Woods/cRYaG6y9TmU_0000103 1969.6 1974.6 
James_Woods/cRYaG6y9TmU_0000104 1985.4 1989.9 
James_Woods/cRYaG6y9TmU_0000105 1991.0 2008.3 
James_Woods/cRYaG6y9TmU_0000106 2008.5 2013.8 
James_Woods/cRYaG6y9TmU_0000107 2025.8 2031.4 
James_Woods/cRYaG6y9TmU_0000108 2032.0 2041.0 
James_Woods/cRYaG6y9TmU_0000109 2046.1 2063.4 
James_Woods/cRYaG6y9TmU_0000110 2075.8 2085.2 
James_Woods/cRYaG6y9TmU_0000111 2092.9 2106.0 
James_Woods/cRYaG6y9TmU_0000112 2114.8 2118.8 
James_Woods/cRYaG6y9TmU_0000113 2120.6 2126.8 
James_Woods/cRYaG6y9TmU_0000114 2127.0 2134.6 
James_Woods/cRYaG6y9TmU_0000115 2137.4 2147.5 
James_Woods/cRYaG6y9TmU_0000116 2163.2 2172.6 
James_Woods/cRYaG6y9TmU_0000117 2198.9 2217.8 
James_Woods/cRYaG6y9TmU_0000118 2220.1 2231.1 
James_Woods/cRYaG6y9TmU_0000119 2236.0 2245.7 
James_Woods/cRYaG6y9TmU_0000120 2246.2 2255.6 
James_Woods/cRYaG6y9TmU_0000121 2256.0 2261.8 
James_Woods/cRYaG6y9TmU_0000122 2262.8 2270.3 
James_Woods/cRYaG6y9TmU_0000123 2299.3 2307.9 
James_Woods/cRYaG6y9TmU_0000124 2318.0 2328.5 
James_Woods/cRYaG6y9TmU_0000125 2346.3 2374.6 
James_Woods/cRYaG6y9TmU_0000126 2382.4 2396.1 
James_Woods/cRYaG6y9TmU_0000127 2399.3 2403.7 
James_Woods/cRYaG6y9TmU_0000128 2406.0 2425.2 
James_Woods/cRYaG6y9TmU_0000129 2429.6 2438.8 
James_Woods/cRYaG6y9TmU_0000130 2450.4 2455.2 
James_Woods/cRYaG6y9TmU_0000131 2457.2 2461.5 
James_Woods/cRYaG6y9TmU_0000132 2466.5 2482.8 
James_Woods/cRYaG6y9TmU_0000133 2484.1 2495.6 
James_Woods/cRYaG6y9TmU_0000134 2496.4 2512.6 
James_Woods/cRYaG6y9TmU_0000135 2547.3 2553.6 
James_Woods/cRYaG6y9TmU_0000136 2558.6 2568.4 
James_Woods/cRYaG6y9TmU_0000137 2587.2 2592.8 
James_Woods/cRYaG6y9TmU_0000138 2610.0 2615.8 
