POI: 			James_Woods 
James_Woods/BrJkp6rQHME_0000047 800.8 810.4 
James_Woods/BrJkp6rQHME_0000048 838.1 843.2 
James_Woods/BrJkp6rQHME_0000049 849.3 858.7 
James_Woods/BrJkp6rQHME_0000050 878.7 885.6 
James_Woods/BrJkp6rQHME_0000051 906.4 915.6 
James_Woods/BrJkp6rQHME_0000052 915.9 921.4 
James_Woods/BrJkp6rQHME_0000053 926.5 931.2 
James_Woods/BrJkp6rQHME_0000054 932.2 944.5 
James_Woods/BrJkp6rQHME_0000055 946.6 951.0 
James_Woods/BrJkp6rQHME_0000056 967.6 971.6 
James_Woods/BrJkp6rQHME_0000057 976.8 980.8 
James_Woods/BrJkp6rQHME_0000058 984.1 990.4 
James_Woods/BrJkp6rQHME_0000059 992.3 996.9 
James_Woods/BrJkp6rQHME_0000060 990.6 1009.1 
James_Woods/BrJkp6rQHME_0000061 1014.7 1028.0 
James_Woods/BrJkp6rQHME_0000062 1033.6 1048.3 
James_Woods/BrJkp6rQHME_0000063 1074.8 1083.4 
James_Woods/BrJkp6rQHME_0000064 1083.8 1091.8 
James_Woods/BrJkp6rQHME_0000065 1092.3 1103.4 
James_Woods/BrJkp6rQHME_0000066 1108.4 1113.1 
James_Woods/BrJkp6rQHME_0000067 1113.6 1117.9 
James_Woods/BrJkp6rQHME_0000068 1120.0 1123.9 
James_Woods/BrJkp6rQHME_0000069 1131.9 1138.0 
James_Woods/BrJkp6rQHME_0000070 1141.7 1150.8 
James_Woods/BrJkp6rQHME_0000071 1153.6 1164.6 
James_Woods/BrJkp6rQHME_0000072 1194.5 1220.7 
James_Woods/BrJkp6rQHME_0000073 1236.7 1243.3 
James_Woods/BrJkp6rQHME_0000074 1250.0 1268.2 
James_Woods/BrJkp6rQHME_0000075 1286.6 1294.4 
James_Woods/BrJkp6rQHME_0000076 1303.6 1311.4 
James_Woods/BrJkp6rQHME_0000077 1314.9 1334.0 
James_Woods/BrJkp6rQHME_0000078 1353.0 1364.4 
James_Woods/BrJkp6rQHME_0000079 1371.3 1384.9 
James_Woods/BrJkp6rQHME_0000080 1392.6 1399.2 
James_Woods/BrJkp6rQHME_0000081 1439.4 1450.7 
James_Woods/BrJkp6rQHME_0000082 1452.5 1457.2 
James_Woods/BrJkp6rQHME_0000083 1458.9 1472.3 
James_Woods/BrJkp6rQHME_0000084 1476.4 1499.1 
James_Woods/BrJkp6rQHME_0000085 1500.4 1516.4 
James_Woods/BrJkp6rQHME_0000086 1518.2 1523.7 
James_Woods/BrJkp6rQHME_0000087 1530.8 1538.1 
James_Woods/BrJkp6rQHME_0000088 1540.8 1555.3 
James_Woods/BrJkp6rQHME_0000089 1560.0 1567.4 
James_Woods/BrJkp6rQHME_0000090 1583.8 1592.0 
