POI: 			Bob_Barker 
Bob_Barker/NTHlOJY58Hc_0000055 797.4 807.8 
Bob_Barker/NTHlOJY58Hc_0000056 809.6 817.2 
Bob_Barker/NTHlOJY58Hc_0000057 824.8 829.1 
Bob_Barker/NTHlOJY58Hc_0000058 829.7 835.5 
Bob_Barker/NTHlOJY58Hc_0000059 845.1 849.8 
Bob_Barker/NTHlOJY58Hc_0000060 854.2 862.4 
Bob_Barker/NTHlOJY58Hc_0000061 872.2 883.4 
Bob_Barker/NTHlOJY58Hc_0000062 891.4 896.7 
Bob_Barker/NTHlOJY58Hc_0000063 900.2 904.6 
Bob_Barker/NTHlOJY58Hc_0000064 905.0 909.3 
Bob_Barker/NTHlOJY58Hc_0000065 910.1 923.7 
Bob_Barker/NTHlOJY58Hc_0000066 962.4 968.8 
Bob_Barker/NTHlOJY58Hc_0000067 971.2 980.8 
Bob_Barker/NTHlOJY58Hc_0000068 984.1 999.8 
Bob_Barker/NTHlOJY58Hc_0000069 1001.2 1013.0 
Bob_Barker/NTHlOJY58Hc_0000070 1015.4 1024.2 
Bob_Barker/NTHlOJY58Hc_0000071 1024.6 1032.4 
Bob_Barker/NTHlOJY58Hc_0000072 1040.5 1047.9 
Bob_Barker/NTHlOJY58Hc_0000073 1054.9 1060.5 
Bob_Barker/NTHlOJY58Hc_0000074 1065.8 1071.0 
Bob_Barker/NTHlOJY58Hc_0000075 1080.1 1085.0 
Bob_Barker/NTHlOJY58Hc_0000076 1064.3 1072.7 
Bob_Barker/NTHlOJY58Hc_0000077 1079.2 1086.5 
Bob_Barker/NTHlOJY58Hc_0000078 1087.6 1093.8 
Bob_Barker/NTHlOJY58Hc_0000079 1117.1 1130.8 
Bob_Barker/NTHlOJY58Hc_0000080 1131.0 1152.6 
Bob_Barker/NTHlOJY58Hc_0000081 1260.7 1265.7 
Bob_Barker/NTHlOJY58Hc_0000082 1271.0 1275.1 
Bob_Barker/NTHlOJY58Hc_0000083 1284.9 1299.8 
Bob_Barker/NTHlOJY58Hc_0000084 1300.4 1311.3 
Bob_Barker/NTHlOJY58Hc_0000085 1312.2 1322.3 
Bob_Barker/NTHlOJY58Hc_0000086 1325.6 1334.5 
Bob_Barker/NTHlOJY58Hc_0000087 1334.8 1340.6 
Bob_Barker/NTHlOJY58Hc_0000088 1362.6 1369.7 
Bob_Barker/NTHlOJY58Hc_0000089 1377.1 1383.0 
Bob_Barker/NTHlOJY58Hc_0000090 1394.6 1401.1 
Bob_Barker/NTHlOJY58Hc_0000091 1407.1 1414.1 
Bob_Barker/NTHlOJY58Hc_0000092 1427.9 1435.3 
Bob_Barker/NTHlOJY58Hc_0000093 1448.5 1455.1 
Bob_Barker/NTHlOJY58Hc_0000094 1455.8 1465.7 
Bob_Barker/NTHlOJY58Hc_0000095 1466.4 1470.6 
Bob_Barker/NTHlOJY58Hc_0000096 1471.9 1486.3 
Bob_Barker/NTHlOJY58Hc_0000097 1486.5 1508.0 
Bob_Barker/NTHlOJY58Hc_0000098 1509.5 1517.0 
Bob_Barker/NTHlOJY58Hc_0000099 1524.6 1535.7 
Bob_Barker/NTHlOJY58Hc_0000100 1536.1 1547.5 
Bob_Barker/NTHlOJY58Hc_0000101 1569.4 1583.6 
Bob_Barker/NTHlOJY58Hc_0000102 1593.1 1605.5 
Bob_Barker/NTHlOJY58Hc_0000103 1606.6 1621.4 
Bob_Barker/NTHlOJY58Hc_0000104 1624.3 1631.8 
Bob_Barker/NTHlOJY58Hc_0000105 1645.1 1658.2 
Bob_Barker/NTHlOJY58Hc_0000106 1662.2 1668.2 
Bob_Barker/NTHlOJY58Hc_0000107 1671.1 1681.4 
Bob_Barker/NTHlOJY58Hc_0000108 1683.0 1698.2 
Bob_Barker/NTHlOJY58Hc_0000109 1700.6 1706.8 
