POI: 			Bob_Barker 
Bob_Barker/qMU3f7XiSlE_0000048 1064.2 1075.9 
Bob_Barker/qMU3f7XiSlE_0000049 1076.0 1094.6 
Bob_Barker/qMU3f7XiSlE_0000050 1106.2 1115.9 
Bob_Barker/qMU3f7XiSlE_0000051 1133.0 1141.2 
Bob_Barker/qMU3f7XiSlE_0000052 1142.0 1147.5 
Bob_Barker/qMU3f7XiSlE_0000053 1151.8 1163.2 
Bob_Barker/qMU3f7XiSlE_0000054 1166.8 1175.1 
Bob_Barker/qMU3f7XiSlE_0000055 1176.7 1181.6 
Bob_Barker/qMU3f7XiSlE_0000056 1203.8 1210.6 
Bob_Barker/qMU3f7XiSlE_0000057 1213.9 1219.0 
Bob_Barker/qMU3f7XiSlE_0000058 1222.2 1229.0 
Bob_Barker/qMU3f7XiSlE_0000059 1236.9 1242.6 
Bob_Barker/qMU3f7XiSlE_0000060 1271.4 1278.8 
Bob_Barker/qMU3f7XiSlE_0000061 1284.0 1288.8 
Bob_Barker/qMU3f7XiSlE_0000062 1311.0 1323.8 
Bob_Barker/qMU3f7XiSlE_0000063 1347.4 1351.6 
Bob_Barker/qMU3f7XiSlE_0000064 1353.2 1361.8 
Bob_Barker/qMU3f7XiSlE_0000065 1362.8 1377.8 
Bob_Barker/qMU3f7XiSlE_0000066 1386.2 1406.3 
Bob_Barker/qMU3f7XiSlE_0000067 1448.8 1454.2 
Bob_Barker/qMU3f7XiSlE_0000068 1487.6 1501.9 
Bob_Barker/qMU3f7XiSlE_0000069 1505.7 1509.9 
Bob_Barker/qMU3f7XiSlE_0000070 1518.1 1522.6 
Bob_Barker/qMU3f7XiSlE_0000071 1540.0 1546.6 
Bob_Barker/qMU3f7XiSlE_0000072 1551.3 1560.3 
Bob_Barker/qMU3f7XiSlE_0000073 1564.6 1570.5 
Bob_Barker/qMU3f7XiSlE_0000074 1572.3 1582.7 
Bob_Barker/qMU3f7XiSlE_0000075 1595.8 1603.6 
Bob_Barker/qMU3f7XiSlE_0000076 1610.7 1618.0 
Bob_Barker/qMU3f7XiSlE_0000077 1620.2 1631.8 
Bob_Barker/qMU3f7XiSlE_0000078 1633.0 1648.6 
Bob_Barker/qMU3f7XiSlE_0000079 1663.3 1672.7 
Bob_Barker/qMU3f7XiSlE_0000080 1672.9 1679.5 
Bob_Barker/qMU3f7XiSlE_0000081 1680.2 1687.3 
