POI: 			Bob_Barker 
Bob_Barker/cII4Z0sCl9Y_0000029 587.2 595.4 
Bob_Barker/cII4Z0sCl9Y_0000030 607.1 628.6 
Bob_Barker/cII4Z0sCl9Y_0000031 632.5 656.3 
Bob_Barker/cII4Z0sCl9Y_0000032 657.4 665.9 
Bob_Barker/cII4Z0sCl9Y_0000033 689.8 697.2 
Bob_Barker/cII4Z0sCl9Y_0000034 697.6 702.6 
Bob_Barker/cII4Z0sCl9Y_0000035 689.7 697.2 
Bob_Barker/cII4Z0sCl9Y_0000036 697.7 709.4 
Bob_Barker/cII4Z0sCl9Y_0000037 715.6 721.0 
Bob_Barker/cII4Z0sCl9Y_0000038 721.2 727.5 
Bob_Barker/cII4Z0sCl9Y_0000039 727.9 733.3 
Bob_Barker/cII4Z0sCl9Y_0000040 738.2 759.6 
Bob_Barker/cII4Z0sCl9Y_0000041 764.8 786.0 
Bob_Barker/cII4Z0sCl9Y_0000042 787.2 792.1 
Bob_Barker/cII4Z0sCl9Y_0000043 792.3 809.6 
Bob_Barker/cII4Z0sCl9Y_0000044 811.9 828.4 
Bob_Barker/cII4Z0sCl9Y_0000045 829.9 858.4 
Bob_Barker/cII4Z0sCl9Y_0000046 739.4 754.8 
Bob_Barker/cII4Z0sCl9Y_0000047 884.4 890.6 
Bob_Barker/cII4Z0sCl9Y_0000048 899.0 907.8 
Bob_Barker/cII4Z0sCl9Y_0000049 908.9 915.0 
Bob_Barker/cII4Z0sCl9Y_0000050 926.2 932.5 
Bob_Barker/cII4Z0sCl9Y_0000051 934.7 939.0 
Bob_Barker/cII4Z0sCl9Y_0000052 939.4 944.4 
Bob_Barker/cII4Z0sCl9Y_0000053 945.1 956.1 
Bob_Barker/cII4Z0sCl9Y_0000054 956.2 962.6 
Bob_Barker/cII4Z0sCl9Y_0000055 967.0 974.7 
Bob_Barker/cII4Z0sCl9Y_0000056 1004.7 1009.1 
Bob_Barker/cII4Z0sCl9Y_0000057 1010.3 1021.7 
Bob_Barker/cII4Z0sCl9Y_0000058 1023.8 1029.8 
Bob_Barker/cII4Z0sCl9Y_0000059 1032.8 1036.9 
Bob_Barker/cII4Z0sCl9Y_0000060 1037.0 1056.4 
Bob_Barker/cII4Z0sCl9Y_0000061 1057.0 1063.2 
Bob_Barker/cII4Z0sCl9Y_0000062 1071.4 1079.9 
Bob_Barker/cII4Z0sCl9Y_0000063 1084.7 1096.4 
Bob_Barker/cII4Z0sCl9Y_0000064 1102.7 1110.3 
Bob_Barker/cII4Z0sCl9Y_0000065 1127.5 1131.5 
Bob_Barker/cII4Z0sCl9Y_0000066 1133.3 1137.4 
Bob_Barker/cII4Z0sCl9Y_0000067 1139.8 1145.8 
Bob_Barker/cII4Z0sCl9Y_0000068 1146.1 1153.0 
Bob_Barker/cII4Z0sCl9Y_0000069 1153.5 1163.2 
Bob_Barker/cII4Z0sCl9Y_0000070 1167.0 1171.5 
Bob_Barker/cII4Z0sCl9Y_0000071 1179.3 1197.4 
Bob_Barker/cII4Z0sCl9Y_0000072 1198.4 1210.9 
Bob_Barker/cII4Z0sCl9Y_0000073 1230.7 1247.9 
Bob_Barker/cII4Z0sCl9Y_0000074 1250.5 1268.5 
Bob_Barker/cII4Z0sCl9Y_0000075 1282.7 1288.5 
Bob_Barker/cII4Z0sCl9Y_0000076 1295.4 1304.0 
Bob_Barker/cII4Z0sCl9Y_0000077 1315.2 1322.4 
Bob_Barker/cII4Z0sCl9Y_0000078 1333.3 1340.9 
Bob_Barker/cII4Z0sCl9Y_0000079 1365.1 1370.0 
Bob_Barker/cII4Z0sCl9Y_0000080 1374.3 1379.9 
Bob_Barker/cII4Z0sCl9Y_0000081 1380.5 1394.8 
Bob_Barker/cII4Z0sCl9Y_0000082 1396.8 1404.9 
Bob_Barker/cII4Z0sCl9Y_0000083 1406.1 1413.6 
Bob_Barker/cII4Z0sCl9Y_0000084 1421.8 1425.9 
Bob_Barker/cII4Z0sCl9Y_0000085 1443.5 1449.5 
Bob_Barker/cII4Z0sCl9Y_0000086 1451.6 1457.0 
Bob_Barker/cII4Z0sCl9Y_0000087 1458.2 1462.8 
Bob_Barker/cII4Z0sCl9Y_0000088 1462.9 1470.7 
Bob_Barker/cII4Z0sCl9Y_0000089 1475.1 1480.6 
Bob_Barker/cII4Z0sCl9Y_0000090 1484.7 1491.9 
Bob_Barker/cII4Z0sCl9Y_0000091 1555.3 1568.2 
Bob_Barker/cII4Z0sCl9Y_0000092 1568.6 1575.6 
Bob_Barker/cII4Z0sCl9Y_0000093 1576.8 1588.4 
Bob_Barker/cII4Z0sCl9Y_0000094 1588.9 1595.3 
Bob_Barker/cII4Z0sCl9Y_0000095 1631.9 1635.9 
Bob_Barker/cII4Z0sCl9Y_0000096 1636.9 1641.4 
Bob_Barker/cII4Z0sCl9Y_0000097 1645.6 1659.6 
Bob_Barker/cII4Z0sCl9Y_0000098 1660.4 1666.9 
Bob_Barker/cII4Z0sCl9Y_0000099 1667.6 1671.8 
Bob_Barker/cII4Z0sCl9Y_0000100 1672.2 1685.9 
Bob_Barker/cII4Z0sCl9Y_0000101 1692.9 1701.0 
Bob_Barker/cII4Z0sCl9Y_0000102 1710.0 1715.6 
