POI: 			Bob_Barker 
Bob_Barker/5Ciy1E1gYRc_0000087 1444.7 1450.2 
Bob_Barker/5Ciy1E1gYRc_0000088 1481.2 1486.4 
Bob_Barker/5Ciy1E1gYRc_0000089 1491.0 1504.1 
Bob_Barker/5Ciy1E1gYRc_0000090 1504.2 1510.0 
Bob_Barker/5Ciy1E1gYRc_0000091 1524.0 1528.2 
Bob_Barker/5Ciy1E1gYRc_0000092 1537.2 1542.8 
Bob_Barker/5Ciy1E1gYRc_0000093 1563.9 1570.4 
Bob_Barker/5Ciy1E1gYRc_0000094 1571.4 1582.0 
Bob_Barker/5Ciy1E1gYRc_0000095 1600.4 1604.6 
Bob_Barker/5Ciy1E1gYRc_0000096 1546.4 1550.6 
Bob_Barker/5Ciy1E1gYRc_0000097 1560.2 1570.4 
Bob_Barker/5Ciy1E1gYRc_0000098 1570.6 1584.2 
Bob_Barker/5Ciy1E1gYRc_0000099 1587.0 1604.6 
Bob_Barker/5Ciy1E1gYRc_0000100 1619.7 1625.3 
Bob_Barker/5Ciy1E1gYRc_0000101 1640.5 1644.8 
Bob_Barker/5Ciy1E1gYRc_0000102 1651.3 1670.3 
Bob_Barker/5Ciy1E1gYRc_0000103 1672.5 1680.6 
Bob_Barker/5Ciy1E1gYRc_0000104 1681.6 1689.0 
Bob_Barker/5Ciy1E1gYRc_0000105 1689.0 1695.1 
