POI: 			Bob_Barker 
Bob_Barker/cnQptIJlqAw_0000031 654.4 666.3 
Bob_Barker/cnQptIJlqAw_0000032 676.7 681.5 
Bob_Barker/cnQptIJlqAw_0000033 686.4 691.3 
Bob_Barker/cnQptIJlqAw_0000034 713.4 725.3 
Bob_Barker/cnQptIJlqAw_0000035 726.4 733.9 
Bob_Barker/cnQptIJlqAw_0000036 734.8 741.1 
Bob_Barker/cnQptIJlqAw_0000037 744.9 753.8 
Bob_Barker/cnQptIJlqAw_0000038 754.8 763.5 
Bob_Barker/cnQptIJlqAw_0000039 782.4 787.2 
Bob_Barker/cnQptIJlqAw_0000040 794.8 822.3 
Bob_Barker/cnQptIJlqAw_0000041 832.2 836.3 
Bob_Barker/cnQptIJlqAw_0000042 841.0 855.2 
Bob_Barker/cnQptIJlqAw_0000043 855.7 863.8 
Bob_Barker/cnQptIJlqAw_0000044 865.0 874.1 
Bob_Barker/cnQptIJlqAw_0000045 885.8 895.0 
Bob_Barker/cnQptIJlqAw_0000046 901.2 916.0 
Bob_Barker/cnQptIJlqAw_0000047 922.8 930.0 
Bob_Barker/cnQptIJlqAw_0000048 942.0 948.9 
Bob_Barker/cnQptIJlqAw_0000049 971.8 977.4 
Bob_Barker/cnQptIJlqAw_0000050 979.9 988.5 
Bob_Barker/cnQptIJlqAw_0000051 1063.0 1068.6 
Bob_Barker/cnQptIJlqAw_0000052 1070.1 1078.3 
Bob_Barker/cnQptIJlqAw_0000053 1091.9 1097.2 
Bob_Barker/cnQptIJlqAw_0000054 1070.2 1078.1 
Bob_Barker/cnQptIJlqAw_0000055 1091.5 1105.7 
Bob_Barker/cnQptIJlqAw_0000056 1108.5 1117.2 
Bob_Barker/cnQptIJlqAw_0000057 1165.5 1175.6 
Bob_Barker/cnQptIJlqAw_0000058 1176.5 1211.0 
Bob_Barker/cnQptIJlqAw_0000059 1223.0 1228.8 
Bob_Barker/cnQptIJlqAw_0000060 1241.5 1251.9 
Bob_Barker/cnQptIJlqAw_0000061 1263.5 1267.8 
Bob_Barker/cnQptIJlqAw_0000062 1268.1 1285.6 
Bob_Barker/cnQptIJlqAw_0000063 1314.0 1318.3 
Bob_Barker/cnQptIJlqAw_0000064 1347.0 1355.5 
Bob_Barker/cnQptIJlqAw_0000065 1356.6 1363.4 
Bob_Barker/cnQptIJlqAw_0000066 1367.0 1381.3 
Bob_Barker/cnQptIJlqAw_0000067 1384.9 1394.8 
Bob_Barker/cnQptIJlqAw_0000068 1398.8 1409.2 
Bob_Barker/cnQptIJlqAw_0000069 1420.3 1438.2 
Bob_Barker/cnQptIJlqAw_0000070 1443.6 1450.4 
Bob_Barker/cnQptIJlqAw_0000071 1450.7 1456.6 
Bob_Barker/cnQptIJlqAw_0000072 1459.0 1466.5 
Bob_Barker/cnQptIJlqAw_0000073 1468.4 1492.7 
Bob_Barker/cnQptIJlqAw_0000074 1500.8 1510.4 
Bob_Barker/cnQptIJlqAw_0000075 1556.8 1562.0 
Bob_Barker/cnQptIJlqAw_0000076 1564.4 1571.9 
Bob_Barker/cnQptIJlqAw_0000077 1572.1 1581.7 
Bob_Barker/cnQptIJlqAw_0000078 1584.3 1602.4 
Bob_Barker/cnQptIJlqAw_0000079 1623.5 1641.1 
Bob_Barker/cnQptIJlqAw_0000080 1641.4 1649.5 
Bob_Barker/cnQptIJlqAw_0000081 1652.6 1659.2 
Bob_Barker/cnQptIJlqAw_0000082 1663.0 1672.6 
Bob_Barker/cnQptIJlqAw_0000083 1678.6 1686.1 
Bob_Barker/cnQptIJlqAw_0000084 1687.9 1698.7 
Bob_Barker/cnQptIJlqAw_0000085 1702.6 1712.6 
Bob_Barker/cnQptIJlqAw_0000086 1716.4 1723.6 
Bob_Barker/cnQptIJlqAw_0000087 1724.4 1755.6 
Bob_Barker/cnQptIJlqAw_0000088 1759.7 1773.2 
