POI: 			Senta_Berger 
Senta_Berger/1OJyP3MFPjc_0000039 950.7 956.8 
Senta_Berger/1OJyP3MFPjc_0000040 983.8 989.4 
Senta_Berger/1OJyP3MFPjc_0000041 990.7 994.8 
Senta_Berger/1OJyP3MFPjc_0000042 995.8 1016.2 
Senta_Berger/1OJyP3MFPjc_0000043 1122.6 1129.2 
Senta_Berger/1OJyP3MFPjc_0000044 1153.3 1157.3 
Senta_Berger/1OJyP3MFPjc_0000045 1158.7 1165.3 
Senta_Berger/1OJyP3MFPjc_0000046 1170.7 1174.8 
Senta_Berger/1OJyP3MFPjc_0000047 1195.3 1200.4 
Senta_Berger/1OJyP3MFPjc_0000048 1207.7 1213.5 
Senta_Berger/1OJyP3MFPjc_0000049 1215.8 1219.8 
Senta_Berger/1OJyP3MFPjc_0000050 1247.2 1268.1 
Senta_Berger/1OJyP3MFPjc_0000051 1268.3 1280.8 
Senta_Berger/1OJyP3MFPjc_0000052 1283.0 1292.0 
Senta_Berger/1OJyP3MFPjc_0000053 1317.8 1323.4 
Senta_Berger/1OJyP3MFPjc_0000054 1324.6 1331.5 
Senta_Berger/1OJyP3MFPjc_0000055 1331.9 1340.2 
Senta_Berger/1OJyP3MFPjc_0000056 1340.7 1361.4 
Senta_Berger/1OJyP3MFPjc_0000057 1391.8 1402.4 
Senta_Berger/1OJyP3MFPjc_0000058 1405.0 1418.4 
Senta_Berger/1OJyP3MFPjc_0000059 1453.9 1459.9 
Senta_Berger/1OJyP3MFPjc_0000060 1495.2 1499.8 
Senta_Berger/1OJyP3MFPjc_0000061 1530.2 1534.8 
Senta_Berger/1OJyP3MFPjc_0000062 1537.4 1543.0 
Senta_Berger/1OJyP3MFPjc_0000063 1559.2 1567.1 
Senta_Berger/1OJyP3MFPjc_0000064 1599.6 1609.0 
Senta_Berger/1OJyP3MFPjc_0000065 1618.1 1634.1 
Senta_Berger/1OJyP3MFPjc_0000066 1634.8 1638.8 
Senta_Berger/1OJyP3MFPjc_0000067 1679.6 1686.4 
Senta_Berger/1OJyP3MFPjc_0000068 1687.2 1691.8 
Senta_Berger/1OJyP3MFPjc_0000069 1696.9 1704.8 
Senta_Berger/1OJyP3MFPjc_0000070 1721.1 1729.4 
Senta_Berger/1OJyP3MFPjc_0000071 1737.6 1751.5 
Senta_Berger/1OJyP3MFPjc_0000072 1992.9 1999.0 
Senta_Berger/1OJyP3MFPjc_0000073 1999.6 2013.8 
Senta_Berger/1OJyP3MFPjc_0000074 2017.2 2022.2 
Senta_Berger/1OJyP3MFPjc_0000075 2042.3 2064.6 
Senta_Berger/1OJyP3MFPjc_0000076 2139.4 2146.8 
Senta_Berger/1OJyP3MFPjc_0000077 2153.7 2164.8 
Senta_Berger/1OJyP3MFPjc_0000078 2182.6 2189.7 
Senta_Berger/1OJyP3MFPjc_0000079 2190.8 2201.2 
Senta_Berger/1OJyP3MFPjc_0000080 2203.4 2214.1 
Senta_Berger/1OJyP3MFPjc_0000081 2224.3 2231.2 
