POI: 			Vincent_Cassel 
Vincent_Cassel/Rp83Xx3bSjE_0000036 582.0 586.0 
Vincent_Cassel/Rp83Xx3bSjE_0000037 598.0 611.0 
Vincent_Cassel/Rp83Xx3bSjE_0000038 681.7 688.5 
Vincent_Cassel/Rp83Xx3bSjE_0000039 694.8 712.7 
Vincent_Cassel/Rp83Xx3bSjE_0000040 716.3 730.0 
Vincent_Cassel/Rp83Xx3bSjE_0000041 750.6 763.4 
Vincent_Cassel/Rp83Xx3bSjE_0000042 767.5 775.6 
Vincent_Cassel/Rp83Xx3bSjE_0000043 801.3 809.8 
Vincent_Cassel/Rp83Xx3bSjE_0000044 810.0 816.4 
Vincent_Cassel/Rp83Xx3bSjE_0000045 817.2 821.8 
Vincent_Cassel/Rp83Xx3bSjE_0000046 822.0 828.7 
Vincent_Cassel/Rp83Xx3bSjE_0000047 833.0 844.4 
Vincent_Cassel/Rp83Xx3bSjE_0000048 845.2 849.9 
Vincent_Cassel/Rp83Xx3bSjE_0000049 851.9 862.4 
Vincent_Cassel/Rp83Xx3bSjE_0000050 888.1 901.5 
Vincent_Cassel/Rp83Xx3bSjE_0000051 906.0 921.5 
Vincent_Cassel/Rp83Xx3bSjE_0000052 931.8 939.2 
Vincent_Cassel/Rp83Xx3bSjE_0000053 940.0 947.9 
Vincent_Cassel/Rp83Xx3bSjE_0000054 956.6 963.1 
Vincent_Cassel/Rp83Xx3bSjE_0000055 1010.2 1027.0 
Vincent_Cassel/Rp83Xx3bSjE_0000056 1029.6 1036.0 
Vincent_Cassel/Rp83Xx3bSjE_0000057 1040.9 1055.7 
Vincent_Cassel/Rp83Xx3bSjE_0000058 1057.1 1067.0 
Vincent_Cassel/Rp83Xx3bSjE_0000059 1077.1 1084.7 
Vincent_Cassel/Rp83Xx3bSjE_0000060 1085.6 1089.9 
Vincent_Cassel/Rp83Xx3bSjE_0000061 1097.9 1105.0 
Vincent_Cassel/Rp83Xx3bSjE_0000062 1111.5 1123.9 
Vincent_Cassel/Rp83Xx3bSjE_0000063 1131.4 1145.9 
Vincent_Cassel/Rp83Xx3bSjE_0000064 1201.4 1206.7 
Vincent_Cassel/Rp83Xx3bSjE_0000065 1213.9 1219.5 
Vincent_Cassel/Rp83Xx3bSjE_0000066 1227.4 1233.9 
Vincent_Cassel/Rp83Xx3bSjE_0000067 1258.0 1263.9 
Vincent_Cassel/Rp83Xx3bSjE_0000068 1264.1 1269.8 
Vincent_Cassel/Rp83Xx3bSjE_0000069 1311.0 1315.0 
Vincent_Cassel/Rp83Xx3bSjE_0000070 1318.1 1322.4 
Vincent_Cassel/Rp83Xx3bSjE_0000071 1325.8 1331.9 
Vincent_Cassel/Rp83Xx3bSjE_0000072 1315.2 1323.1 
Vincent_Cassel/Rp83Xx3bSjE_0000073 1325.8 1332.7 
Vincent_Cassel/Rp83Xx3bSjE_0000074 1333.3 1337.9 
Vincent_Cassel/Rp83Xx3bSjE_0000075 1340.5 1346.4 
Vincent_Cassel/Rp83Xx3bSjE_0000076 1346.4 1353.5 
Vincent_Cassel/Rp83Xx3bSjE_0000077 1354.3 1374.3 
Vincent_Cassel/Rp83Xx3bSjE_0000078 1376.7 1383.3 
Vincent_Cassel/Rp83Xx3bSjE_0000079 1396.4 1401.2 
Vincent_Cassel/Rp83Xx3bSjE_0000080 1414.9 1420.5 
Vincent_Cassel/Rp83Xx3bSjE_0000081 1436.4 1463.9 
Vincent_Cassel/Rp83Xx3bSjE_0000082 1475.8 1480.3 
Vincent_Cassel/Rp83Xx3bSjE_0000083 1481.1 1490.2 
Vincent_Cassel/Rp83Xx3bSjE_0000084 1491.6 1501.2 
Vincent_Cassel/Rp83Xx3bSjE_0000085 1540.4 1548.2 
Vincent_Cassel/Rp83Xx3bSjE_0000086 1548.9 1561.5 
Vincent_Cassel/Rp83Xx3bSjE_0000087 1564.1 1570.3 
Vincent_Cassel/Rp83Xx3bSjE_0000088 1570.8 1579.9 
Vincent_Cassel/Rp83Xx3bSjE_0000089 1580.0 1584.9 
Vincent_Cassel/Rp83Xx3bSjE_0000090 1602.5 1606.9 
Vincent_Cassel/Rp83Xx3bSjE_0000091 1620.2 1633.1 
Vincent_Cassel/Rp83Xx3bSjE_0000092 1642.6 1648.1 
Vincent_Cassel/Rp83Xx3bSjE_0000093 1660.2 1667.0 
Vincent_Cassel/Rp83Xx3bSjE_0000094 1692.6 1696.8 
Vincent_Cassel/Rp83Xx3bSjE_0000095 1713.7 1718.1 
Vincent_Cassel/Rp83Xx3bSjE_0000096 1719.0 1732.2 
Vincent_Cassel/Rp83Xx3bSjE_0000097 1742.0 1748.7 
Vincent_Cassel/Rp83Xx3bSjE_0000098 1782.2 1788.9 
Vincent_Cassel/Rp83Xx3bSjE_0000099 1801.4 1812.3 
Vincent_Cassel/Rp83Xx3bSjE_0000100 1813.0 1820.8 
Vincent_Cassel/Rp83Xx3bSjE_0000101 1831.9 1838.5 
Vincent_Cassel/Rp83Xx3bSjE_0000102 1839.4 1845.0 
