POI: 			Don_Rickles 
Don_Rickles/bC6tUNIR9V0_0000089 2088.3 2092.8 
Don_Rickles/bC6tUNIR9V0_0000090 2098.5 2103.2 
Don_Rickles/bC6tUNIR9V0_0000091 2168.0 2172.6 
Don_Rickles/bC6tUNIR9V0_0000092 2172.8 2179.0 
Don_Rickles/bC6tUNIR9V0_0000093 2218.6 2237.9 
Don_Rickles/bC6tUNIR9V0_0000094 2242.9 2255.0 
Don_Rickles/bC6tUNIR9V0_0000095 2272.4 2279.8 
Don_Rickles/bC6tUNIR9V0_0000096 2282.5 2288.8 
Don_Rickles/bC6tUNIR9V0_0000097 2289.2 2294.0 
Don_Rickles/bC6tUNIR9V0_0000098 2301.5 2312.4 
Don_Rickles/bC6tUNIR9V0_0000099 2312.6 2318.2 
Don_Rickles/bC6tUNIR9V0_0000100 2348.2 2358.0 
Don_Rickles/bC6tUNIR9V0_0000101 2364.4 2369.2 
Don_Rickles/bC6tUNIR9V0_0000102 2375.2 2387.8 
Don_Rickles/bC6tUNIR9V0_0000103 2388.2 2392.4 
Don_Rickles/bC6tUNIR9V0_0000104 2394.0 2399.2 
Don_Rickles/bC6tUNIR9V0_0000105 2400.3 2404.4 
Don_Rickles/bC6tUNIR9V0_0000106 2435.2 2440.1 
Don_Rickles/bC6tUNIR9V0_0000107 2440.8 2451.8 
Don_Rickles/bC6tUNIR9V0_0000108 2455.8 2463.6 
Don_Rickles/bC6tUNIR9V0_0000109 2468.0 2478.7 
Don_Rickles/bC6tUNIR9V0_0000110 2522.7 2528.6 
Don_Rickles/bC6tUNIR9V0_0000111 2531.8 2536.8 
Don_Rickles/bC6tUNIR9V0_0000112 2577.8 2587.0 
Don_Rickles/bC6tUNIR9V0_0000113 2588.2 2596.9 
Don_Rickles/bC6tUNIR9V0_0000114 2603.6 2616.0 
Don_Rickles/bC6tUNIR9V0_0000115 2616.9 2621.1 
Don_Rickles/bC6tUNIR9V0_0000116 2669.5 2674.0 
Don_Rickles/bC6tUNIR9V0_0000117 2676.3 2681.0 
Don_Rickles/bC6tUNIR9V0_0000118 2690.4 2705.7 
Don_Rickles/bC6tUNIR9V0_0000119 2709.3 2720.2 
Don_Rickles/bC6tUNIR9V0_0000120 2770.7 2775.7 
Don_Rickles/bC6tUNIR9V0_0000121 2803.6 2807.9 
Don_Rickles/bC6tUNIR9V0_0000122 2808.8 2814.1 
Don_Rickles/bC6tUNIR9V0_0000123 2887.7 2893.6 
Don_Rickles/bC6tUNIR9V0_0000124 2905.4 2909.3 
Don_Rickles/bC6tUNIR9V0_0000125 2962.4 2967.6 
Don_Rickles/bC6tUNIR9V0_0000126 2967.7 2976.1 
Don_Rickles/bC6tUNIR9V0_0000127 2978.8 2984.1 
Don_Rickles/bC6tUNIR9V0_0000128 3039.1 3045.0 
Don_Rickles/bC6tUNIR9V0_0000129 3077.6 3083.6 
Don_Rickles/bC6tUNIR9V0_0000130 3083.8 3089.2 
