POI: 			Octavia_Spencer 
Octavia_Spencer/DxZaPGUIX50_0000065 2131.2 2140.2 
Octavia_Spencer/DxZaPGUIX50_0000066 2180.6 2187.2 
Octavia_Spencer/DxZaPGUIX50_0000067 2204.6 2214.0 
Octavia_Spencer/DxZaPGUIX50_0000068 2225.4 2241.1 
Octavia_Spencer/DxZaPGUIX50_0000069 2253.8 2260.0 
Octavia_Spencer/DxZaPGUIX50_0000070 2283.2 2289.4 
Octavia_Spencer/DxZaPGUIX50_0000071 2295.0 2302.6 
Octavia_Spencer/DxZaPGUIX50_0000072 2303.2 2307.8 
Octavia_Spencer/DxZaPGUIX50_0000073 2317.5 2322.0 
Octavia_Spencer/DxZaPGUIX50_0000074 2340.6 2351.3 
Octavia_Spencer/DxZaPGUIX50_0000075 2360.8 2368.0 
Octavia_Spencer/DxZaPGUIX50_0000076 2426.2 2433.4 
Octavia_Spencer/DxZaPGUIX50_0000077 2435.5 2449.3 
Octavia_Spencer/DxZaPGUIX50_0000078 2472.4 2481.2 
Octavia_Spencer/DxZaPGUIX50_0000079 2523.3 2529.5 
Octavia_Spencer/DxZaPGUIX50_0000080 2532.0 2538.5 
Octavia_Spencer/DxZaPGUIX50_0000081 2549.2 2556.2 
Octavia_Spencer/DxZaPGUIX50_0000082 2565.1 2578.6 
Octavia_Spencer/DxZaPGUIX50_0000083 2586.4 2599.1 
Octavia_Spencer/DxZaPGUIX50_0000084 2599.4 2604.4 
Octavia_Spencer/DxZaPGUIX50_0000085 2615.7 2634.4 
Octavia_Spencer/DxZaPGUIX50_0000086 2647.0 2656.1 
Octavia_Spencer/DxZaPGUIX50_0000087 2665.4 2672.0 
Octavia_Spencer/DxZaPGUIX50_0000088 2677.8 2682.5 
Octavia_Spencer/DxZaPGUIX50_0000089 2682.8 2687.6 
Octavia_Spencer/DxZaPGUIX50_0000090 2758.3 2763.1 
Octavia_Spencer/DxZaPGUIX50_0000091 2767.5 2771.6 
Octavia_Spencer/DxZaPGUIX50_0000092 2779.6 2795.5 
Octavia_Spencer/DxZaPGUIX50_0000093 2795.7 2799.7 
Octavia_Spencer/DxZaPGUIX50_0000094 2814.7 2821.0 
Octavia_Spencer/DxZaPGUIX50_0000095 2925.2 2929.1 
Octavia_Spencer/DxZaPGUIX50_0000096 2929.2 2933.5 
Octavia_Spencer/DxZaPGUIX50_0000097 2933.6 2945.6 
Octavia_Spencer/DxZaPGUIX50_0000098 2955.4 2968.1 
Octavia_Spencer/DxZaPGUIX50_0000099 2999.2 3004.0 
Octavia_Spencer/DxZaPGUIX50_0000100 3004.3 3008.6 
Octavia_Spencer/DxZaPGUIX50_0000101 3026.5 3038.0 
Octavia_Spencer/DxZaPGUIX50_0000102 3038.2 3046.1 
Octavia_Spencer/DxZaPGUIX50_0000103 3049.6 3054.0 
Octavia_Spencer/DxZaPGUIX50_0000104 3091.6 3105.2 
Octavia_Spencer/DxZaPGUIX50_0000105 3125.7 3130.2 
Octavia_Spencer/DxZaPGUIX50_0000106 3159.4 3172.3 
Octavia_Spencer/DxZaPGUIX50_0000107 3199.2 3206.1 
Octavia_Spencer/DxZaPGUIX50_0000108 3233.6 3240.0 
Octavia_Spencer/DxZaPGUIX50_0000109 3296.0 3300.8 
Octavia_Spencer/DxZaPGUIX50_0000110 3305.2 3311.2 
Octavia_Spencer/DxZaPGUIX50_0000111 3313.4 3319.2 
Octavia_Spencer/DxZaPGUIX50_0000112 3334.5 3341.6 
Octavia_Spencer/DxZaPGUIX50_0000113 3357.4 3372.8 
Octavia_Spencer/DxZaPGUIX50_0000114 3382.6 3391.9 
Octavia_Spencer/DxZaPGUIX50_0000115 3420.6 3430.8 
Octavia_Spencer/DxZaPGUIX50_0000116 3448.8 3458.8 
Octavia_Spencer/DxZaPGUIX50_0000117 3474.0 3479.2 
Octavia_Spencer/DxZaPGUIX50_0000118 3492.2 3497.3 
Octavia_Spencer/DxZaPGUIX50_0000119 3532.0 3536.6 
Octavia_Spencer/DxZaPGUIX50_0000120 3559.0 3563.3 
Octavia_Spencer/DxZaPGUIX50_0000121 3647.0 3651.5 
Octavia_Spencer/DxZaPGUIX50_0000122 3661.6 3671.3 
Octavia_Spencer/DxZaPGUIX50_0000123 3671.5 3681.9 
Octavia_Spencer/DxZaPGUIX50_0000124 3686.9 3692.2 
Octavia_Spencer/DxZaPGUIX50_0000125 3692.6 3699.8 
Octavia_Spencer/DxZaPGUIX50_0000126 3703.1 3712.9 
Octavia_Spencer/DxZaPGUIX50_0000127 3744.6 3753.0 
Octavia_Spencer/DxZaPGUIX50_0000128 3761.6 3771.4 
Octavia_Spencer/DxZaPGUIX50_0000129 3811.8 3817.2 
Octavia_Spencer/DxZaPGUIX50_0000130 3832.6 3843.2 
Octavia_Spencer/DxZaPGUIX50_0000131 3856.1 3867.8 
Octavia_Spencer/DxZaPGUIX50_0000132 3868.1 3877.4 
Octavia_Spencer/DxZaPGUIX50_0000133 3892.2 3897.1 
Octavia_Spencer/DxZaPGUIX50_0000134 3918.8 3924.8 
Octavia_Spencer/DxZaPGUIX50_0000135 3925.3 3929.6 
Octavia_Spencer/DxZaPGUIX50_0000136 3950.8 3957.7 
Octavia_Spencer/DxZaPGUIX50_0000137 3969.7 3980.0 
Octavia_Spencer/DxZaPGUIX50_0000138 3982.3 3991.4 
Octavia_Spencer/DxZaPGUIX50_0000139 3998.6 4004.1 
Octavia_Spencer/DxZaPGUIX50_0000140 4036.6 4044.8 
Octavia_Spencer/DxZaPGUIX50_0000141 4046.5 4055.6 
Octavia_Spencer/DxZaPGUIX50_0000142 4075.8 4088.6 
Octavia_Spencer/DxZaPGUIX50_0000143 4101.4 4105.6 
Octavia_Spencer/DxZaPGUIX50_0000144 4107.4 4114.5 
Octavia_Spencer/DxZaPGUIX50_0000145 4145.6 4152.2 
Octavia_Spencer/DxZaPGUIX50_0000146 4156.2 4164.2 
Octavia_Spencer/DxZaPGUIX50_0000147 4177.0 4189.6 
Octavia_Spencer/DxZaPGUIX50_0000148 4198.6 4203.9 
Octavia_Spencer/DxZaPGUIX50_0000149 4206.0 4211.0 
Octavia_Spencer/DxZaPGUIX50_0000150 4248.6 4257.9 
Octavia_Spencer/DxZaPGUIX50_0000151 4283.5 4287.8 
Octavia_Spencer/DxZaPGUIX50_0000152 4299.0 4303.6 
Octavia_Spencer/DxZaPGUIX50_0000153 4350.4 4356.6 
Octavia_Spencer/DxZaPGUIX50_0000154 4367.0 4371.8 
Octavia_Spencer/DxZaPGUIX50_0000155 4382.5 4402.8 
Octavia_Spencer/DxZaPGUIX50_0000156 4403.9 4420.4 
Octavia_Spencer/DxZaPGUIX50_0000157 4442.1 4451.8 
Octavia_Spencer/DxZaPGUIX50_0000158 4466.3 4472.7 
Octavia_Spencer/DxZaPGUIX50_0000159 4473.2 4488.8 
Octavia_Spencer/DxZaPGUIX50_0000160 4511.2 4519.5 
Octavia_Spencer/DxZaPGUIX50_0000161 4535.3 4545.1 
Octavia_Spencer/DxZaPGUIX50_0000162 4595.1 4603.5 
Octavia_Spencer/DxZaPGUIX50_0000163 4610.6 4620.1 
Octavia_Spencer/DxZaPGUIX50_0000164 4685.4 4700.4 
Octavia_Spencer/DxZaPGUIX50_0000165 4738.0 4742.4 
