POI: 			Vince_Gilligan 
Vince_Gilligan/O77p-6-AqP4_0000036 777.7 781.9 
Vince_Gilligan/O77p-6-AqP4_0000037 783.4 791.1 
Vince_Gilligan/O77p-6-AqP4_0000038 802.1 807.0 
Vince_Gilligan/O77p-6-AqP4_0000039 812.6 821.4 
Vince_Gilligan/O77p-6-AqP4_0000040 822.2 830.9 
Vince_Gilligan/O77p-6-AqP4_0000041 844.1 848.8 
Vince_Gilligan/O77p-6-AqP4_0000042 850.2 855.0 
Vince_Gilligan/O77p-6-AqP4_0000043 867.4 874.0 
Vince_Gilligan/O77p-6-AqP4_0000044 884.8 892.7 
Vince_Gilligan/O77p-6-AqP4_0000045 902.7 907.4 
Vince_Gilligan/O77p-6-AqP4_0000046 915.0 919.3 
Vince_Gilligan/O77p-6-AqP4_0000047 920.8 931.5 
Vince_Gilligan/O77p-6-AqP4_0000048 1035.5 1041.6 
Vince_Gilligan/O77p-6-AqP4_0000049 1043.6 1051.0 
Vince_Gilligan/O77p-6-AqP4_0000050 1054.8 1061.2 
Vince_Gilligan/O77p-6-AqP4_0000051 1069.2 1076.1 
Vince_Gilligan/O77p-6-AqP4_0000052 1079.4 1083.9 
Vince_Gilligan/O77p-6-AqP4_0000053 1104.0 1108.8 
Vince_Gilligan/O77p-6-AqP4_0000054 1109.4 1119.5 
Vince_Gilligan/O77p-6-AqP4_0000055 1122.3 1126.8 
Vince_Gilligan/O77p-6-AqP4_0000056 1127.3 1132.4 
Vince_Gilligan/O77p-6-AqP4_0000057 1133.4 1142.5 
Vince_Gilligan/O77p-6-AqP4_0000058 1167.8 1177.1 
Vince_Gilligan/O77p-6-AqP4_0000059 1177.4 1188.1 
Vince_Gilligan/O77p-6-AqP4_0000060 1189.4 1194.8 
Vince_Gilligan/O77p-6-AqP4_0000061 1201.0 1206.4 
Vince_Gilligan/O77p-6-AqP4_0000062 1277.6 1283.0 
Vince_Gilligan/O77p-6-AqP4_0000063 1286.2 1294.1 
Vince_Gilligan/O77p-6-AqP4_0000064 1294.4 1308.1 
Vince_Gilligan/O77p-6-AqP4_0000065 1286.2 1294.0 
Vince_Gilligan/O77p-6-AqP4_0000066 1294.4 1299.3 
Vince_Gilligan/O77p-6-AqP4_0000067 1300.1 1307.9 
Vince_Gilligan/O77p-6-AqP4_0000068 1308.5 1315.1 
Vince_Gilligan/O77p-6-AqP4_0000069 1316.3 1323.6 
Vince_Gilligan/O77p-6-AqP4_0000070 1332.2 1337.1 
Vince_Gilligan/O77p-6-AqP4_0000071 1344.1 1348.2 
Vince_Gilligan/O77p-6-AqP4_0000072 1348.5 1355.2 
Vince_Gilligan/O77p-6-AqP4_0000073 1355.8 1362.1 
Vince_Gilligan/O77p-6-AqP4_0000074 1363.0 1371.9 
Vince_Gilligan/O77p-6-AqP4_0000075 1377.3 1385.8 
Vince_Gilligan/O77p-6-AqP4_0000076 1413.8 1418.5 
Vince_Gilligan/O77p-6-AqP4_0000077 1420.4 1427.8 
Vince_Gilligan/O77p-6-AqP4_0000078 1437.5 1444.6 
Vince_Gilligan/O77p-6-AqP4_0000079 1460.6 1466.9 
Vince_Gilligan/O77p-6-AqP4_0000080 1471.9 1482.1 
Vince_Gilligan/O77p-6-AqP4_0000081 1484.0 1500.2 
Vince_Gilligan/O77p-6-AqP4_0000082 1500.9 1507.5 
Vince_Gilligan/O77p-6-AqP4_0000083 1508.6 1521.6 
Vince_Gilligan/O77p-6-AqP4_0000084 1522.0 1534.2 
Vince_Gilligan/O77p-6-AqP4_0000085 1540.0 1561.3 
Vince_Gilligan/O77p-6-AqP4_0000086 1562.2 1568.5 
Vince_Gilligan/O77p-6-AqP4_0000087 1569.2 1577.2 
Vince_Gilligan/O77p-6-AqP4_0000088 1577.5 1587.9 
Vince_Gilligan/O77p-6-AqP4_0000089 1588.0 1593.6 
Vince_Gilligan/O77p-6-AqP4_0000090 1594.9 1601.6 
Vince_Gilligan/O77p-6-AqP4_0000091 1674.4 1679.4 
Vince_Gilligan/O77p-6-AqP4_0000092 1680.2 1686.4 
Vince_Gilligan/O77p-6-AqP4_0000093 1689.6 1694.9 
Vince_Gilligan/O77p-6-AqP4_0000094 1707.8 1724.1 
Vince_Gilligan/O77p-6-AqP4_0000095 1724.3 1731.1 
Vince_Gilligan/O77p-6-AqP4_0000096 1734.6 1740.8 
Vince_Gilligan/O77p-6-AqP4_0000097 1745.1 1766.8 
Vince_Gilligan/O77p-6-AqP4_0000098 1779.8 1784.8 
Vince_Gilligan/O77p-6-AqP4_0000099 1810.6 1821.5 
Vince_Gilligan/O77p-6-AqP4_0000100 1821.9 1830.7 
Vince_Gilligan/O77p-6-AqP4_0000101 1851.7 1882.3 
Vince_Gilligan/O77p-6-AqP4_0000102 1885.2 1893.5 
Vince_Gilligan/O77p-6-AqP4_0000103 1897.8 1908.4 
Vince_Gilligan/O77p-6-AqP4_0000104 1920.6 1928.2 
Vince_Gilligan/O77p-6-AqP4_0000105 1930.3 1941.8 
Vince_Gilligan/O77p-6-AqP4_0000106 1942.1 1947.6 
Vince_Gilligan/O77p-6-AqP4_0000107 1948.4 1952.8 
Vince_Gilligan/O77p-6-AqP4_0000108 1957.0 1961.7 
Vince_Gilligan/O77p-6-AqP4_0000109 1967.5 1976.6 
Vince_Gilligan/O77p-6-AqP4_0000110 1977.6 1986.6 
Vince_Gilligan/O77p-6-AqP4_0000111 1991.7 2003.2 
Vince_Gilligan/O77p-6-AqP4_0000112 2109.2 2113.4 
Vince_Gilligan/O77p-6-AqP4_0000113 2121.0 2132.4 
Vince_Gilligan/O77p-6-AqP4_0000114 2143.6 2150.0 
Vince_Gilligan/O77p-6-AqP4_0000115 2151.4 2159.0 
Vince_Gilligan/O77p-6-AqP4_0000116 2160.1 2173.2 
Vince_Gilligan/O77p-6-AqP4_0000117 2173.6 2183.0 
Vince_Gilligan/O77p-6-AqP4_0000118 2190.1 2194.9 
Vince_Gilligan/O77p-6-AqP4_0000119 2201.3 2206.3 
Vince_Gilligan/O77p-6-AqP4_0000120 2208.5 2221.2 
Vince_Gilligan/O77p-6-AqP4_0000121 2227.1 2256.2 
Vince_Gilligan/O77p-6-AqP4_0000122 2258.0 2262.2 
Vince_Gilligan/O77p-6-AqP4_0000123 2265.4 2274.5 
Vince_Gilligan/O77p-6-AqP4_0000124 2276.1 2283.2 
Vince_Gilligan/O77p-6-AqP4_0000125 2293.0 2301.6 
Vince_Gilligan/O77p-6-AqP4_0000126 2309.4 2318.4 
Vince_Gilligan/O77p-6-AqP4_0000127 2331.8 2336.0 
Vince_Gilligan/O77p-6-AqP4_0000128 2382.7 2400.2 
Vince_Gilligan/O77p-6-AqP4_0000129 2415.4 2420.0 
Vince_Gilligan/O77p-6-AqP4_0000130 2481.4 2486.4 
Vince_Gilligan/O77p-6-AqP4_0000131 2495.8 2507.2 
Vince_Gilligan/O77p-6-AqP4_0000132 2507.6 2513.8 
Vince_Gilligan/O77p-6-AqP4_0000133 2515.4 2519.4 
Vince_Gilligan/O77p-6-AqP4_0000134 2519.5 2528.6 
Vince_Gilligan/O77p-6-AqP4_0000135 2548.4 2552.9 
Vince_Gilligan/O77p-6-AqP4_0000136 2571.2 2576.9 
Vince_Gilligan/O77p-6-AqP4_0000137 2584.1 2590.4 
Vince_Gilligan/O77p-6-AqP4_0000138 2590.9 2597.2 
Vince_Gilligan/O77p-6-AqP4_0000139 2597.9 2602.3 
Vince_Gilligan/O77p-6-AqP4_0000140 2602.9 2607.4 
Vince_Gilligan/O77p-6-AqP4_0000141 2612.2 2618.2 
Vince_Gilligan/O77p-6-AqP4_0000142 2625.2 2629.1 
Vince_Gilligan/O77p-6-AqP4_0000143 2631.2 2640.2 
Vince_Gilligan/O77p-6-AqP4_0000144 2657.6 2662.1 
Vince_Gilligan/O77p-6-AqP4_0000145 2707.7 2713.4 
Vince_Gilligan/O77p-6-AqP4_0000146 2713.7 2721.2 
Vince_Gilligan/O77p-6-AqP4_0000147 2721.4 2728.8 
Vince_Gilligan/O77p-6-AqP4_0000148 2733.1 2738.7 
Vince_Gilligan/O77p-6-AqP4_0000149 2740.5 2747.0 
Vince_Gilligan/O77p-6-AqP4_0000150 2756.5 2761.1 
Vince_Gilligan/O77p-6-AqP4_0000151 2769.9 2774.8 
Vince_Gilligan/O77p-6-AqP4_0000152 2788.3 2792.5 
Vince_Gilligan/O77p-6-AqP4_0000153 2826.7 2831.7 
Vince_Gilligan/O77p-6-AqP4_0000154 2832.0 2841.6 
Vince_Gilligan/O77p-6-AqP4_0000155 2916.4 2921.8 
Vince_Gilligan/O77p-6-AqP4_0000156 2957.9 2963.8 
Vince_Gilligan/O77p-6-AqP4_0000157 2964.0 2974.5 
Vince_Gilligan/O77p-6-AqP4_0000158 2989.8 2998.8 
Vince_Gilligan/O77p-6-AqP4_0000159 3003.5 3020.5 
Vince_Gilligan/O77p-6-AqP4_0000160 3022.1 3026.6 
Vince_Gilligan/O77p-6-AqP4_0000161 3059.3 3063.3 
Vince_Gilligan/O77p-6-AqP4_0000162 3080.6 3084.6 
Vince_Gilligan/O77p-6-AqP4_0000163 3085.0 3095.0 
Vince_Gilligan/O77p-6-AqP4_0000164 3122.4 3127.0 
Vince_Gilligan/O77p-6-AqP4_0000165 3127.2 3131.4 
Vince_Gilligan/O77p-6-AqP4_0000166 3134.7 3143.7 
Vince_Gilligan/O77p-6-AqP4_0000167 3144.2 3157.8 
Vince_Gilligan/O77p-6-AqP4_0000168 3168.1 3175.7 
Vince_Gilligan/O77p-6-AqP4_0000169 3177.6 3189.9 
