POI: 			Michael_Shannon 
Michael_Shannon/I5ZloXyoJeU_0000053 2386.6 2390.9 
Michael_Shannon/I5ZloXyoJeU_0000054 2397.6 2402.2 
Michael_Shannon/I5ZloXyoJeU_0000055 2402.5 2409.8 
Michael_Shannon/I5ZloXyoJeU_0000056 2415.2 2420.1 
Michael_Shannon/I5ZloXyoJeU_0000057 2459.2 2468.3 
Michael_Shannon/I5ZloXyoJeU_0000058 2496.2 2505.1 
Michael_Shannon/I5ZloXyoJeU_0000059 2508.8 2514.9 
Michael_Shannon/I5ZloXyoJeU_0000060 2519.0 2523.4 
Michael_Shannon/I5ZloXyoJeU_0000061 2543.6 2547.7 
Michael_Shannon/I5ZloXyoJeU_0000062 2558.1 2563.4 
Michael_Shannon/I5ZloXyoJeU_0000063 2736.1 2740.4 
Michael_Shannon/I5ZloXyoJeU_0000064 2817.1 2821.4 
Michael_Shannon/I5ZloXyoJeU_0000065 2822.0 2826.6 
Michael_Shannon/I5ZloXyoJeU_0000066 2831.8 2837.7 
Michael_Shannon/I5ZloXyoJeU_0000067 2885.6 2891.9 
Michael_Shannon/I5ZloXyoJeU_0000068 2924.4 2928.8 
Michael_Shannon/I5ZloXyoJeU_0000069 2986.3 2990.2 
Michael_Shannon/I5ZloXyoJeU_0000070 2990.8 2998.9 
Michael_Shannon/I5ZloXyoJeU_0000071 3068.4 3073.1 
Michael_Shannon/I5ZloXyoJeU_0000072 3077.0 3082.4 
Michael_Shannon/I5ZloXyoJeU_0000073 3091.0 3097.4 
Michael_Shannon/I5ZloXyoJeU_0000074 3109.2 3114.4 
Michael_Shannon/I5ZloXyoJeU_0000075 3114.8 3119.0 
Michael_Shannon/I5ZloXyoJeU_0000076 3096.1 3100.3 
Michael_Shannon/I5ZloXyoJeU_0000077 3102.2 3114.4 
Michael_Shannon/I5ZloXyoJeU_0000078 3170.5 3175.8 
Michael_Shannon/I5ZloXyoJeU_0000079 3180.0 3187.4 
Michael_Shannon/I5ZloXyoJeU_0000080 3204.3 3209.6 
Michael_Shannon/I5ZloXyoJeU_0000081 3212.3 3216.6 
Michael_Shannon/I5ZloXyoJeU_0000082 3261.1 3266.9 
