POI: 			Rob_Reiner 
Rob_Reiner/Vzqmi3MAixQ_0000097 1204.6 1211.4 
Rob_Reiner/Vzqmi3MAixQ_0000098 1213.1 1231.8 
Rob_Reiner/Vzqmi3MAixQ_0000099 1232.6 1241.6 
Rob_Reiner/Vzqmi3MAixQ_0000100 1256.7 1261.0 
Rob_Reiner/Vzqmi3MAixQ_0000101 1272.2 1278.4 
Rob_Reiner/Vzqmi3MAixQ_0000102 1283.0 1288.0 
Rob_Reiner/Vzqmi3MAixQ_0000103 1304.4 1309.2 
Rob_Reiner/Vzqmi3MAixQ_0000104 1312.2 1323.8 
Rob_Reiner/Vzqmi3MAixQ_0000105 1336.3 1343.4 
Rob_Reiner/Vzqmi3MAixQ_0000106 1348.4 1355.2 
Rob_Reiner/Vzqmi3MAixQ_0000107 1360.0 1365.2 
Rob_Reiner/Vzqmi3MAixQ_0000108 1365.6 1376.5 
Rob_Reiner/Vzqmi3MAixQ_0000109 1376.7 1382.3 
Rob_Reiner/Vzqmi3MAixQ_0000110 1383.8 1388.2 
Rob_Reiner/Vzqmi3MAixQ_0000111 1394.9 1399.8 
Rob_Reiner/Vzqmi3MAixQ_0000112 1401.3 1410.2 
Rob_Reiner/Vzqmi3MAixQ_0000113 1411.4 1415.9 
Rob_Reiner/Vzqmi3MAixQ_0000114 1418.4 1434.6 
Rob_Reiner/Vzqmi3MAixQ_0000115 1436.6 1443.7 
Rob_Reiner/Vzqmi3MAixQ_0000116 1455.0 1466.0 
Rob_Reiner/Vzqmi3MAixQ_0000117 1471.4 1476.4 
Rob_Reiner/Vzqmi3MAixQ_0000118 1480.7 1493.1 
Rob_Reiner/Vzqmi3MAixQ_0000119 1506.1 1520.6 
Rob_Reiner/Vzqmi3MAixQ_0000120 1531.5 1538.6 
Rob_Reiner/Vzqmi3MAixQ_0000121 1542.8 1548.2 
Rob_Reiner/Vzqmi3MAixQ_0000122 1552.6 1569.2 
Rob_Reiner/Vzqmi3MAixQ_0000123 1590.7 1605.8 
Rob_Reiner/Vzqmi3MAixQ_0000124 1617.3 1621.3 
Rob_Reiner/Vzqmi3MAixQ_0000125 1621.4 1645.7 
Rob_Reiner/Vzqmi3MAixQ_0000126 1656.8 1661.2 
Rob_Reiner/Vzqmi3MAixQ_0000127 1668.0 1679.4 
