POI: 			Rob_Reiner 
Rob_Reiner/sOlWHKGy-SY_0000092 1301.5 1311.2 
Rob_Reiner/sOlWHKGy-SY_0000093 1314.5 1320.6 
Rob_Reiner/sOlWHKGy-SY_0000094 1321.2 1326.6 
Rob_Reiner/sOlWHKGy-SY_0000095 1334.7 1343.9 
Rob_Reiner/sOlWHKGy-SY_0000096 1344.2 1360.2 
Rob_Reiner/sOlWHKGy-SY_0000097 1363.5 1368.9 
Rob_Reiner/sOlWHKGy-SY_0000098 1369.2 1374.2 
Rob_Reiner/sOlWHKGy-SY_0000099 1385.5 1389.8 
Rob_Reiner/sOlWHKGy-SY_0000100 1391.2 1396.2 
Rob_Reiner/sOlWHKGy-SY_0000101 1397.2 1402.1 
Rob_Reiner/sOlWHKGy-SY_0000102 1410.4 1415.7 
Rob_Reiner/sOlWHKGy-SY_0000103 1425.6 1432.4 
Rob_Reiner/sOlWHKGy-SY_0000104 1442.3 1448.4 
Rob_Reiner/sOlWHKGy-SY_0000105 1449.8 1456.1 
Rob_Reiner/sOlWHKGy-SY_0000106 1456.6 1472.4 
Rob_Reiner/sOlWHKGy-SY_0000107 1485.6 1491.2 
Rob_Reiner/sOlWHKGy-SY_0000108 1527.9 1537.4 
Rob_Reiner/sOlWHKGy-SY_0000109 1538.1 1542.8 
Rob_Reiner/sOlWHKGy-SY_0000110 1543.6 1550.7 
Rob_Reiner/sOlWHKGy-SY_0000111 1552.9 1559.6 
Rob_Reiner/sOlWHKGy-SY_0000112 1565.2 1570.1 
Rob_Reiner/sOlWHKGy-SY_0000113 1570.9 1575.5 
Rob_Reiner/sOlWHKGy-SY_0000114 1585.6 1590.2 
Rob_Reiner/sOlWHKGy-SY_0000115 1590.4 1594.4 
Rob_Reiner/sOlWHKGy-SY_0000116 1618.5 1626.0 
Rob_Reiner/sOlWHKGy-SY_0000117 1627.8 1631.8 
Rob_Reiner/sOlWHKGy-SY_0000118 1651.4 1658.2 
Rob_Reiner/sOlWHKGy-SY_0000119 1659.1 1671.5 
Rob_Reiner/sOlWHKGy-SY_0000120 1672.5 1677.9 
Rob_Reiner/sOlWHKGy-SY_0000121 1685.6 1691.7 
Rob_Reiner/sOlWHKGy-SY_0000122 1697.8 1705.9 
