POI: 			Rob_Reiner 
Rob_Reiner/w7DmOHDIMQ8_0000056 1041.6 1045.8 
Rob_Reiner/w7DmOHDIMQ8_0000057 1055.3 1061.7 
Rob_Reiner/w7DmOHDIMQ8_0000058 1065.6 1086.4 
Rob_Reiner/w7DmOHDIMQ8_0000059 1089.8 1094.8 
Rob_Reiner/w7DmOHDIMQ8_0000060 1105.0 1110.8 
Rob_Reiner/w7DmOHDIMQ8_0000061 1119.2 1134.8 
Rob_Reiner/w7DmOHDIMQ8_0000062 1137.8 1142.4 
Rob_Reiner/w7DmOHDIMQ8_0000063 1159.4 1180.4 
Rob_Reiner/w7DmOHDIMQ8_0000064 1182.8 1190.8 
Rob_Reiner/w7DmOHDIMQ8_0000065 1195.8 1199.8 
Rob_Reiner/w7DmOHDIMQ8_0000066 1201.9 1207.8 
Rob_Reiner/w7DmOHDIMQ8_0000067 1208.3 1213.5 
Rob_Reiner/w7DmOHDIMQ8_0000068 1239.0 1249.3 
Rob_Reiner/w7DmOHDIMQ8_0000069 1249.9 1254.1 
Rob_Reiner/w7DmOHDIMQ8_0000070 1261.7 1265.9 
Rob_Reiner/w7DmOHDIMQ8_0000071 1285.3 1293.0 
Rob_Reiner/w7DmOHDIMQ8_0000072 1293.5 1298.3 
Rob_Reiner/w7DmOHDIMQ8_0000073 1305.0 1309.8 
Rob_Reiner/w7DmOHDIMQ8_0000074 1330.4 1334.8 
Rob_Reiner/w7DmOHDIMQ8_0000075 1335.8 1343.7 
Rob_Reiner/w7DmOHDIMQ8_0000076 1344.5 1349.8 
Rob_Reiner/w7DmOHDIMQ8_0000077 1352.0 1369.1 
Rob_Reiner/w7DmOHDIMQ8_0000078 1387.3 1391.7 
Rob_Reiner/w7DmOHDIMQ8_0000079 1391.8 1404.1 
Rob_Reiner/w7DmOHDIMQ8_0000080 1404.4 1415.5 
Rob_Reiner/w7DmOHDIMQ8_0000081 1421.7 1434.7 
Rob_Reiner/w7DmOHDIMQ8_0000082 1467.2 1471.8 
Rob_Reiner/w7DmOHDIMQ8_0000083 1480.2 1484.7 
Rob_Reiner/w7DmOHDIMQ8_0000084 1485.1 1495.1 
Rob_Reiner/w7DmOHDIMQ8_0000085 1507.7 1512.0 
Rob_Reiner/w7DmOHDIMQ8_0000086 1522.6 1532.0 
Rob_Reiner/w7DmOHDIMQ8_0000087 1536.1 1545.3 
Rob_Reiner/w7DmOHDIMQ8_0000088 1546.0 1554.8 
Rob_Reiner/w7DmOHDIMQ8_0000089 1567.4 1571.8 
Rob_Reiner/w7DmOHDIMQ8_0000090 1585.9 1594.0 
Rob_Reiner/w7DmOHDIMQ8_0000091 1598.7 1603.1 
Rob_Reiner/w7DmOHDIMQ8_0000092 1612.5 1618.2 
Rob_Reiner/w7DmOHDIMQ8_0000093 1631.3 1635.6 
Rob_Reiner/w7DmOHDIMQ8_0000094 1640.4 1662.2 
Rob_Reiner/w7DmOHDIMQ8_0000095 1664.9 1687.0 
Rob_Reiner/w7DmOHDIMQ8_0000096 1695.3 1700.7 
Rob_Reiner/w7DmOHDIMQ8_0000097 1709.6 1722.3 
Rob_Reiner/w7DmOHDIMQ8_0000098 1724.6 1729.9 
Rob_Reiner/w7DmOHDIMQ8_0000099 1730.7 1735.4 
