POI: 			Rob_Reiner 
Rob_Reiner/lFEBeMFuL_M_0000087 1047.6 1051.7 
Rob_Reiner/lFEBeMFuL_M_0000088 1053.3 1060.6 
Rob_Reiner/lFEBeMFuL_M_0000089 1060.8 1065.9 
Rob_Reiner/lFEBeMFuL_M_0000090 1073.8 1088.4 
Rob_Reiner/lFEBeMFuL_M_0000091 1103.5 1115.5 
Rob_Reiner/lFEBeMFuL_M_0000092 1115.7 1127.2 
Rob_Reiner/lFEBeMFuL_M_0000093 1216.4 1222.4 
Rob_Reiner/lFEBeMFuL_M_0000094 1224.5 1234.3 
Rob_Reiner/lFEBeMFuL_M_0000095 1235.0 1249.4 
Rob_Reiner/lFEBeMFuL_M_0000096 1249.5 1262.2 
Rob_Reiner/lFEBeMFuL_M_0000097 1262.9 1273.6 
Rob_Reiner/lFEBeMFuL_M_0000098 1292.4 1296.6 
Rob_Reiner/lFEBeMFuL_M_0000099 1296.8 1301.9 
Rob_Reiner/lFEBeMFuL_M_0000100 1302.6 1309.4 
Rob_Reiner/lFEBeMFuL_M_0000101 1310.0 1315.0 
Rob_Reiner/lFEBeMFuL_M_0000102 1316.0 1324.2 
Rob_Reiner/lFEBeMFuL_M_0000103 1332.0 1339.4 
Rob_Reiner/lFEBeMFuL_M_0000104 1342.5 1348.4 
Rob_Reiner/lFEBeMFuL_M_0000105 1348.6 1354.7 
Rob_Reiner/lFEBeMFuL_M_0000106 1358.4 1369.2 
Rob_Reiner/lFEBeMFuL_M_0000107 1369.4 1379.3 
Rob_Reiner/lFEBeMFuL_M_0000108 1388.4 1399.7 
Rob_Reiner/lFEBeMFuL_M_0000109 1400.3 1407.8 
Rob_Reiner/lFEBeMFuL_M_0000110 1424.8 1431.2 
Rob_Reiner/lFEBeMFuL_M_0000111 1437.6 1447.7 
Rob_Reiner/lFEBeMFuL_M_0000112 1447.8 1455.3 
Rob_Reiner/lFEBeMFuL_M_0000113 1477.0 1484.2 
Rob_Reiner/lFEBeMFuL_M_0000114 1484.6 1511.8 
Rob_Reiner/lFEBeMFuL_M_0000115 1516.9 1522.2 
Rob_Reiner/lFEBeMFuL_M_0000116 1526.1 1531.0 
Rob_Reiner/lFEBeMFuL_M_0000117 1535.4 1539.7 
Rob_Reiner/lFEBeMFuL_M_0000118 1540.0 1552.6 
Rob_Reiner/lFEBeMFuL_M_0000119 1553.3 1578.4 
Rob_Reiner/lFEBeMFuL_M_0000120 1579.3 1588.1 
Rob_Reiner/lFEBeMFuL_M_0000121 1590.2 1600.0 
Rob_Reiner/lFEBeMFuL_M_0000122 1600.9 1623.4 
Rob_Reiner/lFEBeMFuL_M_0000123 1635.4 1646.2 
Rob_Reiner/lFEBeMFuL_M_0000124 1646.7 1653.8 
Rob_Reiner/lFEBeMFuL_M_0000125 1654.8 1665.6 
Rob_Reiner/lFEBeMFuL_M_0000126 1668.2 1676.0 
Rob_Reiner/lFEBeMFuL_M_0000127 1676.3 1680.5 
Rob_Reiner/lFEBeMFuL_M_0000128 1683.2 1687.6 
Rob_Reiner/lFEBeMFuL_M_0000129 1688.0 1693.0 
Rob_Reiner/lFEBeMFuL_M_0000130 1693.9 1698.7 
Rob_Reiner/lFEBeMFuL_M_0000131 1703.3 1708.2 
