POI: 			Rob_Reiner 
Rob_Reiner/xFTIClN5z70_0000054 858.3 879.3 
Rob_Reiner/xFTIClN5z70_0000055 879.6 888.0 
Rob_Reiner/xFTIClN5z70_0000056 888.6 898.2 
Rob_Reiner/xFTIClN5z70_0000057 902.4 921.3 
Rob_Reiner/xFTIClN5z70_0000058 926.9 935.5 
Rob_Reiner/xFTIClN5z70_0000059 936.0 945.0 
Rob_Reiner/xFTIClN5z70_0000060 946.8 957.4 
Rob_Reiner/xFTIClN5z70_0000061 959.6 976.2 
Rob_Reiner/xFTIClN5z70_0000062 978.4 986.2 
Rob_Reiner/xFTIClN5z70_0000063 993.5 1003.3 
Rob_Reiner/xFTIClN5z70_0000064 969.8 976.5 
Rob_Reiner/xFTIClN5z70_0000065 1016.2 1020.6 
Rob_Reiner/xFTIClN5z70_0000066 1031.0 1038.8 
Rob_Reiner/xFTIClN5z70_0000067 1050.7 1061.6 
Rob_Reiner/xFTIClN5z70_0000068 1069.3 1074.7 
Rob_Reiner/xFTIClN5z70_0000069 1085.1 1112.2 
Rob_Reiner/xFTIClN5z70_0000070 1112.6 1118.6 
Rob_Reiner/xFTIClN5z70_0000071 1129.0 1146.0 
Rob_Reiner/xFTIClN5z70_0000072 1163.6 1181.2 
Rob_Reiner/xFTIClN5z70_0000073 1184.2 1197.8 
Rob_Reiner/xFTIClN5z70_0000074 1198.0 1205.4 
Rob_Reiner/xFTIClN5z70_0000075 1214.3 1223.7 
Rob_Reiner/xFTIClN5z70_0000076 1225.9 1230.9 
Rob_Reiner/xFTIClN5z70_0000077 1233.1 1238.8 
Rob_Reiner/xFTIClN5z70_0000078 1240.5 1247.2 
Rob_Reiner/xFTIClN5z70_0000079 1258.4 1266.5 
Rob_Reiner/xFTIClN5z70_0000080 1267.3 1272.7 
Rob_Reiner/xFTIClN5z70_0000081 1273.4 1285.5 
Rob_Reiner/xFTIClN5z70_0000082 1300.5 1310.9 
Rob_Reiner/xFTIClN5z70_0000083 1314.0 1318.6 
Rob_Reiner/xFTIClN5z70_0000084 1320.4 1327.4 
Rob_Reiner/xFTIClN5z70_0000085 1328.0 1332.4 
Rob_Reiner/xFTIClN5z70_0000086 1342.8 1347.4 
Rob_Reiner/xFTIClN5z70_0000087 1348.0 1357.0 
Rob_Reiner/xFTIClN5z70_0000088 1397.6 1403.2 
Rob_Reiner/xFTIClN5z70_0000089 1404.2 1413.9 
Rob_Reiner/xFTIClN5z70_0000090 1414.2 1425.2 
Rob_Reiner/xFTIClN5z70_0000091 1425.8 1433.2 
Rob_Reiner/xFTIClN5z70_0000092 1433.9 1444.1 
Rob_Reiner/xFTIClN5z70_0000093 1449.0 1456.2 
Rob_Reiner/xFTIClN5z70_0000094 1479.5 1485.2 
Rob_Reiner/xFTIClN5z70_0000095 1487.3 1491.7 
Rob_Reiner/xFTIClN5z70_0000096 1505.2 1511.5 
Rob_Reiner/xFTIClN5z70_0000097 1539.2 1552.1 
Rob_Reiner/xFTIClN5z70_0000098 1560.0 1565.5 
Rob_Reiner/xFTIClN5z70_0000099 1566.0 1571.9 
Rob_Reiner/xFTIClN5z70_0000100 1584.1 1591.3 
Rob_Reiner/xFTIClN5z70_0000101 1592.7 1597.5 
Rob_Reiner/xFTIClN5z70_0000102 1584.1 1589.8 
Rob_Reiner/xFTIClN5z70_0000103 1618.0 1631.7 
Rob_Reiner/xFTIClN5z70_0000104 1632.2 1648.6 
Rob_Reiner/xFTIClN5z70_0000105 1654.8 1659.1 
Rob_Reiner/xFTIClN5z70_0000106 1666.0 1672.5 
Rob_Reiner/xFTIClN5z70_0000107 1675.4 1681.1 
Rob_Reiner/xFTIClN5z70_0000108 1683.4 1697.2 
Rob_Reiner/xFTIClN5z70_0000109 1700.4 1706.8 
Rob_Reiner/xFTIClN5z70_0000110 1712.2 1719.6 
Rob_Reiner/xFTIClN5z70_0000111 1719.8 1728.1 
