POI: 			Riley_Smith 
Riley_Smith/9jsnPvz4stg_0000052 1826.0 1832.0 
Riley_Smith/9jsnPvz4stg_0000053 1833.6 1838.5 
Riley_Smith/9jsnPvz4stg_0000054 1887.5 1891.7 
Riley_Smith/9jsnPvz4stg_0000055 1932.2 1938.0 
Riley_Smith/9jsnPvz4stg_0000056 2201.5 2208.2 
Riley_Smith/9jsnPvz4stg_0000057 2216.1 2221.8 
Riley_Smith/9jsnPvz4stg_0000058 2302.3 2311.2 
Riley_Smith/9jsnPvz4stg_0000059 2350.4 2374.3 
Riley_Smith/9jsnPvz4stg_0000060 2431.1 2438.7 
Riley_Smith/9jsnPvz4stg_0000061 2470.5 2492.5 
Riley_Smith/9jsnPvz4stg_0000062 2496.4 2515.6 
Riley_Smith/9jsnPvz4stg_0000063 2515.6 2523.7 
Riley_Smith/9jsnPvz4stg_0000064 2525.8 2536.4 
Riley_Smith/9jsnPvz4stg_0000065 2537.2 2541.6 
Riley_Smith/9jsnPvz4stg_0000066 2545.6 2558.1 
Riley_Smith/9jsnPvz4stg_0000067 2558.3 2564.4 
Riley_Smith/9jsnPvz4stg_0000068 2719.4 2732.1 
Riley_Smith/9jsnPvz4stg_0000069 2733.0 2743.6 
Riley_Smith/9jsnPvz4stg_0000070 2744.6 2782.3 
Riley_Smith/9jsnPvz4stg_0000071 2782.5 2804.6 
Riley_Smith/9jsnPvz4stg_0000072 2805.8 2811.7 
Riley_Smith/9jsnPvz4stg_0000073 2817.8 2827.6 
Riley_Smith/9jsnPvz4stg_0000074 2828.9 2832.9 
Riley_Smith/9jsnPvz4stg_0000075 2879.3 2892.7 
Riley_Smith/9jsnPvz4stg_0000076 2893.4 2902.9 
Riley_Smith/9jsnPvz4stg_0000077 2995.5 3003.0 
Riley_Smith/9jsnPvz4stg_0000078 3015.8 3024.6 
Riley_Smith/9jsnPvz4stg_0000079 3034.5 3054.9 
Riley_Smith/9jsnPvz4stg_0000080 3074.3 3090.4 
Riley_Smith/9jsnPvz4stg_0000081 3270.9 3277.6 
Riley_Smith/9jsnPvz4stg_0000082 3296.9 3308.4 
Riley_Smith/9jsnPvz4stg_0000083 3317.4 3332.8 
Riley_Smith/9jsnPvz4stg_0000084 3333.7 3338.4 
Riley_Smith/9jsnPvz4stg_0000085 3342.6 3347.4 
Riley_Smith/9jsnPvz4stg_0000086 3384.6 3392.6 
Riley_Smith/9jsnPvz4stg_0000087 3393.4 3406.2 
Riley_Smith/9jsnPvz4stg_0000088 3408.1 3416.8 
Riley_Smith/9jsnPvz4stg_0000089 3656.8 3661.3 
Riley_Smith/9jsnPvz4stg_0000090 3665.2 3670.2 
Riley_Smith/9jsnPvz4stg_0000091 3738.1 3748.4 
Riley_Smith/9jsnPvz4stg_0000092 3792.6 3796.7 
Riley_Smith/9jsnPvz4stg_0000093 3849.9 3854.9 
