POI: 			Rory_Kennedy 
Rory_Kennedy/Qq_ncaVFAMs_0000108 2786.8 2796.3 
Rory_Kennedy/Qq_ncaVFAMs_0000109 2798.6 2805.7 
Rory_Kennedy/Qq_ncaVFAMs_0000110 2827.6 2839.3 
Rory_Kennedy/Qq_ncaVFAMs_0000111 2841.2 2845.6 
Rory_Kennedy/Qq_ncaVFAMs_0000112 2855.3 2860.8 
Rory_Kennedy/Qq_ncaVFAMs_0000113 2881.2 2885.9 
Rory_Kennedy/Qq_ncaVFAMs_0000114 2886.6 2892.4 
Rory_Kennedy/Qq_ncaVFAMs_0000115 2893.3 2898.8 
Rory_Kennedy/Qq_ncaVFAMs_0000116 2909.3 2914.0 
Rory_Kennedy/Qq_ncaVFAMs_0000117 2967.0 2972.0 
Rory_Kennedy/Qq_ncaVFAMs_0000118 2972.5 2978.2 
Rory_Kennedy/Qq_ncaVFAMs_0000119 2991.8 2996.4 
Rory_Kennedy/Qq_ncaVFAMs_0000120 3000.6 3006.0 
Rory_Kennedy/Qq_ncaVFAMs_0000121 3032.4 3041.2 
Rory_Kennedy/Qq_ncaVFAMs_0000122 3042.6 3053.0 
Rory_Kennedy/Qq_ncaVFAMs_0000123 3079.0 3085.1 
Rory_Kennedy/Qq_ncaVFAMs_0000124 3085.4 3097.5 
Rory_Kennedy/Qq_ncaVFAMs_0000125 3122.6 3127.6 
Rory_Kennedy/Qq_ncaVFAMs_0000126 3144.9 3150.4 
Rory_Kennedy/Qq_ncaVFAMs_0000127 3155.1 3164.5 
Rory_Kennedy/Qq_ncaVFAMs_0000128 3166.4 3173.7 
Rory_Kennedy/Qq_ncaVFAMs_0000129 3173.8 3186.4 
Rory_Kennedy/Qq_ncaVFAMs_0000130 3187.2 3191.5 
Rory_Kennedy/Qq_ncaVFAMs_0000131 3241.2 3245.9 
Rory_Kennedy/Qq_ncaVFAMs_0000132 3246.4 3253.2 
Rory_Kennedy/Qq_ncaVFAMs_0000133 3253.3 3258.1 
Rory_Kennedy/Qq_ncaVFAMs_0000134 3258.9 3266.4 
Rory_Kennedy/Qq_ncaVFAMs_0000135 3434.2 3440.2 
Rory_Kennedy/Qq_ncaVFAMs_0000136 3441.5 3447.0 
Rory_Kennedy/Qq_ncaVFAMs_0000137 3459.0 3463.4 
Rory_Kennedy/Qq_ncaVFAMs_0000138 3464.0 3470.2 
Rory_Kennedy/Qq_ncaVFAMs_0000139 3552.4 3565.6 
Rory_Kennedy/Qq_ncaVFAMs_0000140 3577.7 3585.6 
Rory_Kennedy/Qq_ncaVFAMs_0000141 3585.8 3592.3 
Rory_Kennedy/Qq_ncaVFAMs_0000142 3604.8 3614.0 
Rory_Kennedy/Qq_ncaVFAMs_0000143 3657.4 3664.1 
Rory_Kennedy/Qq_ncaVFAMs_0000144 3677.0 3682.9 
Rory_Kennedy/Qq_ncaVFAMs_0000145 3683.8 3693.8 
Rory_Kennedy/Qq_ncaVFAMs_0000146 3716.7 3741.5 
Rory_Kennedy/Qq_ncaVFAMs_0000147 3844.3 3851.9 
Rory_Kennedy/Qq_ncaVFAMs_0000148 3870.7 3874.7 
Rory_Kennedy/Qq_ncaVFAMs_0000149 3935.1 3940.1 
Rory_Kennedy/Qq_ncaVFAMs_0000150 3940.4 3956.3 
Rory_Kennedy/Qq_ncaVFAMs_0000151 3956.4 3962.6 
Rory_Kennedy/Qq_ncaVFAMs_0000152 3979.6 3986.0 
Rory_Kennedy/Qq_ncaVFAMs_0000153 3999.1 4003.5 
Rory_Kennedy/Qq_ncaVFAMs_0000154 4026.4 4036.3 
Rory_Kennedy/Qq_ncaVFAMs_0000155 4036.7 4042.4 
Rory_Kennedy/Qq_ncaVFAMs_0000156 4042.8 4052.7 
Rory_Kennedy/Qq_ncaVFAMs_0000157 4069.5 4077.1 
Rory_Kennedy/Qq_ncaVFAMs_0000158 4108.8 4115.2 
