POI: 			Rob_Brydon 
Rob_Brydon/K3VF9KATPqc_0000031 796.2 807.3 
Rob_Brydon/K3VF9KATPqc_0000032 818.1 823.8 
Rob_Brydon/K3VF9KATPqc_0000033 824.7 834.1 
Rob_Brydon/K3VF9KATPqc_0000034 858.0 868.8 
Rob_Brydon/K3VF9KATPqc_0000035 881.9 886.5 
Rob_Brydon/K3VF9KATPqc_0000036 895.4 901.3 
Rob_Brydon/K3VF9KATPqc_0000037 908.5 916.1 
Rob_Brydon/K3VF9KATPqc_0000038 929.7 939.9 
Rob_Brydon/K3VF9KATPqc_0000039 972.6 978.4 
Rob_Brydon/K3VF9KATPqc_0000040 990.2 995.5 
Rob_Brydon/K3VF9KATPqc_0000041 1007.8 1016.8 
Rob_Brydon/K3VF9KATPqc_0000042 1021.5 1033.7 
Rob_Brydon/K3VF9KATPqc_0000043 1052.8 1059.0 
Rob_Brydon/K3VF9KATPqc_0000044 1066.7 1072.5 
Rob_Brydon/K3VF9KATPqc_0000045 1085.9 1100.3 
Rob_Brydon/K3VF9KATPqc_0000046 1118.4 1131.3 
Rob_Brydon/K3VF9KATPqc_0000047 1322.3 1326.6 
Rob_Brydon/K3VF9KATPqc_0000048 1340.6 1346.8 
Rob_Brydon/K3VF9KATPqc_0000049 1350.5 1357.0 
Rob_Brydon/K3VF9KATPqc_0000050 1359.4 1363.7 
Rob_Brydon/K3VF9KATPqc_0000051 1366.0 1376.0 
Rob_Brydon/K3VF9KATPqc_0000052 1378.1 1383.6 
Rob_Brydon/K3VF9KATPqc_0000053 1387.7 1392.2 
Rob_Brydon/K3VF9KATPqc_0000054 1396.1 1401.0 
Rob_Brydon/K3VF9KATPqc_0000055 1401.8 1410.6 
Rob_Brydon/K3VF9KATPqc_0000056 1425.2 1439.8 
Rob_Brydon/K3VF9KATPqc_0000057 1441.9 1447.4 
Rob_Brydon/K3VF9KATPqc_0000058 1448.4 1458.3 
Rob_Brydon/K3VF9KATPqc_0000059 1472.1 1476.1 
Rob_Brydon/K3VF9KATPqc_0000060 1478.2 1485.4 
Rob_Brydon/K3VF9KATPqc_0000061 1510.1 1518.9 
Rob_Brydon/K3VF9KATPqc_0000062 1523.8 1542.4 
Rob_Brydon/K3VF9KATPqc_0000063 1589.5 1594.6 
Rob_Brydon/K3VF9KATPqc_0000064 1611.5 1624.9 
Rob_Brydon/K3VF9KATPqc_0000065 1625.8 1632.8 
Rob_Brydon/K3VF9KATPqc_0000066 1646.6 1650.9 
Rob_Brydon/K3VF9KATPqc_0000067 1664.2 1679.7 
Rob_Brydon/K3VF9KATPqc_0000068 1681.5 1685.5 
Rob_Brydon/K3VF9KATPqc_0000069 1772.9 1777.2 
Rob_Brydon/K3VF9KATPqc_0000070 1794.0 1799.9 
Rob_Brydon/K3VF9KATPqc_0000071 1817.7 1824.5 
Rob_Brydon/K3VF9KATPqc_0000072 1838.0 1845.3 
Rob_Brydon/K3VF9KATPqc_0000073 1847.2 1855.6 
Rob_Brydon/K3VF9KATPqc_0000074 1858.8 1874.4 
Rob_Brydon/K3VF9KATPqc_0000075 1882.0 1888.2 
Rob_Brydon/K3VF9KATPqc_0000076 1895.1 1900.7 
Rob_Brydon/K3VF9KATPqc_0000077 1904.6 1912.4 
Rob_Brydon/K3VF9KATPqc_0000078 1914.1 1920.0 
Rob_Brydon/K3VF9KATPqc_0000079 1925.5 1935.0 
Rob_Brydon/K3VF9KATPqc_0000080 1935.2 1954.0 
Rob_Brydon/K3VF9KATPqc_0000081 1958.1 1965.8 
Rob_Brydon/K3VF9KATPqc_0000082 1966.0 1987.9 
Rob_Brydon/K3VF9KATPqc_0000083 1996.1 2006.4 
Rob_Brydon/K3VF9KATPqc_0000084 2011.0 2020.6 
Rob_Brydon/K3VF9KATPqc_0000085 2064.8 2068.8 
Rob_Brydon/K3VF9KATPqc_0000086 2094.4 2102.8 
Rob_Brydon/K3VF9KATPqc_0000087 2212.6 2222.5 
Rob_Brydon/K3VF9KATPqc_0000088 2228.9 2242.4 
Rob_Brydon/K3VF9KATPqc_0000089 2253.0 2258.3 
Rob_Brydon/K3VF9KATPqc_0000090 2258.5 2275.4 
Rob_Brydon/K3VF9KATPqc_0000091 2275.7 2285.3 
Rob_Brydon/K3VF9KATPqc_0000092 2286.2 2304.6 
Rob_Brydon/K3VF9KATPqc_0000093 2304.8 2313.6 
Rob_Brydon/K3VF9KATPqc_0000094 2314.4 2322.5 
Rob_Brydon/K3VF9KATPqc_0000095 2324.7 2329.2 
Rob_Brydon/K3VF9KATPqc_0000096 2330.2 2344.5 
Rob_Brydon/K3VF9KATPqc_0000097 2345.4 2350.7 
Rob_Brydon/K3VF9KATPqc_0000098 2351.5 2358.8 
Rob_Brydon/K3VF9KATPqc_0000099 2361.9 2366.4 
Rob_Brydon/K3VF9KATPqc_0000100 2367.7 2373.6 
Rob_Brydon/K3VF9KATPqc_0000101 2374.0 2382.0 
Rob_Brydon/K3VF9KATPqc_0000102 2383.0 2388.3 
Rob_Brydon/K3VF9KATPqc_0000103 2392.0 2399.5 
Rob_Brydon/K3VF9KATPqc_0000104 2576.4 2584.6 
Rob_Brydon/K3VF9KATPqc_0000105 2586.9 2592.3 
Rob_Brydon/K3VF9KATPqc_0000106 2602.1 2609.6 
Rob_Brydon/K3VF9KATPqc_0000107 2614.5 2622.6 
Rob_Brydon/K3VF9KATPqc_0000108 2641.5 2646.6 
Rob_Brydon/K3VF9KATPqc_0000109 2657.0 2661.2 
Rob_Brydon/K3VF9KATPqc_0000110 2693.4 2698.5 
Rob_Brydon/K3VF9KATPqc_0000111 2702.2 2707.6 
Rob_Brydon/K3VF9KATPqc_0000112 2778.2 2783.6 
Rob_Brydon/K3VF9KATPqc_0000113 2788.9 2804.0 
Rob_Brydon/K3VF9KATPqc_0000114 2830.5 2843.0 
Rob_Brydon/K3VF9KATPqc_0000115 2905.9 2911.8 
Rob_Brydon/K3VF9KATPqc_0000116 2911.9 2921.6 
Rob_Brydon/K3VF9KATPqc_0000117 2951.7 2956.5 
Rob_Brydon/K3VF9KATPqc_0000118 2961.2 2968.5 
Rob_Brydon/K3VF9KATPqc_0000119 2971.8 2976.6 
Rob_Brydon/K3VF9KATPqc_0000120 2977.4 2986.6 
Rob_Brydon/K3VF9KATPqc_0000121 2987.0 2991.0 
Rob_Brydon/K3VF9KATPqc_0000122 3009.8 3015.2 
Rob_Brydon/K3VF9KATPqc_0000123 3028.5 3040.7 
Rob_Brydon/K3VF9KATPqc_0000124 3043.0 3048.5 
Rob_Brydon/K3VF9KATPqc_0000125 3049.0 3054.6 
Rob_Brydon/K3VF9KATPqc_0000126 3073.3 3079.5 
Rob_Brydon/K3VF9KATPqc_0000127 3082.2 3098.5 
Rob_Brydon/K3VF9KATPqc_0000128 3105.1 3110.7 
Rob_Brydon/K3VF9KATPqc_0000129 3113.0 3133.5 
Rob_Brydon/K3VF9KATPqc_0000130 3134.3 3145.1 
