POI: 			Shonda_Rhimes 
Shonda_Rhimes/Q0YU_S7jFhA_0000056 1590.6 1614.9 
Shonda_Rhimes/Q0YU_S7jFhA_0000057 1642.9 1648.3 
Shonda_Rhimes/Q0YU_S7jFhA_0000058 1648.8 1654.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000059 1657.4 1670.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000060 1670.7 1678.3 
Shonda_Rhimes/Q0YU_S7jFhA_0000061 1688.4 1710.1 
Shonda_Rhimes/Q0YU_S7jFhA_0000062 1723.0 1727.4 
Shonda_Rhimes/Q0YU_S7jFhA_0000063 1737.7 1754.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000064 1754.8 1760.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000065 1771.0 1778.5 
Shonda_Rhimes/Q0YU_S7jFhA_0000066 1943.8 1947.9 
Shonda_Rhimes/Q0YU_S7jFhA_0000067 1959.5 1971.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000068 1972.0 1994.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000069 2035.4 2046.4 
Shonda_Rhimes/Q0YU_S7jFhA_0000070 2056.9 2067.7 
Shonda_Rhimes/Q0YU_S7jFhA_0000071 2069.6 2086.3 
Shonda_Rhimes/Q0YU_S7jFhA_0000072 2129.5 2156.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000073 2173.4 2194.4 
Shonda_Rhimes/Q0YU_S7jFhA_0000074 2194.8 2203.4 
Shonda_Rhimes/Q0YU_S7jFhA_0000075 2231.8 2275.1 
Shonda_Rhimes/Q0YU_S7jFhA_0000076 2281.9 2291.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000077 2296.4 2304.9 
Shonda_Rhimes/Q0YU_S7jFhA_0000078 2308.3 2315.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000079 2318.8 2330.3 
Shonda_Rhimes/Q0YU_S7jFhA_0000080 2331.5 2338.1 
Shonda_Rhimes/Q0YU_S7jFhA_0000081 2338.2 2343.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000082 2350.7 2365.8 
Shonda_Rhimes/Q0YU_S7jFhA_0000083 2403.1 2407.9 
Shonda_Rhimes/Q0YU_S7jFhA_0000084 2412.9 2423.4 
Shonda_Rhimes/Q0YU_S7jFhA_0000085 2567.0 2577.1 
Shonda_Rhimes/Q0YU_S7jFhA_0000086 2586.5 2605.4 
Shonda_Rhimes/Q0YU_S7jFhA_0000087 2607.4 2624.9 
Shonda_Rhimes/Q0YU_S7jFhA_0000088 2667.2 2685.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000089 2687.7 2713.1 
Shonda_Rhimes/Q0YU_S7jFhA_0000090 2716.6 2731.8 
Shonda_Rhimes/Q0YU_S7jFhA_0000091 2726.8 2732.7 
Shonda_Rhimes/Q0YU_S7jFhA_0000092 2758.6 2765.5 
Shonda_Rhimes/Q0YU_S7jFhA_0000093 2766.0 2775.7 
Shonda_Rhimes/Q0YU_S7jFhA_0000094 2777.4 2783.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000095 2784.8 2792.5 
Shonda_Rhimes/Q0YU_S7jFhA_0000096 2793.5 2827.4 
Shonda_Rhimes/Q0YU_S7jFhA_0000097 2827.6 2833.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000098 2836.0 2861.3 
Shonda_Rhimes/Q0YU_S7jFhA_0000099 2890.2 2908.3 
Shonda_Rhimes/Q0YU_S7jFhA_0000100 2950.5 2968.5 
Shonda_Rhimes/Q0YU_S7jFhA_0000101 3002.6 3010.5 
Shonda_Rhimes/Q0YU_S7jFhA_0000102 3012.6 3018.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000103 3018.8 3028.1 
Shonda_Rhimes/Q0YU_S7jFhA_0000104 3031.8 3048.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000105 3048.1 3056.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000106 3057.0 3064.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000107 3066.2 3070.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000108 3072.8 3108.4 
Shonda_Rhimes/Q0YU_S7jFhA_0000109 3138.7 3146.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000110 3218.3 3233.5 
Shonda_Rhimes/Q0YU_S7jFhA_0000111 3234.5 3246.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000112 3247.1 3257.4 
Shonda_Rhimes/Q0YU_S7jFhA_0000113 3266.2 3281.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000114 3287.0 3317.9 
Shonda_Rhimes/Q0YU_S7jFhA_0000115 3338.1 3344.1 
Shonda_Rhimes/Q0YU_S7jFhA_0000116 3344.6 3350.8 
Shonda_Rhimes/Q0YU_S7jFhA_0000117 3351.4 3356.5 
Shonda_Rhimes/Q0YU_S7jFhA_0000118 3386.3 3391.1 
Shonda_Rhimes/Q0YU_S7jFhA_0000119 3398.0 3418.4 
Shonda_Rhimes/Q0YU_S7jFhA_0000120 3419.3 3429.7 
Shonda_Rhimes/Q0YU_S7jFhA_0000121 3555.8 3579.8 
Shonda_Rhimes/Q0YU_S7jFhA_0000122 3580.4 3598.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000123 3621.0 3631.4 
Shonda_Rhimes/Q0YU_S7jFhA_0000124 3635.3 3646.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000125 3646.4 3665.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000126 3688.2 3694.1 
Shonda_Rhimes/Q0YU_S7jFhA_0000127 3695.1 3700.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000128 3717.9 3724.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000129 3743.3 3748.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000130 3748.8 3756.4 
Shonda_Rhimes/Q0YU_S7jFhA_0000131 3757.8 3763.8 
Shonda_Rhimes/Q0YU_S7jFhA_0000132 3879.9 3886.8 
Shonda_Rhimes/Q0YU_S7jFhA_0000133 3886.9 3895.4 
Shonda_Rhimes/Q0YU_S7jFhA_0000134 3900.4 3904.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000135 3904.7 3909.7 
Shonda_Rhimes/Q0YU_S7jFhA_0000136 3911.2 3918.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000137 3923.8 3931.9 
Shonda_Rhimes/Q0YU_S7jFhA_0000138 3934.0 3942.3 
Shonda_Rhimes/Q0YU_S7jFhA_0000139 3980.2 3987.8 
Shonda_Rhimes/Q0YU_S7jFhA_0000140 4060.9 4065.4 
Shonda_Rhimes/Q0YU_S7jFhA_0000141 4066.1 4075.7 
Shonda_Rhimes/Q0YU_S7jFhA_0000142 4085.0 4091.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000143 4125.0 4136.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000144 4137.5 4144.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000145 4145.2 4150.5 
Shonda_Rhimes/Q0YU_S7jFhA_0000146 4152.1 4158.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000147 4227.0 4232.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000148 4245.1 4251.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000149 4255.9 4262.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000150 4283.7 4291.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000151 4292.3 4298.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000152 4301.4 4310.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000153 4312.4 4324.7 
Shonda_Rhimes/Q0YU_S7jFhA_0000154 4347.0 4351.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000155 4356.9 4361.4 
Shonda_Rhimes/Q0YU_S7jFhA_0000156 4387.7 4393.8 
Shonda_Rhimes/Q0YU_S7jFhA_0000157 4398.3 4414.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000158 4418.1 4423.9 
Shonda_Rhimes/Q0YU_S7jFhA_0000159 4457.4 4461.8 
Shonda_Rhimes/Q0YU_S7jFhA_0000160 4475.4 4483.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000161 4527.1 4532.5 
Shonda_Rhimes/Q0YU_S7jFhA_0000162 4562.2 4567.8 
Shonda_Rhimes/Q0YU_S7jFhA_0000163 4576.2 4580.5 
Shonda_Rhimes/Q0YU_S7jFhA_0000164 4667.3 4685.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000165 4694.0 4703.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000166 4703.8 4728.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000167 4729.2 4736.1 
Shonda_Rhimes/Q0YU_S7jFhA_0000168 4758.3 4763.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000169 4769.2 4773.9 
Shonda_Rhimes/Q0YU_S7jFhA_0000170 4782.1 4787.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000171 4796.5 4801.1 
Shonda_Rhimes/Q0YU_S7jFhA_0000172 4803.2 4807.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000173 4821.1 4825.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000174 5052.9 5057.7 
