POI: 			Ricky_Gervais 
Ricky_Gervais/gNnNpOn_dV0_0000086 1315.2 1325.2 
Ricky_Gervais/gNnNpOn_dV0_0000087 1331.8 1340.5 
Ricky_Gervais/gNnNpOn_dV0_0000088 1357.1 1370.3 
Ricky_Gervais/gNnNpOn_dV0_0000089 1373.7 1379.1 
Ricky_Gervais/gNnNpOn_dV0_0000090 1380.1 1385.3 
Ricky_Gervais/gNnNpOn_dV0_0000091 1385.6 1398.0 
Ricky_Gervais/gNnNpOn_dV0_0000092 1408.9 1418.8 
Ricky_Gervais/gNnNpOn_dV0_0000093 1424.1 1435.9 
Ricky_Gervais/gNnNpOn_dV0_0000094 1438.3 1443.5 
Ricky_Gervais/gNnNpOn_dV0_0000095 1439.8 1447.0 
