POI: 			Ben_McKenzie 
Ben_McKenzie/ntgkeQhp-0c_0000072 1222.8 1227.6 
Ben_McKenzie/ntgkeQhp-0c_0000073 1239.5 1246.7 
Ben_McKenzie/ntgkeQhp-0c_0000074 1248.6 1254.9 
Ben_McKenzie/ntgkeQhp-0c_0000075 1301.1 1312.7 
Ben_McKenzie/ntgkeQhp-0c_0000076 1314.1 1348.4 
Ben_McKenzie/ntgkeQhp-0c_0000077 1350.3 1354.7 
Ben_McKenzie/ntgkeQhp-0c_0000078 1376.6 1385.4 
Ben_McKenzie/ntgkeQhp-0c_0000079 1406.8 1412.2 
Ben_McKenzie/ntgkeQhp-0c_0000080 1412.6 1420.2 
Ben_McKenzie/ntgkeQhp-0c_0000081 1424.0 1431.2 
Ben_McKenzie/ntgkeQhp-0c_0000082 1431.7 1441.7 
Ben_McKenzie/ntgkeQhp-0c_0000083 1446.7 1451.8 
Ben_McKenzie/ntgkeQhp-0c_0000084 1453.0 1458.4 
Ben_McKenzie/ntgkeQhp-0c_0000085 1463.6 1469.7 
Ben_McKenzie/ntgkeQhp-0c_0000086 1505.1 1509.9 
Ben_McKenzie/ntgkeQhp-0c_0000087 1516.6 1524.0 
Ben_McKenzie/ntgkeQhp-0c_0000088 1525.6 1539.3 
Ben_McKenzie/ntgkeQhp-0c_0000089 1539.8 1544.3 
Ben_McKenzie/ntgkeQhp-0c_0000090 1546.5 1557.4 
Ben_McKenzie/ntgkeQhp-0c_0000091 1560.4 1564.9 
Ben_McKenzie/ntgkeQhp-0c_0000092 1577.2 1581.3 
Ben_McKenzie/ntgkeQhp-0c_0000093 1582.2 1588.3 
Ben_McKenzie/ntgkeQhp-0c_0000094 1591.4 1605.3 
Ben_McKenzie/ntgkeQhp-0c_0000095 1612.4 1621.4 
Ben_McKenzie/ntgkeQhp-0c_0000096 1657.1 1664.5 
Ben_McKenzie/ntgkeQhp-0c_0000097 1699.4 1704.2 
Ben_McKenzie/ntgkeQhp-0c_0000098 1704.3 1723.3 
Ben_McKenzie/ntgkeQhp-0c_0000099 1724.6 1738.6 
Ben_McKenzie/ntgkeQhp-0c_0000100 1746.6 1751.2 
