POI: 			Lea_Salonga 
Lea_Salonga/aMfPWRLKR0g_0000053 1723.7 1727.8 
Lea_Salonga/aMfPWRLKR0g_0000054 1738.0 1743.3 
Lea_Salonga/aMfPWRLKR0g_0000055 1752.9 1757.3 
Lea_Salonga/aMfPWRLKR0g_0000056 1759.6 1767.5 
Lea_Salonga/aMfPWRLKR0g_0000057 1768.2 1778.3 
Lea_Salonga/aMfPWRLKR0g_0000058 1783.8 1788.2 
Lea_Salonga/aMfPWRLKR0g_0000059 1856.9 1863.0 
Lea_Salonga/aMfPWRLKR0g_0000060 1863.6 1869.2 
Lea_Salonga/aMfPWRLKR0g_0000061 1885.9 1890.1 
Lea_Salonga/aMfPWRLKR0g_0000062 1894.4 1900.9 
Lea_Salonga/aMfPWRLKR0g_0000063 1904.2 1910.4 
Lea_Salonga/aMfPWRLKR0g_0000064 1916.5 1922.9 
Lea_Salonga/aMfPWRLKR0g_0000065 1923.3 1930.3 
Lea_Salonga/aMfPWRLKR0g_0000066 1931.2 1937.6 
Lea_Salonga/aMfPWRLKR0g_0000067 1951.2 1959.6 
Lea_Salonga/aMfPWRLKR0g_0000068 1977.7 1986.7 
Lea_Salonga/aMfPWRLKR0g_0000069 2025.0 2033.2 
Lea_Salonga/aMfPWRLKR0g_0000070 2161.8 2167.8 
Lea_Salonga/aMfPWRLKR0g_0000071 2210.2 2214.3 
Lea_Salonga/aMfPWRLKR0g_0000072 2380.9 2387.0 
Lea_Salonga/aMfPWRLKR0g_0000073 2455.8 2460.8 
Lea_Salonga/aMfPWRLKR0g_0000074 2492.4 2497.2 
Lea_Salonga/aMfPWRLKR0g_0000075 2569.1 2573.3 
Lea_Salonga/aMfPWRLKR0g_0000076 2600.7 2606.2 
Lea_Salonga/aMfPWRLKR0g_0000077 2615.0 2620.2 
Lea_Salonga/aMfPWRLKR0g_0000078 2733.1 2739.6 
Lea_Salonga/aMfPWRLKR0g_0000079 2743.0 2747.3 
Lea_Salonga/aMfPWRLKR0g_0000080 2761.9 2771.3 
Lea_Salonga/aMfPWRLKR0g_0000081 2793.9 2798.8 
Lea_Salonga/aMfPWRLKR0g_0000082 2828.7 2834.8 
Lea_Salonga/aMfPWRLKR0g_0000083 2870.2 2874.6 
Lea_Salonga/aMfPWRLKR0g_0000084 2875.7 2882.0 
Lea_Salonga/aMfPWRLKR0g_0000085 3133.0 3138.6 
Lea_Salonga/aMfPWRLKR0g_0000086 3147.9 3155.1 
Lea_Salonga/aMfPWRLKR0g_0000087 3159.0 3178.4 
